,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,TAGZ5,EOS,XTZ,XLM,ADA,LINK,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.00771490179304708,0.0701914337773075,0,0,0.000965003645221709,0,0.154786022645316,0,0.064419383053888,0,0,0,0,0,0,0
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.12075699392453,0.0403315705311487,0,0.0208069138294967,0.0167136345086512,0,0.401074823671996,0,0,0,0,0,0,0,0,0
XRP,0,0.000250579635094645,0.0515739806221169,0,0,0.193764710113553,0,0,0,0,0.0693940480638799,0,0.123122002582291,0,0,0,0,0,0,0.00342643665376721
BCH,0,0,0.394302547420522,0,0,0.210092726429397,0,0,0,0,0.0419099339420305,0,0.0685054020271775,0,0,0,0,0,0,0
BSV,0,-0.00416948065571149,0.352885669749435,0,0.198577229812813,0,0,0,0,0,0.0492109533678346,0,0,0.0131405279291484,0,0,0,0,0,0
LTC,0,0.00242775904334715,0,0,0,0,0,0,0,0,0.304080107813786,0,0.0444443118725092,0.0230352835359739,0,0,0,0,0,0
BNB,0,-0.00115961431771895,0.36365807978445,0,0,0,0,0,0,0,0.125111882380676,0,0.0647100399614673,0,0.0187711060130616,0,0,0,0,0
TAGZ5,0,0.00562832387119102,0.0858807322936351,0,0.35464165933182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0.0249919904631275,0,0.0430106427159987,0.0719996160796417,0,0,0.00729840706200891,0,0.248536137151837,0,0,0,0,0,0,0,0,0
XTZ,0,0.00347339135962752,0.288246850717679,0,0,0,0,0,0.0248955038622833,0,0,0,0,0.473073444277478,0,0,0,0,0,0
XLM,0,0.00351486348580696,0,0,0,0.0848849092381433,0,0,0,0,0.287241040569237,0,0.167103693436257,0,0,0,0,0,0,0
ADA,0,-0.00205247228718435,0,0,0.219339967030848,0,0,0.107053738895768,0,0,0.39135599555975,0,0,0,0,0,0,0,0,0
LINK,0,0.00159376092307281,0,0,0,0,0,0,0,0,0.627762464702871,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0.00957862429722295,0,0.139407205984614,0.0230985583504509,0.0779544977831562,0.164089350421321,0,0.159328139099072,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.00186915984235674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.092856228580758,0,0,0
CVIX.INDEX,0,-0.00000250293675807809,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.174540519150693,0,0,-0.33684392213463,0.159147787330173
DXY.INDEX,0,-0.00000000319788871342413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222740787672108,0,0,-0.0201147807936157
SPX.INDEX,0,0.000000294890842943929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0281310857109422,0,0,-0.19746525098501
VIX.INDEX,0,0.0275476201139505,0,0,0,0,0,0,0,0,-0.0476736096155917,0,0,0,0,0,0.12614844709273,0,-1.49875736038472,0
