,BTC,INNBCL,ETH,XRP,BCH,BSV,TAGZ5,LTC,BNB,EOS,XTZ,XLM,ADA,LINK,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.00368825964109903,0.0437216145290901,0,0,0.0736838863468511,0.00451713720713545,0,0,0,0.132898161801862,0,0.07381268566748,0,0,0,0,0,0,0
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0.0195541642906487,-0.000667049405321327,0,0,0.0229299336661884,0.103680258919085,0.00736486262978056,0,0.190623256944391,0.150068785213547,0.19921825628921,0,0.0292037128147888,0,0,0,0,0,0,0
XRP,0,0.000728005807522648,0.185825265565542,0,0,0.00815767762063897,0,0,0,0,0,0.0304095335226,0.0832334921285824,0,0.0538991519041405,0,0,0,0,0.00222014586263329
BCH,0,-0.00275965732094986,0.1899355631851,0,0,0.363236659745862,0,0,0,0.16022125975706,0,0,0.0947540875991037,0,0,0,0,0,0,0.0189239016502558
BSV,0,-0.00240471325879781,0.3457142714373,0,0.319219541773367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAGZ5,0,0.00453238747718453,0.258041579807406,0,0.32347439983647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.0016890151543899,0,0,0,0,0,0,0,0,0.235805535140548,0,0.0809409969611024,0,0,0,0,0,0,0
BNB,0,-0.00185242079294236,0.411225109391057,0,0,0.00543250402609411,0,0,0,0,0.0479314342941195,0.0228727699916263,0.0706663203974087,0,0,0,0,0,0,0
EOS,0,-0.000326993484814847,0.18508105581812,0,0,0.105849950674527,-0.00000000000000000010842021724855,0,0,0,0.0734700938920434,0,0.0589403234011275,0,0.122559094581857,0,0,0,0,0
XTZ,0,0.00289868766220223,0.284816702666782,0,0,0,0,0,0,0,0,0,0,0.491100490242161,0,0,0,0,0,0
XLM,0,0.00254240580806825,0,0,0,0,0,0,0,0,0.095274129130211,0,0.400780947330706,0.0543107911227006,0.024395148904483,0,0,0,0,0
ADA,0,-0.0000000000000000000067762635780344,0.122979216770637,0,0.166865762359209,0,0,0,0,0,0.243521136230585,0.197998727269439,0,0,0,0,0,0,0,0
LINK,0,0.00273124097972559,0.0453905955690513,0,0,0,0,0,0,0,0.643177179299657,0,0,0,0,0,0,0,0,0
XMR,0,-0.0016407719876191,0.00000000000000000173472347597681,0,0,0.055688793116406,0.0383232673955166,0,0.293997749592449,0.202241516701606,0.0327524838087214,0,0.0668363770645474,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.00325593466911181,0,0,0,-0.012199219870823,0.0081198119785159,0,0,0,0,0,0,0,0,0,-0.0701147231984268,0,0,-0.0156044623801308
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,-0.0000000102192830804954,0,0,0,0,-0.00000000501694684849163,0,0,0,0,0,0,0,0,0,0.0223373162101482,0,0,-0.010573988749517
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127141879063911
VIX.INDEX,0,0.0272488852491995,0,0,0,0,-0.0143613838701092,0,0,0,-0.0484142092331756,0,0,0,0,0,0,0,-1.28484930627991,0
