,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0.0530230321515287,0,0,0,0,0,0.134169101668265,0.142159679352553,0,0,0.484675438392892,0,0,0,0,0,0,0,0,-0.0861294020028516,0.124757797033767,0,0,0.00366562831282934,-0.0283843347492474,-0.00447613180231899,0
X601398.CH.EQUITY,0,0,0,0,0.196130598555576,0,0,-0.0864053739085034,0,0,0,0,0,0,0,0,0,0.208832430383514,0,0,-0.0436859442158479,0,-0.0948722024663699,0,0,0,0,-4.33680868994202e-19,0.00468235086496477,0.030276724665859,0
X2318.HK.EQUITY,0,0,0,0.0988781095277124,0,0,0,0,0,0,0,0.263687213264444,0,0,0,0,0,0,0,0.110405072759226,0,0,0,0.116534214471627,0,0.030024933346552,0,-4.33680868994202e-19,2.16840434497101e-19,0,0
X601318.CH.EQUITY,0,0,0.116249204191011,0,0,0,0,0,0,0,0.162697766884293,0,0,0.0703064949999982,0,0,0,0,0,0.273867638523939,0,0,-0.0386256055389718,0.0582508647992167,0,0,0,0.0130800229922362,-0.0124639623001788,0,-0.00911891212594586
X939.HK.EQUITY,0.131265704529085,0.0750539317057132,0,0,0,0,0,0,0,0,0,0,0.137075156136038,0,0,0,0,0,0,0,0,0.0270209044554317,0.0969122499598378,0.0941808537044411,0.0272934732382404,0,0.00587140535255649,0.00400601219180999,0.0141200956239046,0,-0.00832057057101327
X601939.CH.EQUITY,0,0.104477161198616,0,0,0,0,0,0,0,0,0,0,0,0.0588172433757138,0,0,0,0,0,0,0,0,0.15511382785371,0,0,0,0,0.0147407372778771,-0.0356788171825184,0,-0.0304443481720122
X601288.CH.EQUITY,0,0,-0.0989349257188262,0,0,0,0,0,0,0,0,-0.0265664815162433,0,0,0,0,0.209041671307601,0.0857231363740947,0,0,0,0,0.0809360729141827,0,0,0,0,0.00959451093197211,-0.00334725372673336,0,-0.0732143541581762
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00701420873391822,0,0,0.094508916453738,0,0,0,0.193630133054368,0.0105292821910076,0,0.00726269390506963,0.0347108391661532,0,0
X3988.HK.EQUITY,0.0388739650203197,0,0,0,0,0,0,0,0,0,0,0.133283535796847,0.0927099858184807,0,0,0,0,0,0,0,0,0.0464708167308077,0.0943705324194673,0.0595580451611813,0,0,0,0.00149636438159052,-0.000730127795997109,0.0229910800151292,0
X601988.CH.EQUITY,0,0,0,0,0,0.0949358030362571,0,0,0,0,0,0,0.0266323136725399,0,0,0,0.0876150222760304,0.0576766547663599,0.0412092335692883,0,0,0.0705802184795476,0,0,0,-0.0300523501988059,0,0,-0.00848877153369832,0,0
