,X601398.CH.EQUITY,X1398.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0288845560056757,0.0234365998254904,0,0,0,0,0,0,0.0415731483568319,0,0,0.23620308752283,0,0.0255657803153778,0,0.0150643465934305,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0791123897376369,0,0.166853408085407,0,0,0,0,0,0,0.0895463935247368,0,0.160803899621005,0,0.0353638290897426,0.0374637029151052,0,-0.000820524702944689,0,0,-0.039400515446019
X939.HK.EQUITY,0,0.191101132890349,0,0,0,0,0,0,0,0,0,0,0,0.104322863188994,0,0,0,0,0,0,0.00371028767585635,0,0.164720593112794,0.0711818254825284,0.0543209352506339,0.0479207719467459,0,-0.00409941904448976,0.00693402689656595,0,-0.050418563294457
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466390670965164,0.216047019834641,0,0,0,0,0,0.288521655050298,0,0,0,0.0137958840085295,0.00145994326118951,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.082867249462369,0,0,0.212816319771432,0.0657660071341088,0,0,0.115661299271488,0,0,0,0.0680197696635033,0,0.069801234913001,0.107161195188608,0,0.0179741207764445,0,0.00569847497962685,0.00293600785861033,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331530969811381,0,0,0,0,0,0,0.0361690122464688,0.0935822052490772,0.056587893356813,0.16363493053986,0,0,0.00334491266190062,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335470355824655,0,0,0.11238039494285,0,0,0.129372260683295,0,0.0498147964612792,0,0.00855394972024316,-0.00201393261717234,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.367795174223628,0,0,0,0,0,0,0,0,0,0.0739127887294409,0,0.119683488396288,0,0,0.0467778798132715,0,0,-0.00118173122685114,0,-0.0200085307929723
X601988.CH.EQUITY,0,0,0,0.102282082093718,0,0,0,0,0,0,0,0,1.73472347597681e-18,6.93889390390723e-18,0,0,0.205798959766384,0,0.0279443378132236,0,0.0714113677064424,0,0,0.0230025398918613,0,0.019876387273656,0,-0.00304865220547222,0.00169732248443016,0,-0.0328122840979281
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.183233747399275,0,0,0.162374345716284,0,0,0,0,0.0612478246474766,0,0,0,0,0.215043288768853,0,0,0.0498103494594187,-1.0842021724855e-19,0.0183395865653749,-0.0239802494209663,0
