,X2892.TT.EQUITY,X2537.TT.EQUITY,X2849.TT.EQUITY,X5880.TT.EQUITY,X5.HK.EQUITY,X5534.TT.EQUITY,X83.HK.EQUITY,X6005.TT.EQUITY,X2880.TT.EQUITY,X2548.TT.EQUITY,X601878.CH.EQUITY,X601377.CH.EQUITY,X2867.TT.EQUITY,X2905.TT.EQUITY,X2501.TT.EQUITY,X2855.TT.EQUITY,X2885.TT.EQUITY,X9940.TT.EQUITY,X1808.TT.EQUITY,X601108.CH.EQUITY,X2820.TT.EQUITY,X3040.TT.EQUITY,X000783.CH.EQUITY,X601162.CH.EQUITY,X000656.CH.EQUITY
X2892.TT.EQUITY,0,-0.00392698891163399,0.0266468984473872,0,0.0183348435672542,0,0,0.0123555350533967,0.410397232819145,0.367177012841826,0,0,0.0216878528928807,0,0,0,0,0.160912550468575,0,0,0,0,0,0,0
X2537.TT.EQUITY,5.80963330938841,0,-2.30827919703417,-8.83679984349627,0.308157177069538,0,0.428384245081129,0.199378727878392,1.58418413227511,0,0,0,-0.180188498415719,-4.67698526773432,0,-12.0710847592651,14.9497492939876,0,-0.426518178619019,0,5.14035855214434,-1.56955628628117,0,0,0
X2849.TT.EQUITY,0,0.0117859387718039,0,0,0,0,0.00555094962707207,0.0460872038567543,0,0,0,0,0.0104274174788679,0,0.256293467000385,0.33428651578375,0,0.235889930333609,0,0,0,0,0,0,0
X5880.TT.EQUITY,0.0235207534513623,-0.00353577218096325,0,0,0.0195255907987872,0,0.0114141636699736,0,0,0,0,0,-0.000360049092664286,0,0.14557903768322,0.0273999149537279,0,-8.67361737988404e-19,0.124192540773012,0,0,0.0130922387198891,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5534.TT.EQUITY,0.073810370756988,-0.0069052246678835,0,0,0,0,0.0105950784720376,0.00478620643364764,0,0.0910055669815703,0,0,0.0114169073459015,0,0,0,0.0247071942952493,0.120694089733667,0,0,0,0,0,0,0
X83.HK.EQUITY,-0.193142471820237,-0.110446580240962,0,0,0.966832981024278,3.75491226054733,0,-0.456025192618755,3.14951320843756,0,0,0,0.174763686448258,0,0.642755289464056,5.55111512312578e-17,0,-4.39986344565099,0,0,0,0,0,0,-4.28410344804563
X6005.TT.EQUITY,-0.390399987511331,0.00186735374625823,7.15532593383481,0,0,0,-0.177678512411713,0,0,0,0,0,-0.229015533541878,0,0,-1.65597942070284,-4.71617570399282,-1.73472347597681e-18,0,0,0,2.76652464148229,0,0,0
X2880.TT.EQUITY,0.120709094856765,0.00516695449790471,-0.145232137245457,0,0.0264085628919087,0,0.000527676174937677,0,0,0,0,0,0,0,0.347008643171944,0,0,0.0329840444386618,0.101053354952519,0,0,0,0,0,0
X2548.TT.EQUITY,0,0,0,0,0.0684539019064054,0.719614004146457,-0.030183488379261,-0.0287359590058719,0,0,0,0,-0.0122276862571293,0,0,0,0,-0.15951822718481,0.0173188774446498,0,0,0.101099304895676,0,0,0
X601878.CH.EQUITY,0,0.00279334510500128,-0.0150991998529356,0,0,0,0.00232321911906419,-0.00611827949672489,0.0292297424868606,0,0,0.323138863997198,0,0,0,0,0,0,-0.021732768140543,0.382614268444428,0,0.0125247482409755,0.199857860077813,0,0
X601377.CH.EQUITY,0,-0.000280482401376872,0,0,0.0122651640418057,0,0,0,0.0483860002817921,0,0,0,0.00169473952558532,0,0,0,-0.0267921145121065,0,0.0524599919778377,0.130806458929322,0,0.0444937038096897,0,0.336329080985122,0
X2867.TT.EQUITY,3.9211528420076,-0.00311408684698295,0,0,0,0,0.169001785979776,-0.337559816654555,-13.8517665976846,0,0,0,0,-5.5736979657395,1.17139107759333,0,0,2.91694736235118,3.36007869792439,0,-2.21966485375977,0,0,0,0
X2905.TT.EQUITY,0,-0.00646909398689153,0,0,0.00541321248167778,0,3.61424831697219e-06,0,0,0,0,0,0,0,0.112371856635066,0.0153013891554352,0.0186975455040991,0,0.0725686679676957,0,0,0,0,0,0
X2501.TT.EQUITY,0.370611699092541,0,0,0,0.0221640875364716,0,-0.0364300834495924,0.010101431807813,0,0,0,0,-0.0157798827420504,0,0,0.677120588525617,0.342703355595283,0,-0.087404196608654,0,0,0,0,0,0
X2855.TT.EQUITY,0,0.00402652726365488,0,0,0.0165899444072875,0.211346121541358,0.0275803176740736,0,0,0.175376105653149,0,0,-0.000826488764905272,0,0.0178291095749154,0,0.307709261010248,0.144296662433457,0,0,0,0,0,0,0
X2885.TT.EQUITY,0.247195841909541,0.00705678000023383,0,0,0.0199462063562652,0,0.0160883531004808,0,0,0.846105334263135,0,0,-0.03741964429968,0,0,0.23453182875278,0,0.393407287645264,0.00131993320505805,0,0,0,0,0,0
X9940.TT.EQUITY,0,-0.0083719305784677,0,0,0,0.315347802165551,-0.0342221025107528,0.0179791457058564,0,0,0,0,0.0309309034831909,0,0.422804719951545,0.348858971507893,0.0284981278090282,0,0,0,0,-0.15292051142836,0,0,0
X1808.TT.EQUITY,0,0.0211618613961456,0,0,0,0,0.0352808221937735,-0.0804694166345079,2.31282812518583,0,0,0,0.0567159855367157,1.11466695436813,0,0,0.205839337806447,-0.867464781139979,0,0,0,0.39978444659122,0,0,0
X601108.CH.EQUITY,0,-0.00557168318094062,0.0208997119197405,0,0,0,-0.00831907198425722,0,0.132179045021464,0,0.239166013095726,0.0566358542625357,-0.000379478906676321,0,0.0104602270613616,0,0,0,0,0,0,0,0,0,0
X2820.TT.EQUITY,0,0.0124748450491741,0.20857264879628,0,-0.0513110596079395,0,0.0157988524034228,-0.0200844723141534,-0.209681455565872,0,-0.146339335007733,-0.397159881126275,-0.00287251666277891,0,0,0,0.0557506769245114,0.111083616344326,-0.029964287828397,0,0,0,0,-0.115037829554217,0
X3040.TT.EQUITY,0,0.00563620246628817,0,0,0,0.140587534671384,0,0.0736067305468784,0,0,0,0,-0.00838298041732815,0,0.250352748099603,0,0.0985841171093114,-0.105198970524471,-1.73472347597681e-18,0,0,0,0,0,0
X000783.CH.EQUITY,0,-0.00240161226433378,0,0,0,0.0295255929159069,0.00247371823928035,-0.00510623963643536,0,0,0,0,0.00172395704546688,0,0,0,0.0252486952692305,0.0231994069292124,-0.0185122562394819,0.250288350651291,0,0.00391795749991598,0,0,0
X601162.CH.EQUITY,-0.00292314534505572,-0.00181880090540763,-0.0191382170876895,0,0.00743622592832553,0,0,-0.0138987217210397,0.00344395530216245,-0.0671780754814531,0,0,-0.00513282609264314,0,0,0,0.0125657915667325,-0.0734332074793032,-0.00702906243402015,0.178074891747006,0,0,0,0,0
X000656.CH.EQUITY,0.00923061943359383,-0.00265327751364629,0,0,0,0,-0.00126470877433399,0,0,0,0,0,0,0,0.0401289979580721,0,0,-0.0135550103061679,-0.0217418292902903,0,0,0.00669264666658295,0,0,0
