,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0.102949726810222,0,0.262093467415616,0,0,0,0,0,0,0,0,0,0,0,0.128869197451565,0,0,0,0,0.0287995362892294,0.0689638337755022,0,0,0,0,-0.00592944184778766,-0.00717979418131688,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0256742181105592,0,-0.0354498191415639,0,0.0773379554392102,0.559906649745456,0,0.0381771724711467,0,0,0,0,0,0,0,0,0,0,-0.0273559975347146,0,0
X601318.CH.EQUITY,0,0,0,0.364849405866632,0,0,0,0,0,0.0487911679150276,0,0,0.314296205718756,0,0,0,0,0,0,0,0,0.0841981960565358,0,0,0,0,0,-0.0104976569134492,-0.0229316897729884,0.0284425047320885,0
X2318.HK.EQUITY,0,0,0.304754742588487,0,0,0,0,0,0,0,0,0,0,0.197597781625119,0,0,0,0,0,0,0,0.0305542470932486,0,0,0,0.0421439937936113,0,0,-0.027594585937951,-0.0274163613018376,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0.512318123326385,0,0,0,0,0,0,0,0.214810736918481,0.0521934660160449,0,0,0,0.102288475806128,0,0,0,0.00602463814641324,0,5.42101086242752e-20,0.000792833864145055,0,0
X939.HK.EQUITY,0,0.628382256555081,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222192260621078,0,-0.0379765760915538,0,0.0551449660840434,0,0,0,0.0540053238682715,0.0713201021167103,0,0.0546096475638986,0.0104532720493939,-0.0257689413985587,0.0422434170886413,0.0144618210202317
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.201277347665875,0.106910562307766,0,0,0,0.359261882907296,0.00332251249321011,0,0,0,0,0,0,0,0.0416612091728355,0,0,0.0308177874957278,0,-0.0480581011429721
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.0321678773015127,0,0,0.0738788945831273,0,0.111152238712255,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105134620979777,0,0.0340657172304132,0
X601988.CH.EQUITY,0,0,0.139211142689304,0,0.139468484418684,0,0,0,0,0,0,0.0242481041348705,0.0675203918002852,0,0,0,0,0,0,0,0,0.0293751094354584,0,0.062409630168887,0,0,0,0.00913212913569482,-0.00435726347639606,0,0
X3988.HK.EQUITY,0,0,0,0.133280355764412,0,0.194186992806142,0,0,0,0,0,0,0,0,0,0,0,-0.105912314249288,0,0,0,0.0389370492880705,0.129902269623118,0,0,0,0,-0.0183884013249269,-0.00427894773496385,0.0490696733296289,-0.021017498521614
