,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0.0351615972226112,0,0,0.192891759804045,0,0,0,0,0,0.298718088366011,0,0,0,0,0,0,0,0,0,0,0,0.0732818656743114,0,0.0542228273470996,0,0,0.000563244472947851,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0232313114172655,0,-0.0480027894168202,0.0955128604887638,0.560253209279046,0,0,0.0462176779309024,0,-0.010964476898969,0,0,0,0,0,0,0,-0.0262996526323353,0,0
X601318.CH.EQUITY,0,0,0,0.0769501313226399,0,0,0,0,0.0692333098954417,0,0,0,0.179887635701319,0.297854142403229,0,0,0,0,0.0260995499925447,0,0.0673726381963365,0,0,0.0833804291162769,0.132907328194684,0,0,-0.00493546113031031,-0.00919416959555055,0.0471574581134153,0
X2318.HK.EQUITY,0,0,0.16518081462851,0,0,0,0,0,0.0268712303635427,0,0,0,0.279290989566516,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.00114733960360987,0,0,0,-0.0297389458946921,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.506309664516209,0,0,0,0,0,0,0,0,0,0.240057159738126,0,0.0635451818108369,0,0.0662920552579066,0,0,0,0,0,0,0.000407369366237575,0,0,0
X939.HK.EQUITY,0.1414073871175,0,0,0,0.120609037325628,0,0,0,0,0,0,0,0,0,0,0,0.0209705774791647,0,0,0,0,0,0.334475401693818,0,0,0,0,0.00817398281532731,-0.0248119601446985,0.00191312884521974,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0737710169584475,0,0,0.056864226233154,0,0,0.34726860393739,0,0.010945157445495,0,0.0869030882838254,0,0,0,0,0.0408176028943709,0,0,0.00816314565314795,0,0
X5.HK.EQUITY,0,0,0.0476194852232076,0,0,0,0,0,0,0.0322302041196229,0.0925129383619665,0,0,0,0,0.0615797008828001,0,0,0,0,0,0,0,0,0,0,0,0.00774539534486966,-0.0257220682741957,0.0443625704587175,0
X3988.HK.EQUITY,0,0,0.106203467321549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0937502880288787,0,0.0648546071016168,0,0,0.0785062292813865,0.136106823595867,0,0,-0.00156911097074274,-0.0153039751804386,0.0319438334893535,0
X601988.CH.EQUITY,0,0,0.101928912428758,0,0,0,0,0,0,0,0,0.0349455544850756,0,0.122620779288227,0,0,0,0,0,0,0.0599987009518106,0,0,0,0,0,0,0.00665354464201679,0,0,0
X1299.HK.EQUITY,0,0,0.170295613338126,0,0,0,-0.086931138551332,0,-0.0658089260790507,0,0,0,0,0,0,0,0,0.369388863244695,0,0,0,0.158411198377552,0.267450963139854,0,0,0,0,0.0138683303105976,0.00448228358025355,-0.0458030808828551,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269038985822821,0.22462144586011,0,0.122187874201506,0,0,0,0,0.0561621025139864,0,0,0,0.000286374732721713,-0.0234285739553378,0.0395867682167503,0.17763970201666
X2628.HK.EQUITY,0,0,0.0138369494721197,0.500122650419106,0,0,0,0,0,0,0,0,0,0.200978700459865,0,0,0,0,0,0,0.0451925844237798,0,0.0381036413864039,0,0,0,0,0,-0.014709807773388,0,0
X601628.CH.EQUITY,0,0,0.140423550918066,0,0,0,0.207619514014123,0,0,0,0,0,0,0,0,0,0,0,0.210188155042382,0,0,0,0,0.682541180464358,0,0,-0.00855502100533594,4.33680868994202e-19,-0.0499422637459111,0.106003950802851,0
X601328.CH.EQUITY,0,0.137077811186473,0,0,0.0900165671295173,0,0,0,0,0,0,0.301481411154011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00447446414678982,-0.00553165359540085,0,0.0422146145901791
X3328.HK.EQUITY,0,1.19930679683702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0935087849849361,0,0,0.00581889874005169,0.0263163610706115,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.290361153936183,0,0,0,0,0.0699605616245705,0,0.121256199200615,0,0,0,0,-0.0661091023994437,0.376757846595664,0.0346937684493821,0,0,0,0.00351147360345358,-0.00924383512932508,-0.12130130130608,-0.0197521693766985,0,0,0.03682271128942
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.180638272770225,0,0,0,0,0,0,0,0,0,0.158905235254157,0,0.113144813302581,0,0,0,0,0,0.0812560585931188,0.0171128003773304,0
X601319.CH.EQUITY,0.230221578641989,0,0,0,0,0,0,-0.232578512099445,0,0,0,0,0,0.113684023339701,-0.316587689947427,-0.0712814632566579,0,0,0,0,0.314183177349194,0,0,0.360520791908761,0,-0.272694906804159,-0.212127938572248,-0.0695938337294363,-0.0638496157752814,-0.240097843326879,-0.466291577547828
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.106151348798824,0,0,0,0.0792649394242392,0.183079851132967,0,-0.143461322670611,0,0,0,0,0.141908013484844,0,0,0,-0.0135634416882433,-0.00533903591103128,0,0.135674879562638
X000002.CH.EQUITY,0,0,0.134737504499742,0,0.0737432729545521,0,0,0,0,0,0,0,0,0.0801459325495334,0,0,0,0,0.0350933999025267,0,0,0,0,0,0,0,-0.185112711292369,0,-0.150611448964192,0.106108557893817,-0.106358927643251
X11.HK.EQUITY,0,0,0,0.148043424541593,0.324961855286874,0,0,0,0,0,0,0,0,0,0,0,0,0.0245217675428922,0.0506575217842168,0,0.0829338531088054,0,0,0,0,0,0,-0.0166752058153134,0.0101783569318272,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.144487223830341,0,0,0.0525563806465028,0,0,0,0,0,0,0,0,0,0,0.38759626713849,0,0,-0.0144577711078031,-0.00999929144193564,0,0
X601601.CH.EQUITY,0,0,0.112886519200336,0,0,0,0,0,0,0,0,0,0,0.424725651455672,0,-0.0129733590431379,0,0,0.16952104445751,0.05082014645428,0,0,0,0,0,0,0,0,-0.0260003059373376,0,0
X2388.HK.EQUITY,0,-0.0772323801343979,0.103254646081482,0.565890769601274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12348554921618,0,0,0,0.142767396787499,0,0,-0.0430774987478894,0.082563797178364,0,-0.0585253345661452,0,0.00206415446942985
CGB3M,0,0,0,0,0,0,0,0,0,0,-0.0804193525630155,0,0,0,0,0,-0.00326659351988477,0,-0.11110674948786,0,0,0,0,0,0,0,0,-0.0414889511017507,0,-0.795664227813815,-0.627616734053441
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.234269712990536,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.225497126104896,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.98771437543249,0,0,0,0,0,0,0,0.210950506838891,0,0,0,0,-4.18935292955884,0,0,0.436851739290876,0.330152015814321
TED.SP,0,0,-2.51691469162378,0,0,-0.757227684531832,0,0,-0.784212489238256,0,0,0.929452407634685,0,0,0,1.20251758664463,0,0.0397553582297961,0.559957586071162,0,-0.91546028898161,0.489069874501772,0,0,0,0,0,-0.0274917006487723,0,0.829804096677579,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0.295588960350249,0,0.185899824033775,0,0,0,0,-0.0584545380877808,-0.314855823934349,0,0,0,0,0,-0.973412038225837,0.183285151211785,0.0536946431530556,0,0,-0.480622710137581
