,X2892.TT.EQUITY,X2867.TT.EQUITY,X5880.TT.EQUITY,X2880.TT.EQUITY,X2548.TT.EQUITY,X6005.TT.EQUITY,X2501.TT.EQUITY,X5534.TT.EQUITY,X2885.TT.EQUITY,X5876.TT.EQUITY,X9940.TT.EQUITY,X2801.TT.EQUITY,X1463.TT.EQUITY,X600848.CH.EQUITY,X600663.CH.EQUITY,X2855.TT.EQUITY,X601377.CH.EQUITY,X2820.TT.EQUITY,X1808.TT.EQUITY,X2897.TT.EQUITY,X002939.CH.EQUITY,X002146.CH.EQUITY,X2511.TT.EQUITY,X5871.TT.EQUITY,X601166.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X2892.TT.EQUITY,0,0,0,0,0,-0.0110552333426359,0,0.0165216922572763,0,0,0,0,0,0,0,0.0441064363806847,0,0,0,0,0,0,0.0658992949375264,0,0,0,0,0,0,0
X2867.TT.EQUITY,0.251700916914225,0,0,0,0,-0.0466658383628035,0,0.14712272275459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5880.TT.EQUITY,0,0,0,0,0,-0.00459176300498258,0,0.0483739862703598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2880.TT.EQUITY,0.061055657037493,-0.00480898224622875,0.019285867765526,0,0,0.00101431245012527,0,0,0,0,0.033296492517968,0,0,0,0,0.0649112036063367,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2548.TT.EQUITY,0,0.206528573916572,0,0,0,-0.00570339433844058,0,0,0,0,0,0,0,0,0,0.23126327320315,0,0,0.0235812917741002,0,0,0,0,0,0,0,0.0384334058365782,0,0,0
X6005.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2501.TT.EQUITY,0,0,0,0,0,0,0,0.15514601760154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5534.TT.EQUITY,0.419462659017931,0.174034474106,0,0,0,0.0252857161334782,0.285617344332326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349116580966688,0,0,0,0,0,0
X2885.TT.EQUITY,0,0.0858749614897834,0,0,0,0.0109706858659752,0,0,0,0,0,0,0,0,0,0.0381764486830658,0,0,-0.0549550350899303,0,0,0,0.0457150891636666,0.0357566335528481,0,0,-0.0133395138464449,0,0,0
X5876.TT.EQUITY,0,0.0163955317883258,0,0,0,-0.00325354931164298,0,0.0247553993321805,0,0,0,0,0,0,0,0.00903628209151282,0,0,0,0,0,0,0.029309415792634,0,0,0,0,0,0,0
