,X2849.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X601878.CH.EQUITY,X601377.CH.EQUITY,X2548.TT.EQUITY,X83.HK.EQUITY,X2501.TT.EQUITY,X6005.TT.EQUITY,X1808.TT.EQUITY,X5534.TT.EQUITY,X000656.CH.EQUITY,X2880.TT.EQUITY,X601108.CH.EQUITY,X1463.TT.EQUITY,X2855.TT.EQUITY,X5.HK.EQUITY,X9940.TT.EQUITY,X2867.TT.EQUITY,X2885.TT.EQUITY,X3040.TT.EQUITY,X2905.TT.EQUITY,X2520.TT.EQUITY,X5871.TT.EQUITY,X600848.CH.EQUITY
X2849.TT.EQUITY,0,-0.144331015580753,-0.252022792601727,0,0,0,0,0.0652091997062502,0.42528964376353,0,0,0,-0.152244894123119,0,0,0.119562902786107,0,0.0937993767057829,0.0125493888802264,0,-0.144222807059267,0,0,0.834514804052763,0
X2892.TT.EQUITY,0,0,0,0,0,0,-0.0502409011744246,0,0,0,0.0797281203235393,0,0.394021056023326,0,0,0.50369684520758,0.062122437698723,0,0.0214178527426356,0,-0.118957443112347,0,0,0.255238618890988,0
X5880.TT.EQUITY,0,0.454900208012292,0,0,0,0,0.0199675756052116,0.00231629265331895,0,0.0138350520338846,0,0,0,0,0.0120749856326062,0.225155058839486,-0.0380260548071563,0,0.0138068017707764,0,0,0,0.29192375445112,0,0
X601878.CH.EQUITY,0,0,0,0,0.398766769768128,0,2.16840434497101e-19,0,0,0,0,0,0,0.266735041181374,0,0,-0.0249787094172849,0,-0.00176005295837866,0,0,0,0,0.0275608798209238,0
X601377.CH.EQUITY,0,0,0,0,0,0,0,0.0261852900257968,0,0.01430115551282,-0.0046315545747482,0,0.0126384919373611,0.201714734137587,0,0,0,0,0.00386229458648057,-0.0526401506491754,0.0909091519699466,0,0,0.0978385424680894,0
X2548.TT.EQUITY,0.0867218705828415,0,0,0,0,0,0.048440986879559,0.100718290871958,0,0.0284810319133177,0,0,0,0,0,0,0.00499769115685209,0.137227523666185,-0.0157044354012131,0,0.0325273188063986,0,0,0,0
X83.HK.EQUITY,0,-1.45865261841904,0,-1.29218840460784,0,0,0,0,-0.715382051567229,0.767911253170312,0,-7.20939642792722,0,0,0.447692712657221,0,0.983143870046639,0,0.103810464776561,0,0,0,0,0,0
X2501.TT.EQUITY,0.166555917208427,0,0,0,0,0,-0.0722603476924943,0,0.013224503880509,0.158371358913118,0,0,0,0,0.134173038497397,0,0.0699276161113929,0.278735890110623,0,-0.0971440265431895,0.194408466580544,0,0,0.0497388282169838,0
X6005.TT.EQUITY,0.290756283048734,0,0,0,0,0,-0.00438744913161675,0.140309513115737,0,0.116037711406493,0,0,0.700442704289819,0,0,0,-8.67361737988404e-19,0,0.00317891893941776,0,0,0,0,-0.533068240716107,0
X1808.TT.EQUITY,0.432923452428011,0,0,0,0,0.0982447280351405,-0.0191081804751316,0.0399641386253814,0,0,0,0,0,0,0,0,0,0,0.0129532233278735,0,-1.38777878078145e-17,0,0,0.272717189541423,0
X5534.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.213774499008049,0,0,0,0,0,0,-0.0352250885013924,0,0.0224533212910088,0,0,0,0,0,0
X000656.CH.EQUITY,0.060721610932544,0,0,-0.0807281768750716,0,0,0.0114835839488632,0.0602011229450677,0,-0.0782361140475779,-0.0139120351799969,0,0,0,-0.0192698755570669,0,0.0086937725670809,0,0.00394854367334111,0,0.119004362570587,0,0,0,0
X2880.TT.EQUITY,0,0.638056224529175,0,0.145022449416981,0,0,0.0182555316279557,0,0.116579381287616,0,0,0,0,0,0,-0.218273226796826,0,0.0144020832642468,0,0,0.0583608182817704,0,0,0,0
X601108.CH.EQUITY,0,0.000367610177553137,0,0.00442399767873787,0.332896008564788,0,0.0020400623137649,0.0686607817616867,-0.0131271054693164,0,0,0,-1.73472347597681e-18,0,-0.00242959179417911,0.260410673731143,0.0155178767661216,0,0.0010006872345736,0,0.048782937679321,0,0,0.0305086419265687,0
X1463.TT.EQUITY,0,-0.344813463937294,0,-1.1662409646408,0,0.528078443294179,-0.0873423958138504,0.949068231982276,0,-0.135033531510558,0,0,0,0,0,0.0885199325223713,0.0566522721764504,0,0.105418741049514,0.509008809886779,0,0.263684265450848,0,0,0
X2855.TT.EQUITY,0.195393079137706,0.0537184911881006,0,0,0,0.0518404129791538,0,0,0.159586861670392,-0.0487225478655516,0,0,0,0.465618132283368,0.100791848756693,0,0,-0.300199170557561,0.00773019531811669,0,0,0,0,0,0
X5.HK.EQUITY,-1.51033543072663,-0.352750522355569,-0.394105616057298,0,0,0,0.584139353204794,1.70631182299686,1.68475008872355,-1.08685255856066,-1.26653089912212,0,0,0,-0.639785948992497,0,0,0.809627756257231,-0.160586839745113,0,1.46841306926282,0,0,0,0
X9940.TT.EQUITY,0.198457150665648,0,0,0,0,0,-0.0037372710930332,0.206125305932437,0.126654338810813,0.134305321114935,0,0,0,0,0.0329923484969598,0,0.0335723835494997,0,0.00728814089159777,0,0,0,0,0.103680835387268,0
X2867.TT.EQUITY,0,0.105171590831693,0,-0.615843040693354,-5.62332040525842,0,0.34497528518811,1.3264657087487,-1.58295328470701,1.6016930437839,0,0,0,0,0,4.21146083697948,0,2.68623751930349,0,0,0,-6.83269579347892,0,-4.25635472884448,0
X2885.TT.EQUITY,-0.0440091972403027,0,0,0,0,0.702283305424526,0.0271570653918062,0,0.132473365926274,0.328077966491401,0,0,0,0,-6.93889390390723e-18,0.390299242871578,0,0,-0.0697023632934893,0,0,-0.51951514348792,0,0,0
X3040.TT.EQUITY,6.93889390390723e-18,0.0278937641500939,0,0,0.592348722587438,0,0,0.0576518102462319,0,0.188676536215,-0.0627688505013207,0,0.0237482854839747,0,0.14940652828326,0,-0.0156897803129837,-0.0551718576655303,-0.00519338652748833,0,0,0,0,0,0
X2905.TT.EQUITY,0,0.0348754810435097,0.0559733115695307,0,0,0,0,0,0.022613806615393,0.0603415155376913,0,0,0,0,0.0109624251772215,0,0.00277614178912596,0.0688907820898841,0.0115422004473537,0,0.142158294790123,0,0,0,0
X2520.TT.EQUITY,0,-0.0294082096856444,0.0499553004470466,0,0,0,0.000838664769051115,0,0.0327227415736395,0.0180697198488449,0.0505996851103334,0,-0.01189370887059,0,0.0421797906430588,0,0,0.0379610590846001,-0.00163175091919407,0,0,0,0,0,0
X5871.TT.EQUITY,0.0635459656989623,0.0446146039059481,0,0,0,0,-0.0189593040212986,0.0154491243004905,0,0,0,0,0.111010594131686,0,0,0,0.0168737620037844,0,0.0176884262534536,0.106534472082458,0,0,0,0,0
X600848.CH.EQUITY,0,0.00410373394656364,0,0,0,0,-0.00947677681538844,0,0,0.0315202926168969,-0.0289082929201566,0,0.0222658431192083,0,-0.0126201849083871,0,0.00908707562749366,0,0.00049147389066083,0,0.014564792327637,0,-0.112318868898586,0.0227545679782092,0
