,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0.308914422828089,0,0.201343300291026,0,0,0.436364562364467,0,0,0,0,0,0,0,0,0,0,0.106138675406226,0,0,0,-0.027796690803502,0,0,-5.42101086242752e-20,0.00874930020366532,0,-0.0173017946932304
X601398.CH.EQUITY,0,0,-0.0180689593065883,0,0,0.213270385626582,0,0,0,0,0,-0.0785538925800445,0,0,0,0,0.0502591777238645,0.314719693344563,0,0,0,0,0,0,0,-0.00288292051554212,0,0,0.0182231668148234,0,0.00975478237762184
X2318.HK.EQUITY,0,-0.275287267213718,0,0.594926502747321,0.033376012261327,0,0,0.0523345239539779,0,0,0,0,0,0.031225475731685,0,0,0,0.111517986555094,0,0,0,0,0.213456079773139,0,0.0084603724221071,0,0,-0.0242281331633252,0.0241765452446989,0,0
X601318.CH.EQUITY,0,0,0.240270512135797,0,0,0,0,0,0,0,0,0,0.0173349371899422,0.014771281868244,0,0,0,0.108039372081575,0.041048245906923,0,0.196062903785095,0,0,0,0.0802519128788362,0.0598244081091377,0,0.0385296646376962,5.42101086242752e-20,0,0
X939.HK.EQUITY,0.18598086690173,0,0.0127448735608492,0,0,0,0,0,0,0,0,0,0,0.105630756786761,0,0,0,0,0.165902625870823,0,0,0.156169354001579,0,0,0.0324934485690208,0,0,0.00572661345392087,0,0,0.0245854300839792
X601939.CH.EQUITY,0,0.202955196834025,0,0,0.142410158089974,0,0,0,0,0,0,0.0795139023289095,0,0,0,0,0,0,0.067598341214854,0,0,0,0,0.0420076709904391,0,0,0,0,-0.00912338566201628,-0.0353473116169749,0
X601288.CH.EQUITY,0.0217946161410554,0.268775259358289,0,0,0,0.293712161402944,0,0.10640226454301,0,0,0,0,0,0,0,0,0,0,0.0227123726533361,0,0,0,0,0,0,-0.0129277252998943,0,-0.00694827437286241,-8.67361737988404e-19,0,0.00393104774535986
X5.HK.EQUITY,0,0,0,-0.222326807226343,0,0,0,0,0,0,0.654918490649569,0,0,-0.129969812110213,0,0,0,0,-0.11459145175241,0.194914615222524,0,0,0,0.205196250314647,0,0.0901261882710765,-0.0686991276400945,0.00682915532900263,0.00569390474204006,0,0
X601988.CH.EQUITY,0,0.0182225178512194,0,0,0.068945921432568,0.29035930951022,0,0,0,0,0,0.0350013906081455,0,0,0.0759040687859783,0.0400062852527859,0,0,0,0,0,0,-0.0172468681393864,0,0,0,0,-0.00800952282662032,-0.0151068442863448,-0.0229165740177685,0
X3988.HK.EQUITY,0.251458578399335,0,0,0,0,0,0,0,0,0,0,0,0,0.0035350306711983,0,0,0,0,0,0,0.0448424161128088,0.11402749413327,0,0,0,0,0,0.00637456501237149,-0.0264621530331861,0.0217319839072365,0
X600036.CH.EQUITY,0,0,0,0.324847187833892,0,0,0,0.114840472101346,0,0,0,0,0,0,0,0,0,0.190928482911828,0.23221789591066,0,0,0.075988729506681,0,0.114398955979362,0,0,0,0,0.0380568921084975,0.0047985956846442,0
X601628.CH.EQUITY,0,0,0,0.231237311294414,0,0,0,0,0,0,0,0,0.165315776098582,4.33680868994202e-19,0.204361976852986,0,0,0.0120080606874063,0,0,0,0,-2.16840434497101e-19,0,0.102081104037318,-0.00774519911272931,0,0,-0.00911695177641676,0.149700058155937,0
X2628.HK.EQUITY,0,0,0,0.0778124105974509,0,0,0,0,0,0,0,0,0,0.26783652324132,0,0,0,0,0,0,0.0423020102075993,0.0233357366645381,0,0,0.000413007314841394,0,0,6.7762635780344e-21,0.0335515088153671,-0.0321024114265139,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.102616160224185,0,0,0,0,0,0,0,0.0370485379472662,0,0.397123763883648,0.340717696146595,0,0,0,0,-0.00761837320621814,0.0616003673494217,-0.0525772062720893
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0.114710780609007,0,0,0.0551897493312012,0,0,0,0,0,0,0.128442293830142,0,0.320235108549045,0,0,0,0,0.11480319378752,0,-0.0197418647702698,0.0150723526074423,0,0
X601328.CH.EQUITY,0,0.00234705905466209,0,0,0,0.122325095929099,0,0,0,0,0,0.0130177339137141,0,0,0.0180639877132895,0,0,0.164688651844531,0.0839745272395657,0,0,0,0,0,0.0503379382011981,0,0,0,0,-0.0267872676553592,0.0197246907527533
X3328.HK.EQUITY,0.0166761375680453,0,0,0,0.146498789847862,0,0,0,0,0,0,0,0,0.0556663898795624,0.139351601197755,0,0,0,0,0,0.149014294883222,0.144739021007982,0,0.0231387750149853,0,0,0,-0.00482794769610366,0,0,0
X600000.CH.EQUITY,0,0.125878192334858,0,0.117722943775116,0,0,0,0,0,0,0.264878017022425,0,0,0,0.220090983995857,0.305343853184719,0,0,0.0865821681270175,0,0,0,-0.00649427823290826,0,0,-0.0149938674744418,0,0.00402718005115136,-0.0328590736190462,0,0.0297548291919879
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.250447355692819,0,0,6.93889390390723e-18,0,0,-0.0401900564675889,0,0,0,0,0,0,0,0.422850041944915,-0.122301499754742,0.140369508068632,-0.0182053167927437,0.0374394107104003,-0.314506064243986,0
X000002.CH.EQUITY,0,-0.0700788733696503,0,0,0,0,0,0.132903515210335,0,0,0,0,0.0407004189303468,0,0,0,0,0,0,0,0,-0.109481832710892,0.236245725564976,-0.171145018366064,0.397423700661047,0.109316606933665,0,0.0182756502978509,0.0601065953560834,0,-0.0645718750345455
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.112598407177951,0.318597841945205,0,0,0,0,0.209863144310709,0,0.0773659223767175,0,0,0,0.215447594394423,0,0,0,0,-0.0479292438413932,-0.00470648841369226,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380817564308028,0,0,0,0,0,0,0,0,0,0.528029806119341,0,0,0,-0.0333343129830814,0.027784970238908,0,0
X388.HK.EQUITY,0,0,0,-0.334652180543647,0,0,0,0,0,0,0,0,0,0.507069062353177,0,0,0,0,-0.00677214316129251,0,0.219009959865734,0.117742675396192,0,0,-0.108868265758574,-0.00265408092466515,0,0.0438904061354789,0.0315874460251609,-0.0732761827872634,0
X11.HK.EQUITY,0,0,-0.0929294812283195,0,0,0,0,0.367098281751849,0,0,0,0,0,0.519543169690956,0,0,0,0,0,0,-0.266314024545967,0,0,0,0,0,0,0.0192695307766815,0,0,0
X601319.CH.EQUITY,0,0,0,0.38147929487291,0,0,0,0,0,0,0,0,0,0,-0.37475417778683,0.572412865720325,0,0,0,0.00217165730513147,-0.285371732906252,0,0,0,0,0.456374893882887,0,0.00652753856189621,-0.222190783337292,0.172677875724967,-0.174456390383498
CGB3M,0,0,0,0,0,0,0,0,0,0,0,-0.129751402504138,0,0,0,0,0,0,0,0,0,0.0550567916319215,0,0,-0.0763037062180742,0,0,0.0154760193906182,-0.00166794645617772,-0.892182213667197,-0.659185022885384
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.2419713315978,0,0.103195238309596,0,0,0.00958549192179029,0,0.0983099994137644,0,0,0,0,0,0,0,-0.112222244735813,0.00981433300969491,0,0
