,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0753109023066596,0.0519340503003825,0,0,0,0,0,0,0,0,0.124934463333497,0,0,0.0673739979149536,0,0.00470401674054632,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.600306547442086,0,0,0,0,0,0,0.0892934061111165,0,0,0,0.0742150996730128,0.00549064610467092,0,0,0.047709803122302,0,0.0056843171569573,0,0,0.002070610157356,0,0.00365708358446001,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0.0507442790762128,0,0,0,0,0,0,0.264398907207384,0,0,0,0,0,0,0,0.319426824899076,0.0732162010552703,0,0,0,0,0,-0.00353964874659905,0,0.00342095899956276,0
X601318.CH.EQUITY,0,0,0,0,0,0.195586981006736,0,0,0,0,0,0,0,0.153368629044278,0,0,0,0,0,0,0.205128207880442,0,0.0981829768877897,0.0477265917926118,0,0.0319292607061128,0,0.00715935024251264,0.00942815277075607,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0194692645016009,0.0582086504506291,0,0,0,0,0,0,0.434944229025233,0,0,0,0,0.0259398208467149,0,-0.00897577762742216,-0.00413899711894208,0,0
X939.HK.EQUITY,0,0.491041078477826,0,0,0,0,0,0,0,0,0,0.0912665182568174,0.0964620265456618,0,0,0,0,0.104866920147882,0,0,0,0,0,0,0,0.0305307872370951,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105086471955922,0,0,0,0,0,0,0.0912361247754317,0,0.0676063974362198,0.0369624314043645,0,0.0452732355069917,0,0,-0.00732458093804363,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0927439556297319,0.0697943567125743,0,0.0374526378425593,0,0,0,0.219001401419589,0,0,0,0,0,0,0,0,0,0.0175223966178461,2.16840434497101e-19,0.0131776435764559,0
X3988.HK.EQUITY,0,0,0,0,0,0.173501544082154,0,0,0,0,0,0,0,0.237207384547764,0,0,0,0.0368247596772621,0.0103796421993291,0,0,0,0.0251902582509646,0,0,0.0182283386650246,0,0.00657217090270662,-0.00297237192039929,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0395845145235626,0.0285504902704182,0,0,0,0,0.0930334260333773,0,0.0676497977466966,0,0.104183391769079,0,0,0.0135759844520856,0,0.00338073779529335,-0.000299334687232176,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00477971979061581,0,0,0.0363844335400721,0,0,0.315434217692079,0,0.0599755576878567,0.0813527375168011,0,0,0,0.00899980618489424,0.00405817817107061,0,0
