,X5522.TT.EQUITY,X2884.TT.EQUITY,X600848.CH.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X5534.TT.EQUITY,X2867.TT.EQUITY,X2501.TT.EQUITY,X2880.TT.EQUITY,X1463.TT.EQUITY,X600663.CH.EQUITY,X9940.TT.EQUITY,X2548.TT.EQUITY,X6005.TT.EQUITY,X601162.CH.EQUITY,X2537.TT.EQUITY,X2801.TT.EQUITY,X5876.TT.EQUITY,X2885.TT.EQUITY,X002945.CH.EQUITY,X002939.CH.EQUITY,X2820.TT.EQUITY,X601377.CH.EQUITY,X1808.TT.EQUITY,X2897.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X5522.TT.EQUITY,0,0.0910292313363776,0,0,0,0,-0.0479199846341226,0,0,0,0,0,0.0661654517340773,0,0,0,0.076000405205959,0,0,0,0,0,0,0,0,0,0.0662517325141137,0,0,0
X2884.TT.EQUITY,0,0,0,0.317226432045542,0,0,0.0259808838502554,0,0,0,0,0,0,0,0,0,0.0340007141685673,0,0,0,0,0,0,0,0,0,0,0,0,0
X600848.CH.EQUITY,0,0,0,0,0,0,0.00250293639169323,0,0.0525491911440301,0,0,0,0.00847168094675253,0,0.00831758032824137,0,-0.0575767548854161,0,0,0,0,0,0.267578200291603,0,0,0,0,0,0,0
X2892.TT.EQUITY,0,0.105202070913075,0,0,0,0,0.0152712929071278,0,0,0,0,0,0.00094402763996497,0,0,0,0.180954851864701,0,0,0,0,0,0,0,0,0,0,0,0,0
X5880.TT.EQUITY,0,0.0270177711031249,0,0,0,0,0.0507362879388653,0,0,0,0,0,0,0,0,0,0.0983228897944598,0,0,0,0,0,0,0,0,0,0,0,0,0
X5534.TT.EQUITY,0.0339513570728787,0,0,0,0,0,0,0,0,0,0,0.107379611068752,0,0.0931708100143291,0,0,0,0,0.0673068712857207,0,0,0,0,0.0307707860163214,0,0,0,0,0,0
X2867.TT.EQUITY,0,0,0,0,0.42786965154377,0,0,0,0,0,0,0,0.177396740569042,0,0,0,0.0718579267357851,0,0,0,0,0,0,0.13521230447215,0,0,0,0,0,0
X2501.TT.EQUITY,0.0119807203918354,0,0,0,0,0.0508399448336663,0.0438105381178279,0,0,0,0,0,0.0564937191813258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2880.TT.EQUITY,0,0.03093182485121,0,0,0.102695467649929,0,0.0433672356754151,0,0,0,0,0,0,0,0,0,0.154104612060963,0,0,0,0,0,0,0,0,0,0,0,0,0
X1463.TT.EQUITY,0,0,0,0,0,0,0.0113714335558846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
