,X2849.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X83.HK.EQUITY,X601878.CH.EQUITY,X5.HK.EQUITY,X2548.TT.EQUITY,X6005.TT.EQUITY,X601377.CH.EQUITY,X1808.TT.EQUITY,X5534.TT.EQUITY,X2501.TT.EQUITY,X2880.TT.EQUITY,X5871.TT.EQUITY,X2885.TT.EQUITY,X3040.TT.EQUITY,X2855.TT.EQUITY,X1463.TT.EQUITY,X9940.TT.EQUITY,X2867.TT.EQUITY,X600848.CH.EQUITY,X600109.CH.EQUITY,X601108.CH.EQUITY,X000656.CH.EQUITY,X2905.TT.EQUITY
X2849.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.0373216613987737,0,0.0678095293734396,0,0,0,0,0.0931894530247187,0,0.115950628250071,0,0,0,0,0,0
X2892.TT.EQUITY,0,0,0.318546358890342,0,0,0,0,0,0,0,0,0,0.225512429160699,0.15327684106349,0.0266160845579693,0,0,0,0,0,0,0,0,0,0
X5880.TT.EQUITY,0,0.0953273851121887,0,0,0,0,0,0,0,0.0191067646940469,0,0,0.103628412896112,0.195768546749031,0.0266624143446252,0.0140753880048833,0,0,0,0,0,0,0,0,0
X83.HK.EQUITY,0,0,0,0,0,0.116820835540656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601878.CH.EQUITY,0,0.0501667732555588,0,0.005671639533652,0,-0.0177719863018793,0,0,0.192468211703859,0.00789769496829166,0,0,0,-0.00692334856417454,0,0,-0.00124210978885212,-0.0151103817568006,-0.0301905333542331,0,0,0,0.147214395288475,0,0
X5.HK.EQUITY,0.00443715950810106,0.315954924778853,0,0.387822370908164,0,0,0,0.0181043175097083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.247645312220447
X2548.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.156603641658071,0,0,0,0.0709661841568051,0,0.0185030558667925,0,0,0.0524654596877314,0.0610112829378835,0,0,0,0,0.0868936398989841
X6005.TT.EQUITY,0.0420365662807304,0,0,8.67361737988404e-19,0,0.0169978721080242,0,0,0,0.127695715518254,0,0,0.0435911930221895,0,0,0.179963730636764,0,0,0.0536572258193179,0.19776630144192,0,0,0,0,0
X601377.CH.EQUITY,0,0.0241585227079889,0,-4.59252431640383e-05,0.153283788948977,0,0,-0.0042895867475994,0,0,0,0,0,0,0,0,-0.00343269756209501,-0.00293424328385629,0,0,0,0.0716548235599822,0,0,0
X1808.TT.EQUITY,0,0,0,0,0,0,0.389022858494813,0,0,0,0,0.14118737794125,0,0,0,0.244973703601778,0,0,0,0,0,0,0,0,0.341261067992587
X5534.TT.EQUITY,0,0,0,0,0,0,0.0723418125431069,0,0,0.0768677732522517,0,0,0,0,0.0422328097944353,0,0,0,0,0.104819676072417,0,0,0,0,0
X2501.TT.EQUITY,0.0854549412843707,0,0.0426544954628019,0,0,0,0,0,0,0.261299291178347,0,0,0,0.00238020997516795,0,0.127347093958811,0,0.010638518321734,0.104154616148252,0,0,0,0,0,0
X2880.TT.EQUITY,0,0.167172158250164,0.280388202283507,0,0,0,0,0,0,0.0854538103058723,0,0,0,0.0646359503251799,0.0129799305132228,0.0308794874026053,0,0,0,0,0,0,0,0,0.128507015886634
X5871.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413833856262058,0,0,0,0.170417080312863,0.39539901390459,0,0,0,0,0
X2885.TT.EQUITY,0,0,0.15072506305666,0,0,0,0,0,0,0,0,0,0,0.228977536131961,0,0.0817475893384114,0,0,0,0,0,0,0,0,0
X3040.TT.EQUITY,0,0,0,-0.00109968473195707,0,0,0,0,0,0.139605891475013,0,0,0,0.0104306654838978,0.110372371701262,0,0,0,0,0.172542651887543,0,0,0,0,0
X2855.TT.EQUITY,0.0766462645929072,0,0,0,0,0,0,0,0,0.0336232121000946,0,0,0,0,0,0.0759600672905257,0,0,0,0.0490228582218784,0,0,0,0,0.167492774188282
X1463.TT.EQUITY,0,0,0,0,0,0,0.10618161276511,0,0,0.00842319430643206,0,0,0,0,0,0.143229929964295,0,0,4.33680868994202e-19,0.0285864282112015,0,0,0,0,0.0998726851589997
X9940.TT.EQUITY,0,0,0,0,0,0,0.253547760940827,0,0,0.124918413071232,0,0,0,0.328740813845489,0,0,0,0,0,0,0,0,0,0,0
X2867.TT.EQUITY,0,0,0,0,0,0,0.016642223962994,0,0,0.00620278523356228,0,0,0,0.20799490083024,0,0.221715332439916,0,-4.33680868994202e-19,0,0,0,0,0,0,0
X600848.CH.EQUITY,0,0.00225164299614051,0,-0.00194313139398547,0,0,0,-0.000173830202254686,0,0,0,0,0,0,0,0.0310121905440899,0,-0.0209128190861716,0,-0.0191007667397078,0,0,0,0,0
X600109.CH.EQUITY,0,0,0,-0.00240229234409134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601108.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000656.CH.EQUITY,0,0,-0.0335642917707834,0,0,2.16840434497101e-19,0,0,0,-0.01574054613072,0,0.0261221960697477,0,0,0,0.0498740668672018,-0.0261201276176495,0.00415177647506843,0,0,0,0,0,0,0
X2905.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.169732101348561,0,0,0,0,0.0768340269826439,0,0,0,0,0,0,0,0,0,0
