,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0.0672453605142956,0,0,0,0.0566667522739609,-0.0053218346843095,0,0.309259409278164,0,0,-0.0394569261488628,-0.0875922607799408,0,0,0,0,0,0,0,0,0,0.0242780274987361,0,0.0343068830298501,0.0022367682190943,0,0
X1398.HK.EQUITY,0.0739016199041392,0,0,0,0,0.594616447475704,0,0,0,0,0.120920145736256,0,0,0.034151903614492,-0.0506723536344864,0,0,0,0.154456236096237,0,0,0,0,0,0,0.0224287693282749,0,0,0.01199179595944,0,-0.0100469538646727
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.126384723950591,0,0,0.0488975928822306,0,0,0,0,0,0,0,0.0419966941024478,0,0,0,0.243119997576118,0,0,0,0.000502789325493561,0.0420823221581234,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0598776578383446,0.0876027384696075,0,0.163937238181757,0.0303572198810466,0,0,0,0,0,0,0.00840332744544055,0,0,0,0.0472905905428624,0,0,0.00807254362942764,-0.00291563830475742,0.0144631273378502,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.939995834450982,0,0,0.0260874495087843,0,0,0,0,0,0,0,0,0,0,0,0,0.0491987479086364,0,0,-0.0146282972027152,0,0.0158286017955991,-0.0104512073042364,0.0118589196296592,0
X939.HK.EQUITY,0,0.387623311068731,0,0,0,0,0,0,0,0,0.032581918168228,0,0.169101369056156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00293366197173776,0,0.0271247072045777,0
X601288.CH.EQUITY,0,0,0,0,0.779623792719646,0,0,0,0,-0.0198516606327846,0,0,0,0,0,0,0,0,0,0,0.00335256563425704,0,0.0388086912578392,0,0,0,0,0,0.00247387301191931,0.0105834651999028,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0.00388368762568067,-0.0177045356834273,0,0.123939962183285,0,0,0,0,0.210215722683311,0,0,0,0.0518724754142821,0,0.0454394158623648,0,0,0,0,0,-0.0102456362831994,0.00394864895773857,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.175488644604489,0.309351176005148,0,0,0.0391237436141016,0,0,0,0,0,0,0.00963318599700443,0.100652850662327,0,0,0,-0.000768593961898174,0,0,-0.00649763995636098,0.0145824758127309,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.076922153057332,0,0.0956992437863223,0,0,0.0228755168568151,0,0,0,0,0,0,0.395552383774862,0,0.491590676742066,0,0,0,0.000736165674699449,-0.00547136261369394,0.179863124734947
X2628.HK.EQUITY,0,0.0475810081429042,0,0,0.249122657223599,0,0,0,0.288892460207468,0.17081350237944,0,0,0.517458911439826,0,0,0,0,0,0,0,0,0.0447604158660373,0,0,0,0,0,0,-0.00286528105065518,0.0151836660667222,0
X600036.CH.EQUITY,0,0.00935451452531137,0,0,0.553364350788144,0,0,0,0,-1.73472347597681e-18,0,0,0.0976130530695635,0.0472441365331537,0,0,0,0,0,0,0,0,0,0,0.111109136818328,0,0,0,0.0146989231035374,0,0.0487687669666595
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.157548337566108,0.256352618862347,0,0,0.333589847002164,0.311223163924933,0,0,0,0.356628651184705,0,0,0,0,0,0,0.0253997437609699,0,-0.0737933734568284,0,0,0.0883090259681215
X5.HK.EQUITY,0,0,0,0,0,1.04288409134918,0,0,0.0743348874688001,0,-0.360214954814104,0,0.210715023167192,0,0,0,0,0,0,0,0,-0.0750346286453601,0,0,0,0.040511918811827,0,-0.149467974782829,-0.00881213274099883,0,-0.224188038959031
X388.HK.EQUITY,0,0,0.158956584838277,0,0,0,0,0,0,0,0.0550668691741219,0,0.0848045672267652,0,0,0,0,0,0.529347338974988,0,0,-0.032264812119572,0,0,0,-0.108333742075994,0,0.0542022876694551,0,-0.0805005400215306,0.0164504522908406
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.116315130697288,6.93889390390723e-18,0,0.100714942373542,0,0,0,0,0,0,0,0.465145313049615,0.0382845032290124,0,0,0,0.0334938475073971,0,0,0.0276473704133005,-0.0248923810787998,0
X601166.CH.EQUITY,0,0,0,0,0.10460907910671,0,0,0,0,0,0.0498018375958644,0.172847670307502,0,0,0,0,0,0,0,0,0.101606739331007,0,0,0,0,0,0,0,0.000626782049183593,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.078175810055625,0,0,0,0,0.105462815315878,0,0,0,0.0420992395867143,0.181937178621857,0,0,0,0.0277122365729167,0,0,0,0,0,0,0.0116345424858314,0,-0.00507618336485648,0
X3328.HK.EQUITY,0,0.0239271762680259,0,0,0,0,0,0,0.0554349687717308,0,0,0,0.189606510662195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0633201459509321,-0.0129270216916605,0,-0.106416970668586
X600000.CH.EQUITY,0,0,0,0,0.0141594923129856,0,0,0,0,0,0.0259656740152325,0.0748065267844078,0.00519627927312163,0,0.00748308941271955,0,0.472380927260629,0,0,0,0,0,0,0,0,0,0,-0.0142281939626134,0.00225949050745865,0.000817794197393551,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0.16353201489069,-0.0658473142101987,0,0,0,0,0,0.778198388641793,0,0,0,0,0,-0.124789296478169,0,0,0,-0.0535314247340455,0.0124688311269206,0,0,0.0154293898675808,-0.135079646343342
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.00765256542183645,0.0900952103718855,0,0,0,0,0,0,0,0,0,0,0,0.141479921638313,0,0.111166451926787,0,0,0,0,0.0295832915831993,-0.0651605189097284
X601319.CH.EQUITY,0,0,0,0,0,0,0.188853430333062,0,0.0316251288557184,0,0.352846281669735,0,0,0,0,0,0,0,0,0,0.113380889571544,0,0,0,0.223188391151851,0,0,0.00900916345583197,-2.16840434497101e-19,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.371274607206899,0.00814572662903301,0,0,0,0,0,0,0,0.0239954335074191,0,0,0,0.105303838044634,0,0,0,-0.012694867260566,0.0302221937127081,-0.059442956175017
