,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0.232095265810613,0,0,0,0,0,0,0,0,0.00996589520273175,0,0,0.117593532753803,0.0396906029625561,0,0,0,0.0631892039206756,0,0,0,0,0,0,0
X1398.HK.EQUITY,0,0,0,0,0.336756850946744,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0603863887393775,0,0,0,0,0,0,0.0329231102236523,0,0.0858832976915735,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0375797470253148,0.036926164642994,0,0,0,0,0.0091910993879603,0.0378227720786267,0,0.218175104073381,0,-2.16840434497101e-19,0,0,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175051966123576,0,0,0,0,0,0,0.0376726882424087,0,-8.67361737988404e-19,0,0,0,-0.0106218973893431,0,0,0
X939.HK.EQUITY,0,0.345373310594897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00944524037679293,0,0,0,0.204153082860662,0,0,0,0.010520211216401,0,0,0
X601939.CH.EQUITY,0.0560948876106428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201834904577141,0.15488894242746,0,0,0,0.105108194226977,0,0,0,0,0.000518074715647443,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0170183669710516,0,0,0,0,0.0476822591711519,0,0.0351951639631921,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0822741224773569,0,0,0,0,0,0,0,0,0,0,0.355523320039606,0.0809892113075795,0,0.0112073547899981,0,0,0
X3988.HK.EQUITY,0,0.153228435882661,0,0,0.098223782768351,0,0,0,0,0,0,0,0,0.00530892045140947,0,0,0,0,0.000304603565645699,0,0,0,0.0830271265572937,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0564357326436416,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12350906357194,0,0,0.0234962030643841,0,0,0,0,0.0620617855666244,0,0,0,-0.0111132786185219,0,0,0
X600036.CH.EQUITY,0,0,0.113532086307879,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.252354593322451,0,0,0.106420371498503,0,0.0851731093465793,0,0,0,0.018001750620281,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.124850130406793,0,0,0,0,0,0,0.340020429872948,0.261604996185717,0,0.0293692100774904,0,0,0,0.00671097305013496,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.152344040260539,0,0,0,0,0,0,0,0.013495568824364,0,0.00767058361136203,0.253212086178904,0,0,0,0.00389180011427069,0,0,0
X1299.HK.EQUITY,0,0,0,0.0411375136726254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250704983969374,0.0927705914065475,0.193203810695782,0,-0.0109562971587682,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.166772771666656,0,0,0,0,0,0.247847439500314,0.135508758393135,0,0.0522619374149878,0,0,0,0,0,-0.0104366090397372,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018356674642575,0,0,0.326525550978632,0,0,0,0,0,0,0,0,-0.00324049356833938,0,0,0
X3328.HK.EQUITY,0,0.172252580791612,0,0,0,0,0,0,0,0,0,0,0,0.0592853002876203,0,0,0,0,0,0,0.0369738605449934,0,0.0265456734843422,0.0503498511783172,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.184479880689516,0,0.063856774270778,0,0,0,0,0,0.240552979678323,0,0,0,0,0,0,0,-0.0171071409753394,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0733335781003871,0,0,0,0,0,0,0.325706315129328,0,0,0.151748179149236,0,0.0434299443090723,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.183090530914662,0,0,0,0,0,0,0,0,0.0445014916100173,0,0.113537551232901,0,0,0,0,0.0180004294174191,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.306027670026544,0.172014901253492,0,0,0.120699418366139,0,0,0,0.068721379529334,0.0632529525041048,0,0,0,0,0.0350526868407289,0,-0.00195141296385919,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0904724808352503,0.0501712070906638,0,0,0,0,0,0,0,0.0929437466393468,0.0677557955562434,0,0,0,0.0727542657265118,0,-0.00458541092905909,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0442975694031067,0.14615153802104,0,0,0,0,0,0,0,0,0,0.45897451177462,0,0,-0.0255990202148115,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086148184985225,0,0,0,0,0,0,0,0,0.229039359175326,0,0,0,-0.000681201188750156,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349407564738161,0,0,0,0,0,0,0.0283623052018257,0,0.18219569015447,0,0,0,-0.00568732283189501,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221619863698183,0,0,0,-0.0921051289279275,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121098261905585,0,0,0,0,0,-3.93650379352537,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92196408465484e-06,0,0,0,-6.53123619706401e-07,0,0.99996593340909,0.999938570039035
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15298577087066e-06,0,0,0,0,0,0,0,0,0,0,0,0,-1.91972845164176e-06,0.999867975828293,0,-0.999753438222253
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0.0509895435120886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274819175988049,0,0
