,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0,0.550684491246871,0,0,0,0,0,0,0.0909229705971294,0.00687801331942925,0,0.13890801722186,0,0,0,0,0,0,0.0357220819957526,0,0,0.00964449674164883,0,0.0031460283392968,0.000500869305100167,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.142901089819722,0.00673619937640226,0,0,0,0,0,0,0.0131413704117917,0.206110238996902,0,0,0,0.0294422828560266,0,0,0.00395707200019877,0,0.028865970953828
X601318.CH.EQUITY,0,0.17253686218983,0,0.385071631309496,0,0,0,0,0,0,-0.0423907643145072,0,0,0.193930548694115,0,0,-0.152794295121813,0,-0.0050480500065812,0,0,0.144569476539594,0,0,0,0.086931011368865,0,0.00313582681543509,0.00901390188040218,0.0452868643536204,0.0526295448539633
X2318.HK.EQUITY,0,0,0,0,0,0.0208622013696519,0,0,0,0,0,0.101340767116508,0.238003248959378,0,0,0,0,0.311569747230469,0,0,0,-1.73472347597681e-18,0,0,0,0.0364926770121734,0,0,0.00157792796938487,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0716074710389682,0.0292679204026636,0.0404956794847654,0,0,0.271445571132914,0,0,-6.7762635780344e-21,0,0.10175655755861,0,0,0.0514572202341761,0,-0.00224301499714028,0.00900170078428702,0,0
X939.HK.EQUITY,0.508019361885537,0,0,0,0,0,0,0,0,0,0,0.083606370653159,0.102837397615337,0,0,0,0,0,0,0,0.00507563624820553,0.120477214906028,0,0,0,0,0.0152590745676141,0,0.00150891300154524,0,0
X601288.CH.EQUITY,0,0,0,0,0.30174101610027,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.0171192892823511,0.0344255645416123,0.0790215402166616,0,0.0932546418538455,0.00695177072320047,0,0,0,0,0.00140239343904277
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.076013968466746,0,0.10036500941576,0,0,0.0504598009176159,0.0158703074799131,0,0,0,0,0.30609837534982,0,-0.0104821311791462,0,0,0.0103974156815703,0,0.0183675729104371
X3988.HK.EQUITY,0.442353384892104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179781655710065,0,0.173766784082207,0,0,0,0,-1.73472347597681e-18,-0.00776800050610946,0.0148462478248734,0
X601988.CH.EQUITY,0,0,0,0,0.00546564207786858,0,0,0,0,0,0,0,0.10319345166908,0.0410329764633285,0,0,0,0.131716221359867,0,0,0,0.0206929691457917,0.0549651768883238,0,0,0.0098999278182551,0,0,0,0,0
