,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0.481902207107877,0,0,0,0,0.137389194103021,0,0,0,0,0,0,0,0,0,0,0.131061261229668,0,0.0354844261519621,0,0,0,0,-8.59517490647603e-05,0,0,0
X601398.CH.EQUITY,0,0,0,0,0.0251870531234193,0.15715431446384,0,0,0,0,0,-0.0783762598472306,0,0,0,0,0,0.363087331895187,0,0,0,0,0.00591066779214345,0,0,0,0,0.00402048928452152,0.0208667066254891,0,0.00792503854541063
X601318.CH.EQUITY,0,0,0,0.240910520792791,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0753115390160407,0.243383975200216,0.0838642814658299,0.15907653021565,0,-0.0224400295740627,-0.0401462015830172,0,0.0256590223168782,0,0.0235852193992889,-0.00418418346893182,0,-0.0853204955279384
X2318.HK.EQUITY,0,-0.157890140228404,0.419142078764723,0,0,0,0,0,0,0,0,0,0.00847647053800988,0,0,0,0,0,0,0,0,0,0,0,0.32067549394198,-0.00839209422358458,0,-0.000490120157382591,-0.0193998592604862,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215653689772101,0,0,0.164073432451863,0,0.0139238161514846,0.0826266963582774,0,0,0.122466062019394,0,0,0,0,0.00296571692885519,0.000703936884478347,0,0.00331551712213572
X601939.CH.EQUITY,0,0.263095071702819,0,0,0.121742209809758,0,0,0,0,0,0,0.0905105880108454,0,0,0,0,0,0,0,0.0952490370447348,0,0,0,0,0,0,0,0,-0.00906950792975736,-0.0242150373784572,0
X601288.CH.EQUITY,0.00688466115715842,0,0,0,0,0.328115429359204,0,0,0,0,0,0,0,0,0,0,0,0,0.220555657241465,0,0,0,0.0221553391991955,0,0,-0.0196942329348241,0,-0.00544558457105307,-0.00436172439564837,0,0
X5.HK.EQUITY,0,0,-0.204655160355651,0,0,0,0,0,0,0,0.71508011347488,0,0,-0.0964354468146366,0,0,0,0,0,-0.075142190340603,0,0.144633943405752,0,0.105490717824262,-8.67361737988404e-19,0.05358019116056,-0.0264159744468339,0,0,0,-0.0119562202991021
X601988.CH.EQUITY,0,0.160024967371507,0,0,0.136269181661114,0.165564921047873,0,0,0,0,0,0,0.0493307073588532,0,0.0719725010778301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3988.HK.EQUITY,0.351783761938262,0,0,0,0.0213344191951257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024966391608639,0.0750980487569516,0,0,0,0,0.000236314794727392,-0.011350169584528,0.0489247657853073,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.00172942949593358,0,0,0,0,0,0,0,0,0,0.0952792922890385,0,0.28377062695417,0.140285124000245,0,0.166872227126779,0.144302673359053,0,0,0,0.0414794544585557,0.0105258419131497,0.0158733801514497,0
X601628.CH.EQUITY,0,0,0.333860300481537,0,0,0,0,0,0,0,0,0,0,0,0.134447989335028,0,0,0,0.265827763865411,0,0,0,0,0,0,0,-0.216867367963561,0,-0.00988467754249778,0.126213287188275,0.0220363440052928
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0455125018517372,0,0,0,0,0.163199745831672,0,0.455039075841979,0.0480134305207947,0,0,0.0227289507516582,0.264619748065126,0.215278578823592,0,0,-0.0107349429283032,0.0133425452746524,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0488994138110729,0,0.158338685108128,0,0,0,0,0,0,0,0,0,0.107698726766401,0.291860959416402,0.103219766301341,0,0,0.0222154790130332,0,0.0457975883064055,-0.0818823209099783
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.103008432340803,0,0,0,0,0,0,0.0771408691088183,0.189695128237352,0.250852950995746,0,0,0,0,0.105633572042213,0,-0.0335648188446993,0.0142354127551232,0,0
X601328.CH.EQUITY,0,0,0,0,0.10560367724001,0,0,0.0683966145661803,0,0,0,0,0.0679262271929647,0,0.071306557474233,0,0,0.1067627022019,0.100155817115393,0.0714606692080378,0,0,0,0,0.00439879884173258,0,0,-0.00210186741015822,0,-0.00681502375624941,0
X3328.HK.EQUITY,0.256793951225973,0,0,0,0.00647151513876607,0,0,0,0,0,0,0,0.00110446325130753,0,0.0424183776305233,0,0,0,0.136520400038558,0.00788702800919198,0.0559395060853568,0,0,0.216334279970747,0.0440199877209219,0.103793566717863,0,0,-0.0240799895685911,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.24458211081919,0,0,0,0.261405083538224,0,0,0,0,0.11845034716022,0.0887934156002315,0,0,0,0,0,0,0.00757570079044004,-0.0487658336286601,0,0
X601319.CH.EQUITY,0,0,0.127124566154956,0,0,0,0,0,0,0,0,0.20333685918925,0.0378611765132389,0,0.106756286277995,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0404457542537448,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0786873083011098,0.264748349021381,0,0,0,0.121042705891595,0,0,0,0.357343329747767,0,0,0.0330875577397392,0.0188138780884845,0,0,0,0.727708128164913,0,0.0477316329212092,-0.255028692880599,0
X601601.CH.EQUITY,0.143936742579542,0,0,0,0,0,0,0,0,0,0.263729880212407,0.229188053020328,0,0,0,0,0.204852991363877,0,0,0.11680266271001,0,0,-0.111620314778772,0,0.289661533346769,0,0,-0.00833050367387202,-0.0590099688990359,0,0.079481503464545
X000002.CH.EQUITY,0,0,0,0,0,0,0,0.421253090355831,0,0,0,0,0.239724233690368,0,0,0,0,0,0.188389886168394,0,0,0,0,-0.31127594117509,0.0171800197225644,0,0,-0.0295354468282787,0,0,-0.0693827925124537
X16.HK.EQUITY,0.450668758271731,0.359839243723173,0,0,0,0,0,0,0,0,0,-0.0844950365716915,0,0.428348583785134,0,0,0,0,0,0,0,0,0,0.634869875606063,0,0.0203856330770005,0,-0.0271605699633237,-0.0053879992236468,0.073287966831765,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.401339950249033,0,0,-0.0579973793568176,0,0,0.471397301829573,0,0,0,0,0,0,-0.261423219376607,0,8.67361737988404e-19,0,0,-0.0744534365263933,0,0.0140737730653766,-0.0191437047387357,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70730640617806,0,0,0.293273315654586,0,-0.179999134548202,0.0415871110621086,0,-0.0890658103128127,0,0,0,0,0,0,0.00797702445337223,-0.0274781440045531,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0772061996052315,0.0944061365850163,0,0,0.00468687374926366,0,0,0,0,0.023197575011654,-0.0385345687045767,-0.779710649102538,-0.72307528195005
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.203492189403005,0,0.162516329012598,0,0,1.73472347597681e-18,0.0194489729550137,0,0,0,0,0,0,0,0,-0.110847776122261,0.00925334941872167,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0.165136435963871,0,0,0,0,0,1.32025449843111,0,0,0,0,0,0,0,0,0,-5.7473781294764,0,0,-0.285962676956504,0
TED.SP,0,0,-0.0459055776191265,-0.185022482816699,0,0,0,0,0,0,0,1.85045847866425,0,0,0,0,0,0,-2.33776971573061,-0.673410888923118,0,0,0.250087995671001,0,0.115832646253818,0,0,0.0847501756611541,0,0.146797503429048,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0620561894439774,0,0,0,0,0,0,0,0,0,0,0,-0.769136089813597,0,-0.0550839615987577,0,0,-0.723104534962322
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,0.0441388059343625,0,0,0,0,0,0,0,0,0.0239035998642637,0,0,-0.109728051088149,0,-0.77870942230663,0,-0.0321100096815598,0,-0.85524439028446,0
