,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.405086643368718,0,0,0,0,0,0,0,0,0,0,0,-0.0585918248919375,0,0,0,0.0242420789426889,0,0.0153859568933103,0.00686818184832475,0,-0.0140271496760495
X1398.HK.EQUITY,0.0628083488936674,0,0,0.431877676514597,0,0,0,0,0,0,0,0,0.149373356408284,0.0412440552628034,-0.0439557360786681,0.287365143552729,0,0,0,0,0,0,0,0,0,0.00835925666520106,0,0.000390040900809527,0.0106829168264287,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.200900077046446,0,0,0,0,0,-0.0528465451662718,0,0.190101242019804,0.221727683339447,0,0,0,0,0,0,-0.00760345055960484,0,0.0177658796822341,-0.0117385847469442,0,0
X939.HK.EQUITY,0,0.299315522501952,0,0,0,0,0,0,0,0,0.192431696510609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0373323434379966,0.000362173083732707,0.00719899282016176,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.147411264885317,0.0330324403491257,0.329744339952536,0,0,0.0227543503569936,0,0,0,0,0,0,0.0399052686310439,0.0159028360734022,0,0,0,0,0.00818564607200048,-0.00232149333743849,0.0213509865395628,-0.0280960782780552
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.220064396986432,0,0.00274592856767645,0.0437175243152364,0,0,0,0,0,0,0,0.0262078012168334,0.0583806198628526,0,0,0,0,0.00966817311510855,-0.00498515194085238,0,0
X601288.CH.EQUITY,0,0,0.146819380289145,0,0,0,0,0,0,0.105316721283297,0.0102544211068402,0.0326926805458161,0,0,0.0210681816959352,0,0,0.123838805193484,0,0,0,0,0,0,0,0.00755465025322643,0,0.00182895275941786,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.326765045236078,0,0,0,0,0.162225770706922,0,0,0,0.0316036930480227,0,0.0534807094343799,0.0162363805381386,0,0,0.0227000387397522,0,0,-0.00625008952083868,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0.0842635155357599,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0.300811455243741,0,0,0,0.0574027772054762,0,0,0.0702719437890156,0,0,0,-0.00770111226307512,0.00415511239723305,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.076160656583135,0.227936428397248,0,0.0357818822673601,0,0,0,0.393230928378759,0,0,0,0,0,0,0,0.00367719751976781,0,-0.00459852570802019,0.011454256139417,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.136905188730153,0,0,0.522708757826724,0,0,0,0,0,0,0.319400853639896,0.200882494604386,-0.0470004533768893,0.361416533652747,0.0797637035593866,0,0,0,0.0305426494378401,-0.0144275120203026,0.0455003799529239,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.255893046262027,0.159773018431294,0,0,0,-0.106713968982774,0,0,0,0,0,0.197169587459117,-4.33680868994202e-19,0.145413477119629,0,0.0605872814629865,0,0,0,0,-0.047492897933885,0.0759282584145253
X2628.HK.EQUITY,0,0.0542227437916534,0,0.215079852494492,0,0,0,0,0,0,0.435830442615274,0.148106959665818,0,0.0653978026681478,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0427336109238087,1.35525271560688e-20,0,0
X5.HK.EQUITY,0,0.130196996186435,0,0.239025379629663,0,0,0,0,0,0,0.322254826139971,0,0,0,0,0,0,0,0,-0.218976481166574,0,0.197575659631933,0,0,0,0.0551567031264344,0,-0.0501722599073597,0.00780502547795015,0,-0.349937064407145
X388.HK.EQUITY,0,0,0,0.17557670901572,0.110416731122949,0,0,0,0,0,0.119195886120969,0,6.93889390390723e-18,0.0464011553446205,0,0.292285885712444,0,0,0,-0.109278077043387,0,0,0.10139264463542,0,0,-0.154756207131941,0,0.0683766021109497,0.00820369542703363,-0.131120927611405,0
X3328.HK.EQUITY,0,0.0384456019850827,0,0,0,0,0,0.231616594125949,0,0,0.207185583301266,0,0,0,0.0332919411400714,0,0,0,0,0,0,0.0569153197003422,0,0,0,0,0,0,-0.0155968563016576,0.00691162101057113,-0.0192071808051969
X601328.CH.EQUITY,0,0,0.025468452571631,0,0,0,0,0,0,0,0,0.0135100572155885,0,0.0387658656177624,0,0,0,0.0856728966495827,0,0.100480714727372,0,0,0,0,0,0,0,0.00576122830707821,0.00170076824991464,0.00195000719574979,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.108579745808885,-4.33680868994202e-19,0.110455602005167,0,0,0,0,0,0,0.372133289125374,0.0765799741159254,0,0,0,0,0,0,0,0,0.00532260721247693,0,0
X600000.CH.EQUITY,0,0,0.120916702809491,0,0,0,0,0,0,0.158820693687845,0.0611625864418401,0,0,0,0.0037619435300503,0,0,0.194927251539416,0,0,0,0.0359361623835354,0,0,0,4.24020650231114e-05,0,0,-0.000471120528836882,0,0
X000002.CH.EQUITY,0,0.0215078231613312,0,0,0,0,0,0,0,0,0.153895086132222,0,0,0,0,0,0,0.189453160742896,0,0,0.20864499971842,0.0807613884480126,0,0,0.126596411511098,0.077344045606856,0,0,0.00884049004437697,0.0788838670725408,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.124658145330079,0.00930401000521405,0,0.0319318340303088,0,0,0,0,0,0.00164879644660584,0,0.352649540183978,0.0194161253776807,0,0.148490168667768,0,0,0.0204800098788608,0.0113688882666433,-0.0324509069974574,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265024581232243,0,0,0,0,0,0,0.981418667779562,0,0,0,0,0,0,0,-0.0110237954671915,0.0647956684127151,-0.0945128551632445
X16.HK.EQUITY,0,0.16109301310555,0,0,0,0,0,-0.0610523835107208,0,0,0.530177769788471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144103451045323,0,-0.0142026481276456,0.00295547979266592,0.0999912406605223,-4.33680868994202e-19
X000001.CH.EQUITY,0,0,0,0,0.366232896299423,0,0,0.0825614872492318,0,0.279275973879415,0,0,0,0.115687125172606,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,-0.137484408839394,-0.0355380046210807,-0.0128776365085485,0,-0.034438185904827
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.169698111117978,0,0,0,0.0118140760473449,0,0,0,0,0.211728044524641,3.46944695195361e-18,0,0,0,0,0,0.0112212906246708,-0.00493713205772443,0,-0.0415941007136774
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216006953477437,0,0,0,0,0,0,0,0.105718052061589,0,0,0,0,0,0,-0.0302233715564111,-0.930538225193578,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0.179947623825162,0.0361393956890218,0,0,0,0,0,0,0,0,-0.029536193251061,0,0,0,0,0,-0.220625181593797,-0.00272551703244006,0.00781945238109303,0
