,X5.HK.Equity,X601988.CH.Equity,X3988.HK.Equity,X939.HK.Equity,X2628.HK.Equity,X3328.HK.Equity,X3328.HK.Equity.1,X11.HK.Equity,X2388.HK.Equity,X2318.HK.Equity,X2882.TT.Equity,X600036.CH.Equity,GCNY10YR.Index,FXI.US.EQUITY
X5.HK.Equity,0,0,0,0,0.0872520751754471,0,0,0,0,0.0392968629454928,0,0,0,0
X601988.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3988.HK.Equity,0,-0.16950448168798,0,0,0,0,0,0,0,0,0,0,0,0
X939.HK.Equity,0,0,0,0,0.0871906667213972,0,0,0,0,0.211251626230836,0,0,0,0
X2628.HK.Equity,0,0,0,0,0,0.10474231820855,0,0,0,0.536716997472884,0,0,0,0
X3328.HK.Equity,0,0,0,0,1.00964619558017e-06,0,0.999996259085156,0,0,0,0,0,0,0
X3328.HK.Equity.1,0,0,0,0,7.81183295070765e-07,0.9999972316284,0,0,0,0,0,0,0,0
X11.HK.Equity,0.0426764565942995,-0.00637241234206335,0.0373077303001457,0,0,0.0217665664169857,0,0,0.0151905666119219,0.0318857246790518,0.0130277657661672,0,0,0.0254784297445254
X2388.HK.Equity,0,0,0,0,0.0626213275798494,0,0,0,0,0.12815636392031,0.012996221969917,0,0,0
X2318.HK.Equity,0,0,0,0,0.544910203714217,0,0,0,0,0,0.00889358385956651,0.0327485827002379,0,0
X2882.TT.Equity,0.369248780581816,0,0,0,0.022389760685842,0,0,0,0,0.343843607974653,0,0,0,0
X600036.CH.Equity,0,-0.212308231193964,0,0,-0.223914836979337,0,0,0,0,0.460873122109509,-0.0581452687604909,0,0,-0.0315947308496524
GCNY10YR.Index,0,0,0,0,0,-0.0161317153639246,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0.0284289966017252,0,0,0,0.378933035441102,0,0,0,3.46944695195361e-18,0,0,0,0
