,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0.399023990196745,0,-0.0706385211949863,0,0,0,0,0,0,0,0,0,0.130380588014603,0,0,0,-0.0566471103638388,-0.270147672601715,0,0.0782454617044428,0,0,0,0.022210019390972,0.0383369760323148,0.0513769205944284
X1398.HK.EQUITY,0,0,0.128643148185731,0,0,0.390564040031661,0,0,0,0,0.121431640149808,0,0,0,0.51166482344938,0,0,-0.0631547008845677,0,0,0,0,0,0,-0.0386211465145642,0,0,0.00619571988431464,-0.0263836206520376,-0.0162125380804519,0
X601318.CH.EQUITY,0,0,0,0.116249204191011,0,0,0,0,0,0,0,0.162697766884293,0,0.0703064949999982,0,0,0,0,0,0.273867638523939,0,-0.0386256055389718,0,0,0.0582508647992167,0,0,0.0130800229922362,-0.0124639623001788,0,-0.00911891212594586
X2318.HK.EQUITY,0,0,0.242366990491602,0,0,0,0,0,0,0,0.128624537867589,0,0,0,0,0,0,0,0,0.0952475342689954,0,0,0,0.247183748146739,0,0.0110282659809854,0,0.012936678728036,-0.000662310501637802,0,0
X601939.CH.EQUITY,0.213578151438985,0,0,0,0,0,0,0,0,0,0,0.12748298152931,0.00713698080193514,0.02615874671862,0,0,0,0,0,0,0,0.16067710463727,0,0,0,0,0,0.0138596126911389,-0.0292322508972648,8.67361737988404e-19,0
X939.HK.EQUITY,0.0887147286904204,0.0251636458567109,0,0,0,0,0,0,0,0,0,0,0.20668887386494,0,0,1.73472347597681e-18,0,0,0,0,0,0.0668546557034251,0,0.0750250634351186,0.0738091032296788,0,0,0.00608516029993256,0.0091315871676465,0,-0.064988844273687
X601288.CH.EQUITY,0,0,0,-0.217791875297679,0,0,0,0,0,0,-0.0169923695308745,0,0,0,0,0,0.27890676551099,0.133252690729669,0,0,0,0.0828834377851195,0,0,0,0,0,0.0120540734323243,-0.00932023792379374,0,-0.062081301114922
X5.HK.EQUITY,-0.110864201624888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319425477357589,0.195053466639159,0,0.0264996874478199,0,0,0.0286816686422656,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.060359925946838,0.0624822902921642,0,0,0,0.0831521074392062,0,0,0,0.0747789510186225,0.0195981697152858,0,0.0326293374699125,0,-0.0198990378249876,0,0,-0.0064250948535709,0,0
X3988.HK.EQUITY,0,0.0401565049417356,0,0,0,0,0,0,0,0,0.141734967969648,0,0.0889541734169641,0,0,0,0,0,0,0,0.042572994203334,0.0977988731927982,0,0,0.0467134308825123,0,0,0.00165718922793539,0,0.0240980771126771,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310576884137453,0,0,0,0,0,0.0203784569374889,0,0.350451180799086,0,0.0535712893469297,0.0106283855125484,0.0437385469159575,0,0,0,0,1.73472347597681e-18
X600036.CH.EQUITY,0,0,0.49717907354345,0,0,0,0,0,0,0,0,0,0,-0.0277762115320349,0.293954346942747,0,0,0,0,0,0,0.140133843761042,0,0,0,0,0,0.0272359743240859,-0.00713322759173661,0,-0.0238923430231229
X2628.HK.EQUITY,0,0,0,0,0.022347220372979,0,0,0,0,0,0,0,0,0.0300013541097648,0,0,0,0.00780272191886047,0,0,0.0830366085789138,0.0633032308174288,0,0.335280088999162,0.293061281370524,0,0,0.00637052436552138,0.0180438838718876,0,0
X601628.CH.EQUITY,0,0,0.0461424446367437,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0531562616440052,0,0,0.451859110194422,0,0,0,0,0.162869821338222,0,0,0.0123087489082994,-0.0176293740467778,0.0350315080483735,0
