,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0.0367512634820379,0,0,0,0.189211594190227,0,0,0,0,0,0,0,0,0,0.0427944112691258,0.011770776891605,0.153822910694072,0,0.0131454109131063,0,0,0,0,0,-0.0531547984571265,0,0.0213928841359188,0.00157737408353918,0,0
X1398.HK.EQUITY,0,0,0,0,0.342703721613335,0,0,0,0,0,0,0.216294428178871,0.0990272555194911,0.0123275850867194,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00637735342125238,0.00128252780430289,-0.033764694796764,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122782773569564,0,0,0.182461343034083,0.12841707717417,0.0935650405189281,0.0758376530212106,0,0,0.0999184657981317,0,0,0,0,0.0347330025098162,-0.000371288038483536,0.0186637709675798,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.207881679464403,0.136318372981276,0.0344566670021802,0,0.111519762257018,0,0,0,0.0475475087675657,0,0,0,0.262426002321413,0,0,0,0,0,-0.00438598227591653,0.0238835118662685,0
X939.HK.EQUITY,0,0.149818563094191,0,0,0,0,0,0,0,0,0,0.0877585375385906,0.149972578511651,0,0,0,0,0,0.0525177409089091,0.085375028021594,0.0467414333167423,0,0,0,0,-0.0177181275498557,0,0.000696389994403525,0.0166739812924872,0,0
X601939.CH.EQUITY,0.0351945623502733,0,0,0,0,0,0,0,0,0,0,0,0.0949720375176236,0.0123340493748404,0,0,0,0,0,0.0655926819712019,0.0746030338314978,0,0,0,0.0330798407647362,0.055955311691535,0,-0.00375978759045969,0,0,-0.0608966919663872
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0800276883598288,0,0,0,0,0.017738689004552,0.121463369627182,0,0.0225704797676195,0,0,0,0.00165019876502533,0,0,0,0.00316634041729926,0.0207008497818524,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.292251554554755,0,0,0,0,0,0,0,0.0602241081187129,-0.0710956667206108,0,0,0,0,0.00351676323036105,0.0428194680418801,0,0,0.0509716330909212,0,-0.135901135120996
X3988.HK.EQUITY,0,0.272858190250393,0,0,0.272248104723875,0,0,0,0,0,0,0,0.026668078370652,0,0,0,0,0,0,0,0.0438934633759386,0.0459335827977317,0,0,0,0,0,-0.00706845464536579,0,0.0159715356418886,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.099184731772221,0,0,0,0.102413305874649,0.00542004109979896,0.0238326812007386,0,0.0229461324615435,0,0,0,0.147821336023477,0,0,-0.00389017636395616,-6.7762635780344e-21,0.00184336417832811,0
X600036.CH.EQUITY,0,0,0.507604553350032,0,0,0,0,0.0231521830903632,0,0,0,-0.0225787808013437,0,0.0733934869119001,0,0,0,0.236399040867403,0,0,0.0893991259885583,0,0,0,0,0,0,0,0.0371585784657445,0.00207858674009247,-0.0205371353677558
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15075692819175,0,0,0,0,0,0.191882853986019,0,0,0.283040597704921,0,0,0,0.038278623037836,0.00504667563182432,0.107749498181326,-0.0349519091417383
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435860129966101,0,0,0,0.388611188915573,0.0691700760847926,0.00149876260819131,0,0,0.334787847435782,0,0,0,-0.0156508045598834,0.0125873179258029,0,0.0307854565086372
