,X5.HK.Equity,X601988.CH.Equity,X3988.HK.Equity,X939.HK.Equity,X2628.HK.Equity,X3328.HK.Equity,X3328.HK.Equity.1,X11.HK.Equity,X2388.HK.Equity,X2318.HK.Equity,X2882.TT.Equity,X600036.CH.Equity,GCNY10YR.Index,FXI.US.EQUITY
X5.HK.Equity,0,0,0,0,0.0645872847496425,0,0,0,0,0.0644478759495699,0.062681130052462,0,0,0
X601988.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3988.HK.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X939.HK.Equity,0,0,0,0,0.200648820815514,0.153242789715,0,0,0,0.00593943479115739,0,0,0,0.0348886696827615
X2628.HK.Equity,0,0,0,0,0,0.108118405361217,0,0,0,0.486244167934847,0,0,0,0
X3328.HK.Equity,0,0,0,0,6.8148877645508e-07,0,0.999996802653884,0,0,0,0,0,0,0
X3328.HK.Equity.1,0,0,0,0,3.27652747229287e-08,0.999997325935967,0,0,0,0,0,0,0,0
X11.HK.Equity,0.070472792244814,0,0,0,0,0.0292161455594466,0,0,0,0.0744274235940261,0.01623175759045,0.0102756783955846,0,0.0012244041283565
X2388.HK.Equity,0,-0.0254118595798266,0,0.154339332002125,0.06868720423216,0,0,0,0,0.047922795451449,0.0488341765242918,0.0291685062863153,0,0
X2318.HK.Equity,0,0,0,0,0.506502070293815,0,0,0,0,0,0.0843546981763899,0.032934758623157,0,0
X2882.TT.Equity,0,0,0,0,0,0,0,0,0,0.489208077821666,0,0,0,0
X600036.CH.Equity,-0.0940011218560465,-0.236098802589461,0,-0.330677648782449,-0.214758231725244,0.255081802542152,0,0,0,0.459501268451653,-0.0900985211717515,0,0,0
GCNY10YR.Index,0,0.00352484402731692,0,0,0,-0.0355032928342228,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0.0508374986756677,0,0.0772798037793883,-0.251432198133241,0.276670686095198,0,0,0,0.64345979113343,0,0,0,0
