,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0.0940597428415331,0,0,0,0,0,0,0.218226985483886,0,0,0,0,0,0,0,0.0486368316488443,0,0.00490046287123211,0,0,0,0.00946633114750154,0,0.0106039929224066,0,0.00263944979562286,0,0,0
X1398.HK.EQUITY,0,0,0,0.0749114896162979,0,0,0,0,0,0,0,0.049869722497896,0,0.0702235152570078,0,0,0,0,0,0,0,0,0,0.230997656155533,0,0.0232697961236088,0,-0.0153583369018047,-0.0157405072597598,0,-0.0415574103300807
X601939.CH.EQUITY,0.308140844815476,0,0,0,0,0,0,0,0,0.0736303597802229,0,0,0,0,0,0,0,0,0.389961845348654,-2.71050543121376e-20,0,0,0,0,0,0,0,0.0210489987351445,-0.00896744973786404,0.00554683028979438,0
X939.HK.EQUITY,0,0.326704493385825,0,0,0,0,0,0,0,0,0.11649222634004,0.0742505646786775,0,0,0,0,0,0,0,0,0,0,0,0.0416507368144147,0,0.00651854769263393,0,-0.0308307053599598,0.00370652321190658,0,-0.0479471910839349
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.281062604005982,0,0,0.159401287024103,0,0,0,0,0,0,0,0,0,0.0420755537712754,0,0.0198212557542805,0.0286173657889912,0,-0.00673879974043872,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.339838593223952,0,0,0,0.0473855885592798,0,0,0,0,0,0.0187181996594165,0,0,0,0.0843273418922728,0,0,0,0,-0.0181482822080433,0.0315250707849518,0
X601288.CH.EQUITY,0,0,0.138135275773873,0,0,0,0,0,0,0,0,0,0.0887948528146834,0,0,0,0,0.0679279950391803,0,0.0687054108340909,0,0,0,0,0,0.0198903101072812,0,-0.00823565376712168,0.00252667096667695,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.129553250027995,0.0766046038799311,0,0,0,0,0,0,0,0,0,0,0.0397829365965079,0.240282290930575,0,0.0112703940471064,0,-0.0159763148703798,-0.0243219334415747,0,0
X601988.CH.EQUITY,0,0,0.185096402243476,0,0,0,0,0.080319222371124,0,0,0,0,0,0,0,0,0,0,0,0.0337472143150146,0,0,0,0,0,0.0236476241516329,0,-0.00299100788560053,-0.00514711231874679,0.0148693045927356,-0.0565172175775795
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0767977258625455,0,0,0.216639729179199,0,0,0,0.159987850634318,0,0,0,0,0.219360295255042,0,0,0,0,-0.0322231511074014,0.00469514330590441,-0.0635042278580575,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404266034328074,0,0,0,0,0,0.0250503013110116,0,0.506615969070659,0.214003924220335,0,0,0,0,0.00940876372920938,0.0152394227472808,0.0347144528895728,0
X5.HK.EQUITY,0,0,0,0.220917943683562,0,0,0,0,0,0,0.237558312176181,0,0.0812792047431378,0,0.197818169201649,0,0,0,0,0,0,0,0,0,0,0.0236298014803054,0,-0.0147080017904308,0.00179348400393685,0,-0.22014533303822
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.154548819965095,0,0,0,0.343913286840436,0,0,-0.121600255671512,0,0,0,0,0.189622638646648,0.0609823628540081,0,0,0,0,0,0,-0.0553690880841909,0.0680264055864154
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.12425457620103,0,0.350569533659028,0,0,0,0,0,0,0.0221469251526563,0,0.0129180258483646,0.0366113290839784,0.464319921546351,0,0,0,-0.0319686755983395,-0.00285826143062513,0,-0.117364488067101
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.119100905884134,0,0,0.209514574855372,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.105186730525424,0,0.0160101876351071,0,0,-0.0222406699376166,0,-0.0920659748052645
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.00614732130083485,0,0,0,0,0,0,0,0.241193299804799,0,0.06811986647178,0,0,0,0,0,0.00656182940648803,0,0,0.00635372626826074,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.164285906651472,0,0,0,0,0,0,0,0,0,0,0,0,0.220124795964057,0,0,0.0724201129871748,0,-0.00998380027711112,-0.00873352318501546,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.471153982687014,0,0,0,0,0,0,0,0,0,0.00806622278144124,0,0,0,0,0,0,0,-0.00815571865158475,0,-0.036822431000718,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.195091099042811,0,0,0.0267440310194987,0.00423870916986614,0,0,0,0.13680164576963,0,0,0,0,0,0.0578161315250455,0,0.0236850334512515,0,-0.0108005884304497,-0.0119806572464302,0.0234953423799765,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.174618233540538,0,0,0.0323188246831979,0,0,0,0,0,0,0.106516695564816,0,0.297186831272402,0.0830264907766017,0,0,0,-0.0173006619048002,0.0105275036348735,0.024077349220661,-0.125455230533122
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.258245798823301,0,0,0,0,0,0,0.170152782204983,0,0,0,0,0,0,0,0,0,0.0935706766678998,-0.00439435226408412,0,0,-0.0282290396673295
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.531023782440358,0,0,0,0,0,0.0504058942820589,0,0,-0.0264282189977951,0,0,0.124795664619998,0,0,0.0798576848187847,0,0,0,0.0411464211824918,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0201995638422549,0,0,0,0.33651209617844,0,0,0,0,0,0,0,0,0,0,0,0.0343778156846889,0,-0.0448201678237988,-0.0173990099136832,0,-0.0546456655894825
X688.HK.EQUITY,0,0.627296506778857,0,0,0,0,0,0,0,0,0.163302507919242,0,0,0.454573570323994,0,0,0,0,0,0.0732038224950266,0,0.0565131691512402,0,0,0,0.00829099885618872,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0113993032086725,0.136630941604358,0,0,0,0,0,0,0.0222754235701626,0,0,0,0,0.0326040718484678,0.0103098284163659,0,0,0,-0.00898896499455007,0.0075780751633774,-0.0143118201771754,0
