,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0.378899081834696,0,0,0,0,0,0.028871324664001,0.203466292080915,0.102704412673405,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00706474468471139,0,-0.0344253540414168,0
X601398.CH.EQUITY,0,0,0,0,0.0461218737272525,0.146478884303131,0,0,0,0,0,0,3.46944695195361e-18,0,0.0101505388726179,0,0,0.18227971277022,0,0.0259267828947912,0,0,0,0,0,-0.0486122189280179,0,0.0204654682587817,0.00186853304100357,0,0
X2318.HK.EQUITY,0,-0.159993170192871,0,0.392810125873086,0,0,0,0,0,0,0.286125899951233,0.166040137749599,0.130329706267624,0,0,0.0634210831408581,0,0,0,8.67361737988404e-19,-0.0698153701760036,0,0,0,0,0,0,0,0.00752135219249541,0,0
X601318.CH.EQUITY,0,0,0.213677905949218,0,0,0,0,0,0,0,0,0,0,0.0806843314200601,0,0,0,0.144370362090608,0.107112397595397,0.0488940366341384,0,-0.0306760436214096,0.21271502335719,0,0,0,0,0.0271974983419142,-2.71050543121376e-20,0.0090197330162355,0
X939.HK.EQUITY,0.121585031081035,0,0.0179116651216525,0,0,0,0,0,0,0,0,0.0718280341200533,0.152097710683696,0,0,0,0,0,0.047437908580141,0.0909903199437791,0,0.050720769464899,0,0,-3.46944695195361e-18,-0.0161001751128042,0,0,0.0176206125538753,0,0
X601939.CH.EQUITY,0,0.139860265623208,0,0,0,0,0,0,0,0,0,0,0.0557364738730057,0.0296515282538335,0,0,0,0,0,0.107844099745418,0,0.0909642945777915,0,0.0111912260336633,0,0.0628896992280368,0,-0.00149988580524438,-4.33680868994202e-19,0,-0.0599554928498604
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00485544111757747,0,0.0656405761898669,0,0,0,0,0.047231453853771,0.129728587614319,0,0,0.0164681707018417,0,0,0.00829709439318756,0,0,0,0.00772600034180739,0.0198728363640609,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.461514142377615,0,0,0,0,0,0,0,0.038481301249907,-0.090567821485836,0,0,-0.0195684863650046,0,0,0.0384497209646151,0,5.42101086242752e-20,0.0385152364647289,0,-0.106685989109702
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0991822872502254,0,0,0,0.102412831263651,0.00541555930849991,0.0238330030399767,0,0,0.0229536930061233,0,0,0.147825255889808,0,0,-0.00388910380425077,0,0.0018443540242765,0
X3988.HK.EQUITY,0.271699704930744,0,0,0,0.274316409524987,0,0,0,0,0,0,0,0.0247779559680124,0,0,0,0,0,0,0,0.0458343580628132,0.0444270893686328,0,0,0,0,0,-0.00708662137083137,0,0.0159398057654848,0
