,X601398.CH.EQUITY,X1398.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.200442072260522,0,0,0,0,0,0,0.0325281118092704,0,0,0,0,0,0,0,0,0.023400353566079,0,0.00489109127828629,0,-0.00456341300682749,0
X1398.HK.EQUITY,0,0,0.0491148646314534,0,0,0,0,0,0,0,0,0.0926724542654973,0.210485018742564,0,0.0772485944798985,0,0,0,0,0,0,0,0,0.146447812627879,0,0.0199244688808916,0,0.00137271780457418,-0.00587556094173114,0,-0.0376785902285589
X939.HK.EQUITY,0,0.352926722141419,0,0,0,0,0,0,0,0,0,0,0.0853461075728357,0,0,0,0,0,0,0,0,0,0,0.101647934645818,0,0.0144945838435586,0,-0.00669471011269057,0.00683077947927393,0,-0.0956052659091791
X601939.CH.EQUITY,0.307147451490345,0,0,0,0,0,0,0,0,0,-0.0268453877793798,0,0,0,0,0,0.102342654414804,0,0.423082911019905,0,0,0,0,0,0,0,0,0,0.00826257638197241,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.348166719343521,0,0,0.000308346949688355,0.160427489507341,0,0,0,0,0,0,0,0,0,0.0731038546565406,0,0,0,-0.00128000976070301,0.0149424485843054,0.018677975410893,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.294194069848783,0,0.119681048012479,0.0330172826695303,0,0,0,0.0856723311282987,0,0.041333453283145,0,0,0.0442701336562005,0.0154616332005582,0,0,0,0,-0.00378450269030132,0.0104002162722055,0
X601288.CH.EQUITY,0,0,0,0.0211336154789629,0,0,0,0,0,0,0,0,0,0.0492770583421326,0,0,0.247191300913996,0,0,0.0327726894593694,0.00523100299193298,0,0,0.00846549301347656,0,0.0248349999921261,0,-0.00197848735122771,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.483258242031891,0,0,0,0,0,0,0,0,0,0,0,0.010451180339138,0,0,0.00162762122668462,0,-0.00306913509799472,0,0,-0.0378038585654554
X601988.CH.EQUITY,0,0,0,0.145177420941337,0,0,0,0.034982550024828,0,0,0,0,0,0,0,0,0,0,0,0,0.0254241843019191,0,0,0,0,0.0309346673330305,0,-0.00124145210184685,0.0122381410335594,0.0178009718710544,-0.0753823774722731
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0641634780351637,0,0.199206146713094,0,0,0,0.123035440075024,0,0,0,0,0,0.425083706538198,0,0,3.46944695195361e-18,0.0189568018437755,4.33680868994202e-19,0.00610255417462852,-0.0380227940120484,0
X1299.HK.EQUITY,0,0,0,0,0,0.0862805034234661,0,0,0,0,0,0,0.272995330494262,0.385348413406175,0.159033251712094,0,0,0,0,0.0145706756324105,0,0,0,0.098578446576727,0,0,0,-0.00934314477505761,0,-0.0172287031166992,0
X5.HK.EQUITY,0,0.0774116033224572,0,0,0,0,0,0,0,0,0.190325944011647,0,0.164170909816772,0,0.317180768104074,0,0,0,0,-0.172103256532916,0,0,0,0,0,0,0,-0.0178334132324856,-0.00395286689424894,-0.0696943523831553,-0.413904143137242
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0397696330442058,0,0,0,0.0346413652941108,0,0,0,0,0.139745747768284,0,0,0.0681934512879719,0.302897186829317,0,0,0,-0.0541731057938643,0.00984414188443246,0,0
X601628.CH.EQUITY,0,0,0,0,0.123627691289292,0,0,0,0,0,0,0,0.30434655098261,0,0,0,0,0,0,0,0,0.0457381674019395,0.329151499468584,0,0,0.0228256789626644,-0.0366621211595515,0.0033865376017242,0,0,0.0377401714236226
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0500757270451176,0,0.198262233666922,0,0,0,0,0,0,0,0,0,0,0.170328108101061,0,0.021066044487431,0,0,0.014818466264118,0,-0.122361642933397
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.009462025165348,0,0,0,0,0,0,0.227208504387619,0,0,0.0763506209752738,0,0,0,0,0,0,0,-0.0149488775648462,0,0.00188126874739877,-0.00100163480522705
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.581589070640406,0,0,1.38777878078145e-17,0.044768369430838,0,0,0,0,0,0.0341471757706707,0,0,0,0,0,0.0343334561420466,0,-0.000905422870987234,0.0088690818430474,8.67361737988404e-19,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0982933410393375,0.0309500195565827,0,0.291358797047571,0,0,0,0,0,0,0,0,0,0,0.0474935850234391,0,0,0,0,0.00865672008150339,1.73472347597681e-18,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0247542151713325,0.0460695203549445,0.085990073131221,0,0,0.0670679749284419,0,0,0,0,0,0.188860653105366,0,0,0.0432655561868524,0,-0.0029752711214231,0.00463844923221099,0.0156689963929263,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.212180379757112,0,0,0,0,0,0,0,0,0,0.318578121831756,0.16594464432939,0,0.00645801815964089,0,-0.0141128087264739,-5.42101086242752e-20,0.0220001069579232,-0.0569866813742785
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0156336241542535,0,0.0302849053486784,0,0,0.31971974844503,0,0,0,0,0.260936211642219,0,0,0,0,-0.0220337376834917,0.0144696738449326,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.521878613875449,0,0,0.163911766540414,0,0,0,0,0,-0.149652703610883,0,0,0,0,0,0,0,0,0.0209565481839473,-0.0340717864304843,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.428884203369,0,0,0.208382024025547,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0437654367592854,2.16840434497101e-19,0.0262724059644253,-0.0278767851271683,-0.158204301194326
X688.HK.EQUITY,0,0.465243003668586,0,0,0,0,0,0,0,0,0.218327451463155,0.206899224728563,0.464643299776291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140317249997814,0.0129630070463734,-0.0225308079750965,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0681028784730226,0.0526524476305453,0,0,0,0,0,0,0,0,0,0,0,0.119452912510242,0.0302395661411021,0,0.0103966007692356,0,0.00290333739071946,0.000351366610618595,-0.0130219295193125,0
