,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0521940955802275,0,0.0212008163845266,-0.0305152696381545,0.108428111799146,0.519622278938585,0,0.0582595762926858,0,0,-0.0566468937925418,0,0.109638995293914,4.33680868994202e-19,0,0,-1.0842021724855e-19,0,0,-0.110916962346542
X601398.CH.EQUITY,0,0,0,0,0.441281401594241,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.100023715339057,0,0,0.109524334453733,0,0,0,0.191480106157386,0,-0.112589580992292,-0.0258024994688979,0,0.0994905354901956,0
X2318.HK.EQUITY,0,0,0,0.278755894563831,0,0,0,0,0,0,0,0,0.304377783639069,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00410457419079081,0,0,-0.065159071258084
X601318.CH.EQUITY,0,0,0.262067316242128,0,0,0,0,0,0,0,0,0,0.069300732224571,0.23338845718094,0,0,0,0.0206779332199774,0,0,0.167360427863248,0,0,0.187045096760558,0.0688559114397627,0,-0.0262928920003027,0,0,0
X939.HK.EQUITY,0,0.107450601922668,0,0,0,0.183844749713915,0,0,0,0,0,0,0.0556908625915128,-1.0842021724855e-19,0,0.0410591543979482,0,0,0,0,0,0,0.172783358319008,-0.014303809394745,0.20578038366287,0,0.00875271337119063,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.433809841137638,0,-5.55111512312578e-17,0,0,0,0,0,0,0,0.374350470253769,0,0,0,0.130403179804232,0,0,0,0,0,0.00897368805351023,0,0.0331164384946373,0
X601288.CH.EQUITY,0,0,-0.0194729325619827,0,0,0,0,0,0,0,-0.168436209094688,0,0,0.0764757173639784,0,0,0.396471155717504,0.00630367437942951,0.0593386433851088,0,0,0,0,0,0,0,0.0126781517687529,0,0.0966087982812135,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.045021964226707,0,0.096136627176987,0,0.0109881277023396,0,0,0.14218581361906,0.112492312100196,0,-0.0164230471001608,0,0,0,0,0.026574548980096,0,0,0.0083970839611989,0,0,0
X601988.CH.EQUITY,0,0,0,0.0951805636225416,0,0.104866229392264,0,0,0,0,0.0337762706234142,0,0,0.0585879712619674,0,0,0,0,0,0,0.0135787643514436,0,0.222117008330433,0,0,-0.0153235880274569,0.0149153559284625,0,0.0761164171385154,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393697504179058,0,0,0.0850097492479956,0.231776262835323,0,-0.00741919405092265,0.132634043195174,0,0
X1299.HK.EQUITY,0,0,0.0426037113706766,0.199285753302797,0,0,0,0,0,0,0,0,0,0,0,0,0.00444992914630392,-0.0414608161480959,0.137433452491036,0,0,0.173707398249633,0,0,0.274911455344373,0,0.0104947271223493,0,0,-0.246924482732761
