,X2892.TT.EQUITY,X2849.TT.EQUITY,X5880.TT.EQUITY,X5.HK.EQUITY,X5534.TT.EQUITY,X6005.TT.EQUITY,X83.HK.EQUITY,X2880.TT.EQUITY,X601878.CH.EQUITY,X2548.TT.EQUITY,X601377.CH.EQUITY,X2867.TT.EQUITY,X2905.TT.EQUITY,X2855.TT.EQUITY,X601108.CH.EQUITY,X3040.TT.EQUITY,X2501.TT.EQUITY,X2885.TT.EQUITY,X9940.TT.EQUITY,X1808.TT.EQUITY,X000656.CH.EQUITY,X000783.CH.EQUITY,X601162.CH.EQUITY,X2820.TT.EQUITY,X600848.CH.EQUITY
X2892.TT.EQUITY,0,0,0,0,0,-0.000635766706496085,0.0202490583154764,0.0414054450559209,0,0,0,0.00172945844797008,0,0,0,0,0.111616017224403,0.0546538847991218,0,0.0532431188781301,0,0,0,0,0
X2849.TT.EQUITY,0,0,0,0,0,0.0118087474517417,0.00809202043828354,0,0,0,0,-0.00638595007380362,0,0,0,0,0.0395279665896926,0.0481969059724471,0.0666966389564587,0,0,0,0,0,0
X5880.TT.EQUITY,0.120457525250201,0,0,0.0018885141499985,0,-7.12641951083523e-05,0.000365188662669838,0.0217469219050509,0,0,0,0.0048829410033071,0,0,0,0,0,0.0964672034546978,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,-0.00341704321187627,0,0,0,0,0,-0.00831572165992689,0,0,0,0,0,0.1723654316804,0.0709912739379089,0.00189410166208124,0,0,0,0,0
X5534.TT.EQUITY,0,0.0340734862111036,0,-0.0117923280985609,0,-0.0115876632460619,0.00853814096445926,0,0,0,0,-0.00544788400060647,0,0,0,0,0.113520726594945,0.0124050277445514,0.0401946486749976,0,0,0,0,0,0
X6005.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X83.HK.EQUITY,0,0,0,0.198250273289345,0,-0.0214914727413179,0,0,0,0,0,-0.00610866347035955,0,0,0,0,0,0,0,0,0,0,0,0,0
X2880.TT.EQUITY,0.0290703803112786,0,0,0,0,0.000981209271971935,0.00654696944399603,0,0,0,0,0,0,0,0,0,0,0.153265533023707,0,0.0172790965361356,0,0,0,0,0
X601878.CH.EQUITY,0,0,0,0,0,0.00101342314908097,-0.00348351127320391,0,0,0,0,-0.0031440705988217,0,0,0.304858395236593,0.000124057945648697,0,0,0,0.0177316281920168,0,0,0,0,0
X2548.TT.EQUITY,0,0,0,0,0,0,0.00962677233830343,0,0,0,0,-0.00960676556409804,0,0,0,0,0.0384549468581838,0,0.0242479845780743,0,0,0,0,0,0
X601377.CH.EQUITY,0,0,0,0.00824889695550589,0,-0.00102066549744548,-0.00285047816260987,0,0.128583968236512,0,0,0.00069729358406195,0,0,0,0.00645581386630784,0,0,0,0.00476399595913591,0,0,0,0,0
X2867.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2905.TT.EQUITY,0,0,0,0,0,-0.00730092108709729,0.0053324747575347,0,0,0,0,0,0,0,0,0,0.0242688477015783,0.0574701917320789,0,0,0,0,0,0,0
X2855.TT.EQUITY,0,0,0,0,0,0.00208863296338092,-0.00523085207018918,0,0,0,0,0.00831037325003799,0,0,0,0,-3.46944695195361e-18,0.191969492315898,0.0827211372220227,0.053612874825751,0,0,0,0,0
X601108.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3040.TT.EQUITY,0,0,0,0.0161140538028235,0,0.0425689869012876,0,0,0,0,0,-0.00305212771148765,0,0,0,0,0,0,0,0,0,0,0,0,0
X2501.TT.EQUITY,0,0.0618967346236573,0,0,0,1.0842021724855e-19,0.00880186729082087,0,0,0,0,-0.00574282686541989,0,0,0,0,0,0.153558368878077,0.238484420942926,0.0156126053688528,0,0,0,0,0
X2885.TT.EQUITY,0,0,0,0,0,0,0.00651393064779776,0,0,0,0,-0.00935782437098539,0,0.200684588768672,0,0,0.152416393455524,0,0.173126895085738,0.0474831513641059,0,0,0,0,0
X9940.TT.EQUITY,0,0.28069245288245,0,0.0237947810208532,0,-0.0314859582986799,-0.0257454505197976,0,0,0,0,0.00380576238480224,0,0,0,0,0.169419768537346,0.176546734435036,0,0,0,0,0,0,0
X1808.TT.EQUITY,0,0.134454393893702,0,0,0,-0.0155674583027037,0,0.1165534542094,0,0,0,-0.0171264755883144,0,0.186517977673734,0,0,0,0.0524016751181183,0,0,0,0,0,0,0
X000656.CH.EQUITY,0,0,0,0,0,0,-0.00507429892875667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000783.CH.EQUITY,0,0,0,0.00258053888451688,0,-0.000262700463587041,-0.00272594211113841,0,0,0,0,0.00196834086687066,0,0,0.258043230634432,0.00215464245514895,0,0.00256724337752198,0,0.0016666778801306,0,0,0.0519547930711186,0,0
X601162.CH.EQUITY,0,0,0,0.0109306734426254,0,-0.00461061809980464,-0.00437291908359822,0,0,0,0,0,0,0,0,0.0391681528047635,0,0.00822220280685466,-0.0106308872231116,0,0,0,0,0,0
X2820.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600848.CH.EQUITY,0,0,0,0.00822375725470724,0,0.00216054274968925,-0.00418762876083868,0,0,0,0,-0.00185891396727875,0,0,0,0,0,0,0,0,0,0,0,0,0
