,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.0121536876892176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142351081043667,0.0870154165706112,0,0,0,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.13654307730246,0,0,0.149583663322439,0.00687269425620208,0,0.0366100484634737,0,0.0509272644617788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.153652958840992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194559733332202,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.0144940868129071,0.20811516494182,0,0,0,0,0.00784576840542036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0.0515447591232056,0,0.0777086727414844,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304310694789729,0,0,0,0,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0.0440135523590357,0,0,0,0.0849000606591608,0,0,0,0,0,0,0,0,0,0.129807531436298,0,0,0,-0.0117206781087831,0,0.00742910895124826,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.140332600894024,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0752429792309131,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0.280927785296387,0,0,0,0,0,0,0.38431619631162,0,0,0,0,0,0,0,0,0.0236872153636588,0,0,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0.266386233451728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13728050420292,0,-0.0548070715572858,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.140879675786869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297078424416149,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0.0451461318865267,0,0,0,0,0,0,0,0,0.00966287935030247,0,0,0,0,0,0.0139867287495449,0.0123002343995801,0.0419873652072744,0,0,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0.146927883426972,0,0,0,0.0348979401980645,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390269745121196,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.164220961140217,0,0,0,0,0.192332370441447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.320516772839312,0,0,0,0.0757802973036776,0,0,0,0,0.0267550760373186,0,0,0,0,-0.0077709273913038,0,0.131272326796745,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.088986383642734,0.187287777387803,0,0,0,0.106194681222726,0,0,0,0.0305955356018018,0,0,0,0,0,-0.12740184455344,0,-0.0548316411973388,0.177729617481824,-0.0204950931836627,0.0477844774845945,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0.179845119770509,0,0,0,0,0,0,0,0,0.335085388897384,0,0,0,0,0,0,0.0824689208089969,0,0,0,0,0,0
