,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0.0866874059182119,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0956209185945041,0,0,0,0,0.255169791848105,0,0.101903976765069,0,0,0,0,-0.0260277500271912,0.0135339394743738,0,-0.00506298492098327,0.00153888675627661,0,0.0196560269897371
X1398.HK.EQUITY,0,0,0,0,0.395686172541978,0,0,0.341243611202658,0,0,0,0,0,0.0541695268691347,0,0.219768027639626,0,0,0,0,0,0.015431536133322,0,0,0,0,0,0.00300672512209145,-0.00192309673948499,0,0.00799764087999198
X601318.CH.EQUITY,0,0.0304400156842864,0,0.14837551100539,0,0,0,0,0,0,0.176223775112433,0,0.022883772462095,0.199228272619837,0,0,0,0.103034156855974,0,4.33680868994202e-19,0,0,0,0,-0.105273726915474,0,0,0,0.0156895410291833,0,0.0666283831342084
X2318.HK.EQUITY,0,0.150396477576561,0.356089378370842,0,0,0,0,0,0,0,0,0.0215759676193776,0.0603548027566488,0,0,0,0,0,-0.0118332244164678,0,0,0,0.0139323277112849,0,0.10617686225159,-0.0268298271155792,0,0.00173012224573676,0.00102713978702119,0,0
X939.HK.EQUITY,0,0.39441894423787,0,0,0,0,0,0,0,0.0603309169271787,0,0,0.0147014287292909,0,0,0.260529749656508,0,0,0,0,0,0,0.0171202126227144,0,0.0711443214926138,0,0,0.00122154110964835,0.00571447111115549,0.0198287868332397,0.0302908337807293
X601939.CH.EQUITY,0,0,0,0,0.314539940306331,0,0.128824045396346,0,0,0,0,0,0,8.68833135630762e-05,0,0,0,0,0,0.182509774108511,0.0272442617727154,0,0,0,0,0.0127462648371633,0,-0.015600451657649,0.0124424758844802,0,0
X601288.CH.EQUITY,0,0.0987680109667072,0,0,0,0.181809955351219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0750724334145249,0.00984316734780581,0.0671586642831582,0.0146162144976219,0,-0.0283278095664119,0,-0.00343968190084249,-0.00183694840498289,0,0.133427813930642
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.105725401761668,0,0.0317764430500624,0,0,0.222532372086296,8.67361737988404e-19,0,0,0,0,0,0.039275777510502,-0.107076051978254,0,-0.0021809534828888,0.0153291518922292,-0.0761267209989001,0.0193300472382966
X601988.CH.EQUITY,0,0,0,0,0,0.0627026503036972,0,0,0,0,0,0.0397483961412604,0,0.0490619027202341,0,0,0,0.00666118870247019,0,0.0242835210166838,0,0,0.0433837827628488,0.020069079552299,0,0,0,0,0.0011065805950719,0,0.0628910292213338
X3988.HK.EQUITY,0,0.440134555096276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10924263961625,-0.0117333038306899,0,0.0519624419198504,0,0,0.10396855452331,0.0699604223571175,0,0,0.00299606043499578,-0.0142885638925326,0.0422759980069678,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.044276834525971,0,-0.0585346952358763,0.0839643909669237,0,0,0.140546451432847,0,0.289454256411392,0.25702032907612,0,0,0,0,0,0,0.00656929038403057,-0.00096511942527711,-0.00345878167767454,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267806785925595,0.490274347547254,0.289567944958704,0.131584816684954,0,0,0,0.0157541261480696,0.00754816016373384,8.37360516017366e-05,0
X2628.HK.EQUITY,0,0.196039002088674,0,0,0,0,0,0,0,0,0,0.147338296333343,0,0.177771170643671,0,0,0,0,0,0,0,0,0,0,0.12860886419784,0,-1.73472347597681e-18,-0.00787827066156313,-0.0257782438887767,0,0.0469269191120976
