,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0.0430680694616503,0,0,0.316987278681591,0,0,-0.0977677804848486,0,0,0,0,-0.00729840099467104,0,0,0,0,0,0,0.0076477083306963,0,0,0.0311667578549533
X1398.HK.EQUITY,0,0,0,0,0,0.496176353058286,0,0,0,0,0.163413992648258,0,-0.0143428866246134,0,-0.186678846159073,0,0,0,0.122680271689319,0,0,0,0,0,0,0,0.00537860148410833,0.060205383419717,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.12252354518425,0.017098399291755,0.0768142032199954,0,0,0.0267130560827593,0,0,0,0,0.00735325804194743,0,0,0,0,0.422070716686238,0,0.0118031102144111,0.0965216132278723,0,0
X2318.HK.EQUITY,0,0,0.142837888735912,0,0,0,0,0,0,0,0.102819691333613,0,0.174967583035628,0,0,0,0,0,0,0.00859574710818416,0,0,0,0,0.0109099802553304,0,0.0172596036177666,0.011624167926537,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.960340132168363,0,0,0.0305021685511159,0.0274890994694614,0,0,0,0,0,0,0,0,0,0,0,0.0541094571404171,0,0,0,0,0,0,0
X939.HK.EQUITY,0,0.514189442689225,0,0,0,0,0,0,0,0,0,0,0.0969958183809788,0.0203561767306756,0.103758549861552,0,0,0,0.0647112470198003,0.0150257528773764,0,0,0,0,0,0,0,0.0217354816975304,0.00643557701677208,0
X601288.CH.EQUITY,0,0,0,0,0.839340332492196,0,0,0,0,-0.097911895587104,0,0,0,-0.0594286618471966,0,0,0,0,0,0.0366927265752664,0,0.0277846300291545,0.0737357121737723,-0.0246623395477961,0,0,0.00374727786678493,0.0348176809785691,0,0.00138573011394362
X601988.CH.EQUITY,0,0,0,0,0.130860752025031,0,0,0,0.0240660639190385,-0.0141250295192393,-0.0449006376746192,0,0,0,0,0,0.144755010326065,0,0,0.0914883407213168,0,0,0.0346288134208979,0,0,0,-0.00222700926480078,0,0.0332382521378836,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.33970469159279,0.327183620928326,0,0,0,0,0,0,0,0.280712300940569,0,0,0.0498487727708755,0.375404664817089,0,0,0,0.00393608768097663,0,0,0.0580244677909157
X601628.CH.EQUITY,0,0,0.26004249227574,0,0.0119496493718453,0,0,0,0,0,0,0.448728661559588,0.332439717739288,-0.221964124664955,-0.198394929173586,0,0,0,0,0,0,0,0.294003089524703,0,0,0,0.00469370476337721,-0.0439923342006479,0,-0.0729597196947346
X2628.HK.EQUITY,0,0.0247158066764652,0,0,0.295861732157546,0,0,0,0.286723738333308,0.126906909753978,0,0,0.462795264089222,0,0,0,0,0.0449082726265743,0,0,0,0.0862075691931902,0,0,0,0,0,0,0.0137750702377996,0
