,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.247945034364921,0,0,0,0,0,0,0,0,0.0857326001382428,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151558101581544,0,0,0
X1398.HK.EQUITY,0,0,0,0,0.165720866633977,0,0,0,0,0,0,0,0,0.100045583669249,0,0,0,0.00328127407908393,0,0,0,0,0,0,0,0,0.0135964338117695,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.210299881970928,0,0,0,0.0806864150748455,0,0,0.159257819856537,0,0,0,0,0,0,0.00909875360388438,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0504814231969894,0,0.14065851760951,0,0,0,0.046847294838715,0,0,0,0,0,0.0787611253809,0,0,0,-4.33680868994202e-19,0,0,0
X939.HK.EQUITY,0,0.33036832627825,0,0.0825610047296683,0,0,0,0,0,0,0,0,0,0.0629470990445399,0,0,0,0,0,0.00606770761310056,0,0,0,0,0,0,0.00750552086402706,0,0,0
X2318.HK.EQUITY,0,0,0.27228269852646,0,0,0,0,0,0,0,0,0,0,0.0905636304153719,0,0,0,0,0,0.0282978830196263,0,0,0,0,0,0,0.00623718088160672,0,0,0
X601288.CH.EQUITY,0,0,0,0.131738259406282,0,0,0,0,0,0,0,0,0.0356687343734737,0,0,0,0.0987253310652228,0,0,0.0178062161385809,0,0,0.0741192161801323,0,0,0,-0.00265791379873248,0,0,0
X5.HK.EQUITY,0,0,0,0.0241826787317821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.122899658206745,0,0,0,0,0.0223618165329905,0
X601988.CH.EQUITY,0,0,0,0.0696391973238187,0,0,0,0,0,0,0,0,0.11731724734081,0,0,0,0,0.0089950715688874,0,0,0,0,0.0475618858096203,0,0,0,0,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124177289607587,0,0,0,0,0,0.032056171811301,0,0,0,0,0,0,0.0167683915473643,0,0,0
X600036.CH.EQUITY,0,0,0.25942554085259,0,0,0,0,0,0,0,0,0,0.124346186513627,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.191816581573296,0,0,0.120781075994823,0,0,0.0819480907452239,0,0,0.0119184194121932,0,0,0,0,0,0,-0.00874504282933565,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236566386053078,0,0,0.255705581572559,0.190025877349321,0,0,0,0,0.0721298673771804,0,0,0,0.0390932384867837,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.447627633697913,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0323799983406167,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.197605591856171,0,0,0,0,0.0151028573267786,0,0,0,0,0,0,0,0,0,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.00701605616935054,0,0,0,0.241974352641084,0,0,0,0,0,0,0,0,0,0.00391512561788138,0,0,0
X601166.CH.EQUITY,0,0,0.223951133900989,0,0,0,0,0,0,0,0,0,0.110264955642628,0,0,0,0,0.0185113109499638,0,0.0543238157917662,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.619560332892311,0,0,0,0,0,0,0.32922208004863,0,0,0,0,0,0,-0.014359085931469,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.162421781594964,0,0,0,0.0833408857644069,0,0,0,0,0,0,0,0,0,0.00192891820473801,0,0,0
X000002.CH.EQUITY,0,0,0.135776333138117,0,0,0,0,0,0,0,0,0,0.258106109067343,0.0831777912525022,0,0,0.0783594442691472,0.0330655416539759,0,0,0,0,0,0,0,0,0.013486836472338,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0587670760198608,0,0,0,0,0,0,0,0.00941214785717201,0,0,0.0465636848114494,0.313552949907011,0,-0.0337526419618303,-0.0155667182820529,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.113283532153893,0,0,0,0,0,0,0,0.0481785371470915,0,0,0,0.049206545689312,0,0,0.00766925633370462,0,-0.0221678739266395,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.360104676373523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0.046587294337906,0,0,0,0,0,0,0,0,0,0,0.124035188746127,0.0539522681433845,0,0,0,0,0,0,0,0.0885595461413451,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0760940298315829,0,0.0738768193878854,0.17832987102369,0,0,0.044090650574519,0,0,0,0,0,0,0,0,0,-0.000190507317000104,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115523763025389,0,0,0,0,0,0,0,0,0,0,0,0,-0.192673693940599,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0431733754827453,0,0,0,0,0,0,0,-2.16788292374583,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73711050075392e-05,1.69451220214134e-05,0,0,0,0,0,0,0,0,0,0,0.999685377858735,0.999587056304328
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999981599820416,0,-0.999978808794205
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43232542797496e-07,0.999945001022034,-0.999952983055006,0
