,X5.HK.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X5534.TT.EQUITY,X83.HK.EQUITY,X6005.TT.EQUITY,X2880.TT.EQUITY,X601377.CH.EQUITY,X2867.TT.EQUITY,X2548.TT.EQUITY,X601878.CH.EQUITY,X2501.TT.EQUITY,X2905.TT.EQUITY,X9940.TT.EQUITY,X3040.TT.EQUITY,X2885.TT.EQUITY,X000656.CH.EQUITY,X2855.TT.EQUITY,X1903.TT.EQUITY,X601162.CH.EQUITY,X600848.CH.EQUITY,X5876.TT.EQUITY,X1463.TT.EQUITY,X2820.TT.EQUITY,X000783.CH.EQUITY
X5.HK.EQUITY,0,0,0,0,-0.00528844170367908,-0.00848700679146475,0,0,-0.00822575825135695,0,0,0,0,0,0,0.172932622995797,0,0,0,0,0,0,0,0,0
X2892.TT.EQUITY,0,0,0,0,0.0173934252387081,0,0,0,6.61083675960995e-05,0,0,0,0,0.0579701068748495,0,0.0486695316793445,0,0,0,0,0,0,0,0,0
X5880.TT.EQUITY,0,0,0,0,0.0021845256279527,0,0,0,0.00556066183247644,0,0,0,0,0,0,0.107088715562188,0,0,0,0,0,0,0,0,0
X5534.TT.EQUITY,-0.00918109358398544,0,0,0,0.00616319703765487,-0.0100924489226857,0,0,-0.00653120248120716,0,0,0.108150810425754,0,0.0505912687965253,0,0,0,0,0,0,0,0,0,0,0
X83.HK.EQUITY,0.322464504735171,0,0,0,0,-0.0179199436761836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X6005.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2880.TT.EQUITY,0,0.00462608653140747,0,0,0.00758892171032229,0,0,0,0,0,0,0,0,0,0,0.0339306794018263,0,0,0,0,0,0,0,0,0
X601377.CH.EQUITY,0.00892893469605514,0,0,-0.000249335953778625,-0.00189463602131301,-0.000940253734866696,0,0,0.000563638501629091,0,0.201575712930201,0,0,-0.00146091498393005,0.00589902681338198,1.0842021724855e-19,0,0,0,0,0,0.00823676733213234,0,0,0
X2867.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2548.TT.EQUITY,0,0,0,0,0.00898924125671934,0,0,0,-0.00606268928207869,0,0,0.0608562646416718,0,0,0,0,0,0,0,0,0,0,0,0,0
X601878.CH.EQUITY,0,0,0,-0.0140576717189937,-0.00540096064741626,0.00104079695266401,0,0.00779775148079716,-0.0020856017636632,0,0,0,0,-4.33680868994202e-19,0,0,0,0.0128213798366025,0,0.0426319855096973,0,0.0303531009235475,0,0,0.247332957273657
X2501.TT.EQUITY,0,0.108175955093845,0,0,0.0124798463897911,0,0,0,-0.00278598580913816,0,0,0,0,0.20721702239983,0,0.0627886421783254,0,0,0,0,0,0,0,0,0
X2905.TT.EQUITY,0,0,0,0,0.00544389510777714,-0.00742337630614374,0,0,0,0,0,0.0282806717283136,0,0,0,0.0561654806663273,0,0,0,0,0,0,0,0,0
X9940.TT.EQUITY,0.0221259809706261,0,0,0,-0.023061182565808,-0.0289060399420813,0,0,0.000811528246642636,0,0,0.153051125923241,0,0,0,0.375069988653106,0,0,0,0,0,0,0,0,0
X3040.TT.EQUITY,0.0161173550672592,0,0,0,0,0.0423835866801292,0,0,-0.00304549814944906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2885.TT.EQUITY,0,0,0,0,0.0201312060030144,0,0,0,-0.00246886413147075,0,0,0.066645096667558,0,0.279015144139732,0,0,0,0.0964863860916844,0,0,0,0,0,0,0
X000656.CH.EQUITY,0,0,0,0,-0.00507429407469458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2855.TT.EQUITY,0,0,0,0,0,0,0,0,0.00649965242587794,0,0,0.104486653196381,0,0,0,0.198768877361191,0,0,0,0,0,0,0,0,0
X1903.TT.EQUITY,0,0,0,0,-0.00614736228540731,0,0,0,-0.0105274473105091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601162.CH.EQUITY,0.00920391570862427,0,0,0,-0.00419693063313486,-0.0036589684033248,0,0,-0.00168583645584315,0,0.119113712552571,0,0,-0.0219168820776463,0.0137536824987543,0.00737316765389646,0,0,0,0,0,0,0,0,0
X600848.CH.EQUITY,0.00866531157798636,0,0,0,-0.00435441233235312,0.00197043657625264,0,0,-0.00208649074139705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5876.TT.EQUITY,0,0,0,0,0,-0.00668567119638521,0,0,-0.00557145171247905,0,0,0,0,0.0963860633837444,0,0,0,0,0,0,0,0,0,0,0
X1463.TT.EQUITY,0,0,0,0,-0.0119539112323597,0.0473751738756667,0,0,-0.0131141907166284,0,0,0.142596239691549,0,0,0,0,0,0,0,0,0,0,0,0,0
X2820.TT.EQUITY,0,0,0,0,0.00353256802898168,0.0071495427827675,0,0,-0.00151337247617527,0,0,0,0,0,0,0.0883833448406182,0,0,0,0,0,0,0,0,0
X000783.CH.EQUITY,0,0,0,0,-0.0012131054614218,-0.000136235482001968,0,0,0.00180455517170301,0,0.122575103079393,0,0,0,0,0,0,0.00557971327337881,0,0.0768928032458314,0,2.16840434497101e-19,0,0,0
