,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0.0631317864836794,0,0,0,0,0.0704558170504068,0,0,0,-0.0165345218935464,0.0199426799613966,0,0,0,0.367259438493884,0,0,-0.0262752427475482,0.0050788095181109,0,0,4.33680868994202e-19,0,0,-0.0017969130200687,-0.00390073497502054,0,0.0361324935049598
X1398.HK.EQUITY,0,0,0,0,0,0.498353145450444,0,0.0914769222633373,0.0637911580205412,0,0,0,0.0767772219112115,0,0,0,0.165061210648196,0,0,0,0.0334715320037597,0,0,0,0,0,0,0.00386613546502445,0.0160197192443434,0,0
X2318.HK.EQUITY,0,0,0,0.684137852345364,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.0335672791387115,0,0,0,0,0,0,0,0.0136740808654276,0,0,0.13358854078577,-0.0365562820893693,0,0.00481210209747539,0.00998442068817991,0,0
X601318.CH.EQUITY,0,0.185590315295613,0.19660284414555,0,0,0,0,0,0,0,0,0,0.0950034141576974,0,0.0610791625857047,0,0,0.104031226063932,0,0.13297379382974,0,0,0.0167027383521699,0,-0.0192550449000168,0,0,0.0175658151068763,-0.0124870988791066,-0.0317931054843423,0
X601939.CH.EQUITY,0.0757560739825775,0,0,0,0,0.0545390802159256,0.233851819150087,0,0,0,0,0.0297790515149354,0,0,0,0,0,0.0255150906373199,0,0.0754885555112822,0,0.00649451175216763,0,0,0,0,0,-0.00965105994091012,0.0200380076334902,-0.0599543608146174,0
X939.HK.EQUITY,0,0.428072224706779,0,0,0,0,0,0,0.181182296754142,0,0,0,0,0,0,0,0,0,0,0.0550089408675727,0,0.103926098663809,0,0,0,0,0,0.0102851736014669,0.00597857819166609,0,0.0889996764827781
X601288.CH.EQUITY,0,0.0261469255244653,0,0,0.365094951081962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505750405077504,0,0,0,-0.0079502393008851,0,-0.00130448282730326,0.0186594646924892,0,0
X5.HK.EQUITY,0.257481648424702,0,0,0,0,0,0.399513777268996,0,0,0,0.200076209339582,-0.247261001603228,0.0234084669481793,0,0,0,0,0,0,0,0.00303105739538098,0.502673826381565,0,0,-0.0500147936039188,0,3.46944695195361e-18,-0.00147935451645492,0.0204949667507649,0,0
X3988.HK.EQUITY,0,0.455843480579673,0,0,0,0,0,0,0,0,0,0,0,0,0.0507432276593356,0,0,0,0,0,0.0130206185963591,0,0.0144304443331078,0,0.135045587325345,0,0,-0.00198294779969015,-0.0118257645742802,0.0277272801176991,-0.0164893693728551
X601988.CH.EQUITY,0,0,0,0,0.273731644371595,0.0459008097933946,0,0,0,0,0,0,0.0854514929752591,0,0,0,0,0.044037726352817,-0.00939579694273344,0.0164005894912132,0,0,0,0,0,0,0,0,0.00136570650697469,0,0.0536653778641561
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.222717051326595,0,0,0,0.111938144582541,0,0,0,0,0,0.100343791198011,0,0.215337852849643,0.322539400723374,0,0,0,0,0,0,0,0.0116181159679881,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.018873943149225,0,0,0.116281179352334,0.061955469469123,0,0,0,0,0,1.73472347597681e-18,0,0,0.633238253300277,0.0601303239845219,0,0,0.0155046728307769,0.0199028686875819,0.0932485571151817,-0.0845389765502075
X601628.CH.EQUITY,0,0,0,0.198626473600537,0,0,0,0,0,0,0,0,0,0.294431771912428,0,0,0,0.113896227339126,0,0.0773866009426875,0,0,0.0957025530129461,0,0,-0.139894286504267,0,0.0227456724805226,-0.0138019425048549,0.0894311622792523,0
X2628.HK.EQUITY,0,0.0275592735942033,0,0,0,0.021078207293841,0,0,0,0,0,0.0927154151612999,0.316475549459712,0,0,0,0,0,0,0,0,0.122578101317789,0,0,0.0686189295618281,0,0,-0.000912861461174377,-0.0157658199429277,0,0.0581710359691465
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.198571698779817,0,0,0,0,0,0,0.0368764294128662,0,0.168758712247575,0.109716681585696,0,0.219525116554666,0,0,0,0,0.00871484397440181,-0.0098562796220251,-0.018191735731458,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227028680873025,0.0895506390564953,0,0,0.16970890631989,0,0.0649641628236294,0,0,0.073333614505776,0,0,0,0,0.0021079695075584,0.0225062384925806,-0.0197237615494967,0.0210004657582998
X3328.HK.EQUITY,0,0.33751682227381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216786555250252,0.157163431159668,0,0,0,0,0,0.0166165135483857,0.00847499195145008,0,0
X600000.CH.EQUITY,0,0,0,0.135259936797596,0,0,0,0,0,0,0.196081431689943,0,0,0,0,0,0,0,0.0335272754915205,0.0523688681168952,0,0.0875796615769116,0,0,0,0,0,0,0.0240960467389149,-0.0164482293139921,0.0711841836209629
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0721158380477218,0.292581653095415,0,0.0735726051116277,0.0811858688110882,0,0.0736997363308,0,0.01204914075107,0.0109727658936949,0,-0.0662451631255088
X000001.CH.EQUITY,0,0,0,0.00190647051007897,0,0,0,0,0,0,0.494781941029203,0,0,0,0,0,0,0.0276283916129957,0.303300297248585,0,0.191472514908897,-0.172262908909314,0.300507848626361,0.0482147716823993,0.111787393928049,-0.0975275100481072,0.207235944470598,0,0,-0.250235683034293,-0.117728962045809
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.00844874612044065,0.256063984480828,0,0.248316645326656,0,0.500498262118527,-0.0963537158091793,0,0,0,0,0,0,0.0884302914200222,0,0.111517598707142,-0.0384393393653783,0.012491647281682,1.73472347597681e-18,0.0197886410195855
X16.HK.EQUITY,0,0,0,0,0,0.1271738354889,0,0.302153133744977,0,0,0,0.693683537737419,-0.146134874586642,0.256417630484031,0,0,0,0,0,0,0,0,-0.118447693852134,0,0.0289328292721105,0.0208826331958364,0,-0.0661971044495098,-0.0112292451508766,0.0221094259248287,0
X601319.CH.EQUITY,0,0,0,0.347467573665064,0,0,0,0,0,0,0,0,-0.443582882309438,0,0,0,0.297374125929673,0.091195205281156,0.564225813531696,0,-0.0948180382042885,0,0,-0.349741751590491,0,1.00639686568772,0,0.0190233638467438,0.0231353786354413,0.833366205185952,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.153254335434272,0,0,0,0.490293679827818,0,0,0,0,0,0,-0.0517306207248617,0.066235646005577,0,-3.46944695195361e-18,-0.0627898821577063,0,0,0,0,0.01825285867707,0.0734020658695554,-0.0532204557848976,0
X688.HK.EQUITY,-0.0252851737480768,0,0,0,0,0,0,0,0,0,0,0.151267115975177,0,0.430047563456331,0,0,0,0,0.322625414978969,0,0,0,-0.0351483533898377,0.0753712822372698,0,-0.111740117324885,0,0,0.0175974446217002,0,0.0569239036359824
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133527370939658,0.0623295189228088,0,0,-0.0554696615802849,0,0,-0.0379513334718279,-0.000296492469156865,-0.940608090932368,-0.733450478810695
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.00572621927663569,0,0,0,0,0,0,-0.193271099521185,0,0,1.38777878078145e-17,0,0.138912510238808,-0.0131024839760866,0,-0.163766760494486,-0.0578072345022409,-0.0628591545629656,0
VXFXI.INDEX,0,0.764599069119766,0,0,0,0,0,0,0,0,0,0,-0.368025327915551,0,0,0,0,0,0,-0.217963254748077,-0.305932826036736,0,-0.515940905754417,0,0.635507381089856,-0.621506837235571,-5.00407461094885,0,-0.276434732579935,-0.691040052446509,0
TED.SP,0,0,0,0,0,0,0,-0.532838119283492,0,0,0,0,0.0648785924282084,0,0,0,0,0,0,0,0.470296286825502,0,0,1.20417755317379,0,0.150043343918063,-1.03857434664646,0.0476823830793378,0,0,0.773395742406129
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.749982453205422,0,-0.0447964519311131,0,0,-0.520506553396473
CREDIT.SP,0,0,0,0,-0.0549027146113395,0,0,0,0,0,0,0,-3.46944695195361e-18,0.372953147144281,0,0,-0.0957018775364939,0,-0.127841698414306,0,0,0,-0.182398539759416,0,0,-0.724345962419983,0,-0.0311664525358356,0.0389617191644795,-0.67689120831162,0
