,X1398.HK.EQUITY,X601398.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0.480748701716735,0,0,0,0,0,0,0,0,0.136526470916961,0,0.04340065547401,-0.0567208081116903,0.283133700771696,0,0,0,0,0,0,0,0,0,0.00211813008766723,0,0.00164343280195458,0.0105559404277584,-0.0114465017498639,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.268544568103373,0,0,0,0.0617494852084502,0,0,0,0,0,0,0,0,0,0,0,0.00909675052115453,0,0.0352124350973623,0,0,-0.000608887255401465
X939.HK.EQUITY,0.299310680030695,0,0,0,0,0,0,0,0,0,0.192432061667516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0373327827794338,0.000361982491756564,0.00719934493916605,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.180956342986391,0,0,0,0,0,0,0,0.0631626632693291,0.335426742381382,0,0,0,0,0,0,-0.0101037084653393,0,0.0199359136468126,-0.00849191604407911,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.321343309401023,0.0192940794563106,0.0303884800948579,0,0,0,0,0,0,0.0240887742396624,0,0,0,0,0,0.0522578751825561,0,0.0137639494326924,-0.00737978178418581,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.062679184429206,0.0519181807458809,0,0.35136424054749,0,0.0212702406402771,0,0,0,0,0,0,0.0312908889952276,0.039071791747414,0,0,0,0,0.00634238614238852,0,0.0133307570056005,-0.0301878188631098
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.276967061182215,0,0,0,0.00483996663711928,-3.46944695195361e-18,0,0,0.00921064230038616,0,0,0,0,0.0225211109684479,0,0,-8.67361737988404e-19,0,0,-0.00548887764072669,0,0
X3988.HK.EQUITY,0.0775864464211029,0,0,0,0,0,0,0,0,0,0.345966001532561,0,0,0,0,0.0280054686647635,0,0,0,0.0232950895365561,0,0,0.0354083040588399,0,0,0.010650802915378,0,0,-0.00416419320364822,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0.0842662234229826,0,0,0,0,0,0,0,0,0,0.300809561969506,0,0,0,0,0.0573999800181152,0,0.070272539136379,-2.71050543121376e-20,0,-2.16840434497101e-19,-0.00770141844475447,0.00415509437564828,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00510442480375136,0.312129640940588,0,0,-2.16840434497101e-19,0,0,0.197590121882971,0,0,0,0,0,0,0,0.00802147739788341,0,0,0.00886413059044117,-0.0654796540805418,0
