,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0.0109697859330247,0,0,0.000950704888709693,0.18227693880309,0,0,0,0,0,-0.0728339369239715,0,0,0,0,0,0.354209327655501,0.00297064341740223,0,0,0,0,0,0,0,0,0,0.0190824632133589,0.00599187200414317,0
X1398.HK.EQUITY,0,0,0,0,0.286735564950934,0,0.162598269026389,0,0.472616807805259,0,0,0,0,0,0,0,0,0,0,0,0.0865108929366708,0,0,0,0,0,0,0,0.00939045932256788,0.00683950946035905,-0.0159381491630887
X601318.CH.EQUITY,0,0,0,0.222157595695068,0,0,0,0,0,0,0,0,0.0441343442238108,0,0,0,0,0.143918138872269,0,0,0.213402984018203,0,0,0,0.0417078474391875,0.0538734975636036,0,0.043400922143489,0,0,0
X2318.HK.EQUITY,0,0,0.622246493695706,0,0.195025305953242,0,0,0,0,0,0,0,0,0.0520640757738254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254300577025529,0,0
X939.HK.EQUITY,0,0.261010492912913,0,0,0,0,0,0,0,0,0,0,0,0.081758257613922,0,0,0,0.0224952217450259,0.143207972006043,0,0,0.144619585677621,0,0,0.0280956615990838,0,0,0.00671852240240518,-0.00274646965161705,0,0.0365978590662967
X601939.CH.EQUITY,0.0437125379509878,0,0,0,0.12077443377679,0,0,0,0,0,0,0,0,0.0455046771562926,0,0,0,0.00891078216666686,0.0267749818847199,0,0,0,0,0.0862137222683513,0,0,0,0,-0.00361562661648385,-0.0466613335333524,0
X601288.CH.EQUITY,0.271292291852685,0.0102284789305472,0,0,0,0.25836866174238,0,0.121893464601909,0,0.0725927052067726,0,0,0,0,0,0,0,0,0.0234843803546769,0,0,0,0,0,0,-0.011596602894694,0,-0.00763267037122494,0,0,0
X5.HK.EQUITY,0,0,-0.153218884905661,0,0,0,0,0,0,0,0.682381988129922,0,0,-0.110468721560505,0,0,0,0,-0.091670596118635,0.130346117032358,0,0,-8.67361737988404e-19,0.121769848256654,0,0.059593093820713,-0.11896574236212,0,0,0,0
X3988.HK.EQUITY,0,0.315595255947536,0,0,0.0847526119386139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224444915701615,0.063905632555745,0,0,0,0,0,0.00421985255031673,-0.0243187231675865,0.028106231336835,-0.0269729267596791
X601988.CH.EQUITY,0,0,0,0,0.0684140086076684,0.319834165830641,0,0,0,0,0,0.0284647467168967,0,0,0.0735726492922423,0,0,0,0,0,0,0,0,0,0,0,0,-0.00532070991517418,-0.0125556716620189,-0.0197615993395542,0.00903034575223636
