,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.113096989252871,0,0,-0.0953030155088041,0,0,0,0,0,0,0,0,0,0.194137675190211,0.148991119462576,0,-0.120388878461525,-0.00716564100912895,0,0,0,0,0,-1.73472347597681e-18,0.142009878543428,-0.0372840448250684
X1398.HK.EQUITY,0.114687820176473,0,0.237114910916382,0,0,0,0,0,0.348220268211966,0,0,0,-0.0168852088953889,0,0.530673118773173,0,0,-0.238026288379091,0,0,0,0,0.177004930624592,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.315187587764597,0,0,0,0,0,0,0.230225457747446,0.092428958605263,0.102231862282017,0,0,1.73472347597681e-18,0,0.0424516307338972,0,0.0204549247663083,-0.129868461493171,0,0,0,0.0989015916135765,0.0461725032249991,0.0141921205503639,0,0,0
X2318.HK.EQUITY,0,0,0.175444672615467,0,0,0,0,0,0,0,0,0.246345021259993,0,0.0987055837437567,0,0.072197323551188,0,0,0,-1.38777878078145e-17,0.0505030294672346,0,0,0.0184183598653357,0.0719967260910566,0,0.0117593231464216,0,0.0419437749204309,0
X939.HK.EQUITY,0,0.0056256319894477,0,0,0,0,0,0,0,0,0.00785904053527285,-6.93889390390723e-18,0,0.23376317386688,0,0,0,0,0,0,0.0775606247584227,0,0,0,0.0967261886707661,0,0.0083719640455681,0.0612200427063258,0,0
X601939.CH.EQUITY,0.0997305960398042,0,0,0.0879573170857525,0,0,0,0,0,0.476144899816338,0.100363354445097,0,0.0926972523585731,0.093073637492418,0,0,0,0,0,0,0.0675299987552883,0,0.0286405227062924,0,-0.0981933865420902,0.048862320071006,0.0176772329231308,0,0,0
X601288.CH.EQUITY,0,0,0,-0.251883294397561,0,0,0,0,0,0,0,-0.116196880741715,0.0448491121873843,0,0,1.0842021724855e-19,0.301012266721333,0.151585628537654,0,0,0,0,-0.0345466990204237,0,0,0,-0.00152857335151358,0,0.164905317367121,0
X5.HK.EQUITY,0,0.111992766952339,-0.235376833431495,0,0,0,0,0,0,0,0,0.135288525884121,0,0,0,0,0,0.147164346541664,0,0,0,0.386993379357781,0,0.0889766158021068,0,0,0.00857330586450931,0,0,0
X3988.HK.EQUITY,0,0.0522555185499565,0,0,0.0136906192548797,0,0,0,0,0,0,0.0766946630949031,0,0.131894702799164,0,0,0,0,0,0,0.0728914333732294,0.139082846885528,0.0101649386741682,0,0.0449133808311095,0,0.00130994956067229,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0826555050023788,0,0,0.00941764093300261,0,0,0.0585238400456142,0,0.0805070525832584,0,0.0428211673660721,0,0.0781220324026346,0.060199086567897,0,0,0.00217942221785011,0,0,0.0408138171912247
X600036.CH.EQUITY,0,0,0.725149244147902,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.297531832195043,0,0,0,0,-0.204888467804088,0.161570326538792,0.118084806856695,0.0184487761991239,0,0.00318776765114841,0,0.017711255304037,0,0,-0.0604010604901515
X1299.HK.EQUITY,0,0,0,0,0,0,0,0.0667416047388605,0,0,0,0,0.082935817096852,0,0,0,0,0,0,0.0760833274348626,0.375250880476071,0,0,0.0598595220059663,0.264409214311386,0,0.000301679161191618,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260072904850203,0.0993659226215708,0,0.24132407803613,0,0,0,0,0.35051884655269,0,0.00372257851341889,-0.0370315158700856,0,0
