,X601398.CH.EQUITY,X1398.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0.388195036552835,0,0.0407524117452087,0,0,0,0,0,0,0,0,0,0,0.0791479158332554,0,0,0,-0.0109107245371606,0,0,0.0688632998393355,0,-0.0185774854553283,0,0.000225190056638031,-0.0226661977817224,0,0.00304879743219631
X1398.HK.EQUITY,0,0,0.549236734716171,0.156582521939663,0,0,0,0,0,0,0,0,0,0,0.0629500688146477,0,0,0,0,0,0.00650673662834904,0.00366983260006197,0,0.00671108358332025,0,0,0,0.00875597327053089,0,0,0
X939.HK.EQUITY,0,0.618893692730256,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345594152731266,0,0,0,0,-0.0224732993759633,-0.0168308252637985,0.131928928583269,0,0.0261207857625338,0,0,0,0.00851677197912194,0.019324938494246,0.00948415933446098
X601939.CH.EQUITY,0.504228469274763,0,0,0,0,0.113926212465841,0,0,0,0,0,0,0,0.102180562357982,0.0372016220025928,0,0,0,0,0,0.0518996717867374,0.0183341736216002,0,0,0,0,0,0,0.0233014798287539,0,0
X2318.HK.EQUITY,0,0,0,0,0,0.53679152392464,0,0,0,0,0,0,0,0.0548004605411202,0,0,0,0,0,0,0,0.025925250208567,0,0,0,0.0481073521937834,0,-0.00778506236463243,0,-0.0336250365441974,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.125581847379339,0,0.0503184198590142,0,0,0,0,0,0,0,0,0.297040565102397,0,0.268318370168037,0,0,0,-0.0374725799828627,0.0108535704856635,0,0
X601288.CH.EQUITY,0,0,0,0.335591917015409,0,5.4121829585639e-05,0,0,0,0,0,0,0,0.032885658960472,0,0,0,0,0,0,0.0076759979128568,0,0,0.13153814297176,0,0,0,0,0,0,0.0219526343415066
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069422710251832,-0.0201630242357248,0.122253572126965,0.260016311439271,-0.0165150293989288,0,0,0,0.0204354562199211,0,0,0.126064585141137
X3988.HK.EQUITY,0,0,0.311542591233248,0,0.136816647145416,0.00149219220309432,0,0,0,0,0,0,0,0.0136140644297589,0,0,0.0681649812770138,0,0,0,3.46944695195361e-18,0,0,0.0285648876466622,0,0,0,-0.0159803273929516,0.0221959469149424,0.0723483090560551,0
X601988.CH.EQUITY,0,0,0,0.0931226057806879,0,0,0,0,0,0,0,0,0,0.207188712187821,0,0,0.0155205825375258,0,0,0,0.0232891509361207,0,0,0,0,0,0,0.0115135571917266,-0.00764243784998111,0,0.0259323025668154
