,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0.00235017287023821,0,0,0,0.303787022681817,0.0611387169397257,0,0,0,-0.129973240179539,0,0.0182504492693844,0,0,0,0,0,0,0,0,0,0,0,0.010155220825304,0,0.000274564024173967
X1398.HK.EQUITY,0,0,0,0,0.354172231546615,0,0,0.0766754071218043,0.0628788990898401,0,0,0,0,0,-0.0155870516300235,0,0,0,0,0,0,0,0.00908606370234114,0,0,4.33680868994202e-19,0,0,0.00528565938598684,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.0918992051893295,0.0673499385309423,0,0,0,0.165034584395633,0.0412181611885705,0,0,0,0.0179870429210205,0,0,0,0,0,0,0,0,0,0.00744850366984617,-0.00437635139621848,0.00904944011667367,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0800633577475206,0,0.300301465434941,0,0,0,0,-0.0484383186637364,0,0.0953173812530527,0,0,0,0,0,0,0,0,0,0,0,-0.00560956436903039,0,0
X939.HK.EQUITY,0,0.137498290897517,0,0,0,0,0,0,0,0,0,0,0.286414212257765,0,0,0,0.0882465766397407,0,0,0,0,0,0,0,-0.0195748461891449,0,0,-0.0444008086733018,-0.00530267935771429,0.0120800682474433,-0.0335015399687353
X601939.CH.EQUITY,0,0,0,0,0,0,0.946715623120901,0,0.0459279442759646,0,0,0,0,0,0,0,0,0.0437530279975806,0,0,0,0,0,0.0412375264541306,0,0,0,0,-0.00631956698633251,0.0107199610428621,0
X601288.CH.EQUITY,0,0,0,0,0,0.817977456451629,0,0,-0.0330426934103892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0610043109661527,0,0,0,-0.00784717352972425,0.000813316113100596,-0.00424369800285164,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0.251008943030481,0,0.207390816907496,0,0,0,0.209284001047143,0,0.0947811259757791,0,0,0,0,0,0,0,0.0194840365842113,0,0,0,-0.00800402407736383,0.0971135278788367,-0.0373093659308543
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.589581599531873,0,0,0,0,0,0,0,0.541898744581107,0,0,0,0,0,0,0,0.0906200686983536,0.273028767566875,0,0,-0.173517244213973,0.0303244323282931,0,0
X600036.CH.EQUITY,0,0,0,0.0103583442799025,0,0.477715576226341,0,0.0249433491500491,0,0,0,0,0.0856421098802304,0,0,0,0,0,0,0,0,0.0573157681095409,0.0869277034548789,0,0,-0.0215361690474354,0,0,0.00680770536216883,0.0144901979759628,0.0130307014608162
