,X601398.CH.Equity,X1398.HK.Equity,X601939.CH.Equity,X939.HK.Equity,X601318.CH.Equity,X2318.HK.Equity,X601288.CH.Equity,X601988.CH.Equity,X3988.HK.Equity,X600036.CH.Equity,X1299.HK.Equity,X5.HK.Equity,X601628.CH.Equity,X2628.HK.Equity,X601658.CH.Equity,GCNY10YR.Index,SHIF3M.Index,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.Equity,0,0,0,0,0.0549651380348379,0,0,0,0,0.169367002007317,0,0,0.00314590965829948,0,0,0,0,0,-0.00836818530815686
X1398.HK.Equity,0,0,0,0.296006609465721,0,0,0,0,0.0951542694192767,0,0.212885374198293,0,0,0.116610428861459,0,0,0,0,0.00602075614676459
X601939.CH.Equity,0,0.0177462520124792,0,0,0.0502801456845146,0,0,0,0,0.258192452955539,0,0,0.0471055733999147,8.67361737988404e-19,0,0,0,0,0
X939.HK.Equity,0,0.769001705112889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.Equity,0,0,0,0,0,0.391360842396929,0,0,0,0.0138253825065396,0,0,0.317657808874555,0,0,0,0,0,0
X2318.HK.Equity,0,0,0,0,0.251677513809854,0,0,0,0,0,0.238519640479466,0,0,0.168417215547569,0,0,0,0,-0.00227664131540312
X601288.CH.Equity,0,0,0,0,0.11982728644588,0,0,0,0,0.0894913334170717,0,0,0.0760956846796046,0,0,0,0,0,0
X601988.CH.Equity,0,0,0,0,0.0929134679285021,0,0,0,0,0.0450840451010077,0,0,0.076570664525171,0.0204428879975067,0,0,0,0,0
X3988.HK.Equity,0,0.120093609951915,0,0,0,0,0,0,0,0,0.124359140858363,0,0,0.196325134735706,0,0,0,0,-4.33680868994202e-19
X600036.CH.Equity,0,0,0,0,0.187164553855754,0,0,0,0.0450872945495134,0,0,0,0.0698458414649387,0.260435646665298,0,0,0,0,0
X1299.HK.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0.676028224029434,0,0,0,0,0
X5.HK.Equity,0,0.228509351203548,0,0,0,0,0,0,0.0387543315810661,0,0.105586080262428,0,0,0.13202602867599,0,0,0,0,-0.0201641257694296
X601628.CH.Equity,0,0,0.14019338982342,0,0.33983231925276,0,0,0,0,0.299073560689799,0,0,0,0.268784626966959,0,0,0,0.0390362211104849,0
X2628.HK.Equity,0,0,0,0,0,0,0,0,0,0,0.341753220463991,0,0.296535221977108,0,0,0,0,0,-0.0193705786048681
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0.0439935626589383,0,0,0.201682820929323,0.000882951544053093,0,0,0,0,0
GCNY10YR.Index,0,0,0,-0.0995128871986819,0,0,0,0,0,-0.0882592783352343,0,0.152105576721929,0,0,0,0,0,0.0231710145766919,-0.0200083350307289
SHIF3M.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00655749551557945
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.156625777489981
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,-0.299718154131157,0,0,0,0,0,0,-2.40090724478418,0
