,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0.0175005229485441,-6.93889390390723e-18,0,0,0,0.0666878026036383,0,0,0,-0.0101444745228821,0.0675493914664077,0,0,0,0.363268640872006,0,0,-0.0444428758415707,0,0,0,0,0,0,-0.00274818143753395,0,0,0.0263895565390734
X1398.HK.EQUITY,0,0,0,0,0.591080376594252,0,0,0,0,0,0,0.0455346321177407,0.0619766053796101,0,0,0,0.0757748929645721,0,0,0,0.111625532579665,0,0,0,0,0,0,0.00441464367696883,0.0107836933630265,0,0
X2318.HK.EQUITY,0,0,0,0.363760632478399,0.14579589763138,0,0,0,0,0,0,0.00654175627814939,0,0.0782160658254156,0,0,0,0.00282458934870296,0,0,0,0,0.127821185217516,0,0,-0.0359686436778755,0,0.00193754849260436,0.00374026900560611,0,0
X601318.CH.EQUITY,0,0.149387267608776,0.210904298572958,0,0,0,0,0,0,0,0,0,0.0895231219625221,0.115579661844439,0.147621798583773,0,0,0.0291306005123748,0,0.065419579069832,0,0,-0.138342166679166,0,0.126350867466828,0,0,0.0122920246174651,-0.00724029348385709,-0.00458569944193788,0.035554793528667
X939.HK.EQUITY,0,0.461674965921164,0,0,0,0,0,0,0.0200979136523975,0,0,0.102928166631389,0.0328647444597388,0,0,0,0,0.0467445668284847,0,0.113190229115332,0,0.0608689561313722,0,0,0,0,0,0.00471568874652166,0,0,0.0403682233631628
X601939.CH.EQUITY,0.279896859349182,0,0,0,0.067502861671781,0,0.0375187928414746,0,0,0,0,0.0176994584549486,0,0,0,0,0,0,0,0.0798690568276945,0,0,0,0,0,0,0,-0.00865853303553187,0.0254369476972834,-0.0428985000040475,0
X601288.CH.EQUITY,0.122602896138103,0.0734714642155503,0,0,0,0.317560078360849,0,0.00892454653525428,0,0,0,0,0.0122193731488737,0,0,0,0,0,0.023912030062757,0,0,0.0102230862412245,0,0,0,0,0,-0.00498126828584,0.0209063482507928,0,0
X5.HK.EQUITY,0.0445819818715182,0,0,0,0,0,0,0,0,0,0,-0.145847945322059,0,0,0,0,0,0.112812254723632,0,0,0,0.508038383953711,0,0,0,0,-0.0210020369203312,0.00430363825612129,0.0579117345696873,0,-4.33680868994202e-19
X3988.HK.EQUITY,0,0.362047892363067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020975923626796,0.182872835459584,0,0,0,0,-3.96542244023569e-05,-0.0126811778356436,0.0236646597269026,0
X601988.CH.EQUITY,0,0,0,0,0,0.227448777979606,0,0,0,0,0,0,0.074906686254582,0,0,0,0,0.0501864295038502,0,0.0246933128309823,0,0.0186204233567471,0,0,0,-0.00586388323216745,0,-0.00290557857637011,0.00383601563934976,0,0.0604580408025639
