,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0.216341388656539,0,0,0,0.444158936513819,0,0,0,0,0.0462173843165114,0,0.0562328830274806,0,0,0,0,0.0686488132068171,0.0132573600237983,0,0,0.00522665156293711,0,0,0.0075538926528882,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0.111550770742551,0,0,0,0,-0.010334345454316,0,0,0,0.364345621399043,0,0.016538107218133,0.00230676542099653,-0.0513875437197518,0,0.0141113025420037,0,0,0,0,-0.00186798258949866,0.0232801989295413,0.0697270439976243
X601318.CH.EQUITY,0.0964522369551222,0.106228819441122,0,0.233424293364517,0,0,0,0,0,0,0,0,0,0.141447402200909,0.229179666363775,0,0,0.0491256777192265,0,0,-0.0132015863659053,-4.33680868994202e-19,0,0,-0.098371530045251,0,0,0.0195053215172172,-0.0103961616703821,-0.0391471978616361,0.060216677593063
X2318.HK.EQUITY,0,0,0.78860724252253,0,0,0,0,0,0,0,0,0.0262392658718488,0,0,0,0,0,0,0,0,0.00147299851534126,0,0,0,0.112240807638522,-0.0323523900092505,0,0.00152869416658943,0,0,0
X939.HK.EQUITY,0.325661273430463,0,0,0,0,0,0,0,0.215065895403142,0,0,0,0.0545175923423986,0,0,0.000254252923571009,0,0.0121228536545458,0,0.0909977628856619,0.103492772008398,0,0,0,0,0,0,0.00904880941659444,0,0,0.0645195910741201
X601939.CH.EQUITY,0,0.114143473902175,0,0,0,0,0.354107800238347,0,0,0.141769829130334,0,0,0,0,0,0,0,0,0,0.047506894499497,0,0,0,0,0.0733877672281372,0.0515351435788568,0,-0.0137346616478129,0.00429626138991352,-0.0253079065825301,0
X601288.CH.EQUITY,0.0175304967091897,0.321096849409858,0,0,0,0.280761197533529,0,0.0707032775551619,0,0,0,0,0,0,0,0,0,0.0122714120026326,0,0,0.018031506872073,0,0,0,0,-0.0201011974758749,0,-0.00385088307120169,0.00587021743260154,0,0.008370412195129
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.21629593727387,0,0.0612395289554705,0,0,0,0.276490480398298,0,0,0,0,0,0.608683681517358,0,0,0,0,0.00226977292587073,0,0
X3988.HK.EQUITY,0.485421960583823,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0639071815105111,0,0,0,-0.00894208847907699,0,0,0.0166319616409552,0,0,0.116357266893981,0,0,0,-0.012056950894713,0.0301462597295045,-0.0263150573371528
X601988.CH.EQUITY,0,0,0,0.030734300188884,0,0.268439170091581,0,0,0,0,0,0,0,0.0648201201716853,0.0187164921237979,0,0,0,0,0,0.0259250076082854,0,0,0,0,-0.00273439058334309,0,0,-0.00293305739665294,0,0.0604552534781759
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.144460443755441,0,0.234961557501765,0,0.173087608074595,0,0.142886921162132,0,0,0,0.000998960946660928,0.0120762541015636,0,-0.0373987405987796
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.104074657081093,0,0,0,0,0,0,0,0,-0.0534384149755122,0,0.130940541092301,0.382409177297287,0.379989269755849,0,0,0,0,0,0.00286000249250353,-0.0335293322784727
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.332832013037991,0,0,0,0,0,0,0.163603902073979,0,0,0,0.0773017679082444,0,0,0.000973777395977145,-0.0109940318604313,0,0.00214261879028241
X601628.CH.EQUITY,0,0.450661463372997,0.182077022979938,0,0,0,0,0,0,0,0.0642038737412822,0,0.258533873488855,0,0,0,0,0,0,0.040934041113949,0,0,0,0,0,-0.0536003477216882,0,0,-0.0309327361405804,0.168625956789739,0.0896996138393328
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.194325398037491,0.0470657556341551,0,0,0,0,0,0.0325068009842126,0,0.133434059182441,0,0.371788428852721,0,0,0,0,0,0,-0.0275512329073431,0,-0.00905376787664788
X3328.HK.EQUITY,0.315658149912211,0,0,0,0.0884267850771714,0,0,0,0,0,0,0.0487148551788927,0,0,0,0,0,0,0,0,0.106449880675629,0.21087780055197,0,0,0,0.0247235952055809,0,0.00989095201015723,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0611622374436441,0,0,0.141844171134167,0,0.0748380282300682,0,0,0,0,0.0996917053384093,0,0,0.00659981373851073,0.0115355362177376,-0.0510987922850559,0
X600000.CH.EQUITY,0,0,0.144646887998053,8.67361737988404e-19,0,0,0,0,0,0,0.35675891429686,0,0,0,0.18238467136045,0,0,0,0,0.0779366298452728,0.0429276612614169,0,0,0,0,0,0,0,-0.035501538855719,0,0.0857239765725911
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072499220685417,0,0.234011722442849,0,0,0,0.101221227066781,0,0,0.0288024447896596,0,-0.135657747293057
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.283576554425781,0,0,-0.0463738748106763,0,0,0,0,0,0,-0.11313186344123,0.418654126857055,0,0,0.263431591046277,-0.0157291145191135,0,-0.00346672302164143,-0.0404079059165001,-0.0635230882250468,0
X16.HK.EQUITY,0,0,0,0,0.102303531103476,0,0,0,0,0,0,0.238963253809328,0,0,0,0,0,0,0,0,0,0,0.40027200729905,0.565224863385441,0,0.0362483745715968,0,-0.0461167038241323,0.0166940254732532,0,-0.028587785712477
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0.0506856440539989,0,0,0,0,0.307403053764953,0.203094045855234,0.379170477240717,0,-0.0426768093282694,0,0,-0.011131249245681,0,0,0,0.0913465235586151,-0.00420205766461235,0.115290690980919,-0.0367215672325513,1.0842021724855e-19,0,0.0539119397551304
X388.HK.EQUITY,0,0,-0.0636889938692829,0,0,0,0,0,0,0,0,0.277567023193816,0,0,0,0,0,0,-0.176853394800028,0,0.150325569142016,0,0,0,0.165361353220886,-0.0315010976689173,0,0.0197710085916779,0.0439687304090776,-0.168047723777261,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.363263324588821,0,0,0,0.2293973223153,0,0,-0.103135032619871,0,0,0,-0.14413749201173,0,0.583993571849309,0,0,0,0,0,0,0.0116154453518683,0.0168194122606651,-0.0472678717484932,-0.13655427781529
X688.HK.EQUITY,0,-0.0378305054527297,0.23106876741782,0.0637412365222543,6.93889390390723e-18,0,0,0,0,0,0,0,0.233884105454109,0,0,0,0,0,0.232418719936482,0,0,0.21892734413787,0.489247725174581,0,0,-0.119994024053036,0,0,0,0,0
CGB3M,0,0,0,0,0,0,0,0,0,0,-0.261870220883413,0,0,0,0,0,0,0,0,0,0.176623183244096,0,-0.0904609893229947,-0.0932755914066547,0,0,0,-0.0181562994454564,0.0136884886128068,-0.938491322334953,-0.64819532219323
FXI.US.EQUITY,0.229887758982776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144027200855639,0,0,0,0,0,0,0,0,-0.17181384942729,-0.00442485277126939,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.226756364867627,0,1.78715782810108,0,0,0,0,0,0,0,0,0,0,-5.50556984754216,0,0.0393490233092585,-0.165361850975734,0
TED.SP,0,0,0,-2.76918429899077,0,0,0,0,0,0,0,0,1.78736007993158,0.730641687599157,0,0,0,-2.19684280071975,0,0,-2.77555756156289e-17,0,0,-0.456427946529536,0,-0.727163967644398,0,0.107505011939622,0,0.903464978418026,0.845804201131731
CN3M10YSLOPE,0,0,0,0,-0.0664048616988569,0,0,0,0,0,0,0,-0.145231259685799,0,0,0,0,0,0,0,0.119202212003912,0,-0.0824032106795811,0,0,-0.659755938028608,0,0,0,0,-0.451189152779311
CREDIT.SP,0,0,0.213461682400859,0,0,0,0,0,0,0,0,0,0,0.00921774252473697,0,0,0,0,0,0,0,0,0,0,0,-0.518342808777366,0,-0.00132305164140397,0.0269217103938584,-0.528546898355628,0
