,X2849.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X83.HK.EQUITY,X5.HK.EQUITY,X2548.TT.EQUITY,X6005.TT.EQUITY,X5534.TT.EQUITY,X601377.CH.EQUITY,X2880.TT.EQUITY,X2501.TT.EQUITY,X601878.CH.EQUITY,X1463.TT.EQUITY,X2855.TT.EQUITY,X000656.CH.EQUITY,X2867.TT.EQUITY,X2885.TT.EQUITY,X1808.TT.EQUITY,X9940.TT.EQUITY,X3040.TT.EQUITY,X2905.TT.EQUITY,X2520.TT.EQUITY,X601108.CH.EQUITY,X2505.TT.EQUITY,X600848.CH.EQUITY
X2849.TT.EQUITY,0,-0.229567409848113,-0.38699847853511,0.00453184738631774,0.0390163353581671,0,0.0974068815085479,0,0,0,0,0,0,0.559717419036733,0,0.0216209425046492,-0.149599302207698,-0.110409522674337,0.797808490231015,0,0,0,0,0,0
X2892.TT.EQUITY,0.10743131337593,0,0,-0.0114268034876274,0.0395792015040133,0,0.0688965977704599,0.0967762952644501,0.447713339817572,0.273359073116429,0,0,0,0.162760249228479,0,0,0,0,0,-0.284581267224588,0,0,0.495112944654682,0,0
X5880.TT.EQUITY,0,0.388590534502045,0,-0.00160531077560576,-0.0101405042237877,0,0.102332507585972,0,0,0,0,0,0,0,0,0.0164146740516733,0.0249555369941671,0.0551739760144317,0,0,0,0,0,0,0
X83.HK.EQUITY,0.940075216557028,0,0,0,0.931532697051347,0,-2.77555756156289e-17,0,0,0,3.24409133349106,-6.01177772853434,0,0,-4.05760333131535,-0.0952145966813876,0,-1.42696405045712,-3.34505754849185,-0.930657493077212,0,0,0,0,0
X5.HK.EQUITY,0,-1.74112630408096,0,0.391886931944943,0,0,-0.997409431408323,-1.56475365490506,0,-0.798307547140967,0,0,0,0,0,-0.264575327155183,-2.58905036694672,0.30594648498447,0.772048535389252,0,0,0,0,0,0
X2548.TT.EQUITY,0.231900934259536,0.0193719100456168,0,0.0228804545313802,0.0194796362549768,0,0.0391031605060506,0,0,0,0,0,0.0235442073928314,-0.128679689412689,0,-0.0130591793313364,0,0.0133937241557712,0.129623962757625,0,0,0,0,0,0
X6005.TT.EQUITY,0.0774234324685609,0,0,-0.010830435140308,0.0848113517720197,0.115933115353064,0,0,0,1.23046904940651,0,0,0,0,0,-0.0232134607169966,-0.344008189773326,0.344844926309485,0.603632369403294,0,0,0,0,0,0
X5534.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601377.CH.EQUITY,0,0.0330166843083321,0,0,0.0188895665024806,0,-0.00969919542137017,-0.0116749477557242,0,0,0.057589500157986,0,0,0,0,0.00475284348751274,-0.0763705549100804,0.0168131781610471,0,0.134455489071576,0,0,0.131961652750632,-0.0492666340494389,0
X2880.TT.EQUITY,-0.0835122636821283,0.467941245122774,0.169396617533167,0.00865898473260681,0.00745468314810918,0,0.142635173444446,0,0,0,-6.93889390390723e-18,0.207654835006829,0,-0.349066846798767,0,0.00715042683695731,0,0.0651564166930639,0,0,0,0,0.106142839424785,0,0
X2501.TT.EQUITY,0,0,0,-0.0135365543032845,0,0,0.23356998659887,0,0,0,0,0,0.132775532417423,0,0,0,0.0463785615609071,-0.226267899400905,0.426060363388684,0.204820112753414,0,0,0,0,0
X601878.CH.EQUITY,0,0,0.0352216534890502,0,0,0,0,0,0.287336873195521,0,0.0624126825894029,0,0,0,0,-0.00237020513204597,0,-0.0505385989148878,0,0,0,0,0.346113409473523,0,0
X1463.TT.EQUITY,0,0,0,-0.135767734372962,0.0851961649276982,0.270782651672834,0,0,0,0,0.533474790850369,-1.3364110713533,0,0,0,0.0792134658769093,0.364531828693077,-0.405975528185148,0,0.381820534990893,1.75039038746292,0,0,0.284168794111924,0
X2855.TT.EQUITY,0,0,0,0.0110559062153691,0.0227152990541355,0.191364381963269,0.241111470550769,0,0,0,0,0,0.0954509408856333,0,0,0.00861968542618631,0,0,-0.295105332920667,0,0,0,0,0,0
X000656.CH.EQUITY,0,0,0,-0.00512514841537797,0.0121304964952102,0,0,0,0,0,0.098938572123098,-0.00455008989786368,-0.00397463067949856,0.0263491735616529,0,0.00263693786026526,-0.0143521705718132,-0.0549790932622941,0,0.0289076434029159,0,0,0,0.120230528468852,0
X2867.TT.EQUITY,0,-1.52778702896324,0,0,0,0,-1.93393558792763,0,-3.85180443797871,-0.0416500982260719,0.72126911754223,0,-2.53445506034618,0,0,0,0,1.0124486070168,3.70975781632049,0,-10.7084487442443,10.6787754635395,0,0,0
X2885.TT.EQUITY,-0.0983298820064313,0,0,0,0.0457394232870946,1.16925330439081,0,0,0,-0.514123500178823,0,0,0.0293284302915678,0.575249474576732,0,-0.0525709835757163,0,0.218480760399826,0,0,-0.083921947695616,0,0,0,0
X1808.TT.EQUITY,0,-0.64551281882154,0,-0.0324097959756312,0.0112030408013867,0.461539240242324,0.473723311561993,-0.361136354547527,0,0.637359282869687,0.470960380246399,0,0,0,0,0.0679238738248923,0.493251483826779,0,0,0,0,0,0,0,0
X9940.TT.EQUITY,0.324301413044916,0.0238104446150501,0,-0.00944922615328614,0.0334977574066925,0,0.0832610737991428,0,0,0,0.197892063112001,0,0,0,0,0.0158551600711386,0.0435781975378557,0.110438256553782,0,0,0,0,0,0,0
X3040.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0492222304961985,0,0.13356990510785,0,0,-0.010108770477393,0,0.181959040268193,0,0,0,0,0,0,0
X2905.TT.EQUITY,0,0,0,0.00433373487663561,0,0,0,0,0,0,0.00399890405242185,0,0,0,0,0.00871857790816835,0,0.0778103763905376,0.0688719883384574,0.163885843673191,0,0,0,0,0
X2520.TT.EQUITY,-0.0480803725737883,0,0.0580791152730231,0.00503399751144442,0,0,0,0.00218553989654215,0,0,0.0549079025251152,0,-0.0370146431903515,0,0,0.015857286252675,0.0697585793111932,0.0998102331043367,0.115095458241674,0,0,0,0,0,0
X601108.CH.EQUITY,0.0139442157572304,0.00576975723991624,0,0.00193910177486538,0.0159074840404343,0,-0.0086302332699869,0,0.289240624641765,0,0.0676247340202473,0.0305054955029224,0,0.217265148689674,0,0.00240489960488095,0,0,0,0.0578343762760243,0,0,0,0,0
