,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,-0.0263967643691864,0,0.0247831423151713,0,0.247056871337946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0231485464232913,-0.0241907864607598,0.0264362652214774,-0.0266608256026929
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.0257829920137497,-0.0185072725179589,0.135334021632708,0,0,0,0,0,0,0.0150084665289901,0,0,0,0,0.223089279279334,0.109614357136046,0,0,0,0,0.0368203580443053,0.00613362269257622,0,-0.0108830585271159
X000002.CH.EQUITY,0,0,0,0,0,0.13097872315694,0,0,0.0384860568587774,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15131220098821,0,0,0,0,0.0163534806247722,-0.00155480381134128,0.0153082431869371,-0.108267707569682
X600000.CH.EQUITY,0,0,0,0,0,0,0,-0.0968606125410706,0.116088539700121,0.354350416458797,0.120408808851045,0,-0.157271004149177,0,0,-0.0187096348153201,0,0,0,0.106142165723762,-0.0263516956354934,0,0,0.365523759083349,0,-0.00912357438482472,0,-0.0322856472571142,-0.00970031316342009,1.73472347597681e-18,0
X601319.CH.EQUITY,0,0,0,0,0,0.020314157960393,0.112219432529602,0,0,0,0.0758506002703357,0,0,0,0,0,0.066582385560008,0,0,0,0,0,0,0,0.70355320698118,0,0,0.0704420008922879,0,0.00629656791730493,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0.0245894025897002,0.0549222241141754,0.22669006255783,0,0,0,0,0,0.0376835683620102,0.00307484780996026,0.0720040486768068,0,0,0,0.0425682349584224,0,0,0,0,0,-0.0247105996210248,-0.0130591135301339,0,-0.0986750690382424
X601601.CH.EQUITY,0,0,0,0,0,0,0,0.186528509030789,0.148958223937828,0,0,0,0,0,0,0.0538074162202055,0.0148394222964047,0,0,0,0,0,0.194236926242568,0,0,0,0,-0.0976327026596698,0.0386693496353004,0,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0.199290762348711,0,0,0,0.0690577630940874,0.224995954347309,0,0,0,0,0,0,0,0,0,0,0,0.00165359635687437,-0.800587698207703,-0.240881687978405
FXI.US.EQUITY,0,0,0,0,0,0,0,0.0691946235370312,0,0,0.13661360634468,0,0,0,0,0,0.0938000567109949,0,0,0,0,0,0,0,0,0,0,-0.0986515242267013,0,0.0309950202162881,0
VXFXI.INDEX,0,0,0,0,0,0,0,-0.148787441794406,0,0,0.254012769311732,0,0.404460425134692,0,0,0.46439042519414,0.0640341330199532,0,0,0,0,0,0,0,0,0,-1.6277099237994,0,0.0526886759703179,-0.23555308713968,-0.15083933438357
TED.SP,0,-1.33256277547543,0,0,0,0,0,0,0,0,0,0,-1.65649699907047,1.60008474709281,0,0,0,0,-1.34890807371818,0,-0.925148153006993,0,-0.534431543595955,0,3.02046884527225,-0.572935171608024,-0.672212088293831,0.420697896718799,0,0,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0.294859630070307,0,0,0,0,0,0,-0.330356978512073,0,0.0562585194074962,0,0,0,0,0,0,0,0,-0.971753030978687,0,-0.0638178720737101,0,0,-0.763001208111568
CREDIT.SP,0,0,0,0.119153836164418,0,0,0,0,0,0.209993211301369,0,0,0,0,-0.293437906670911,0,0,0,0,0,0,0,0,0,0,-0.76636302117395,0,-0.00841008304806596,0.00797721861343216,-0.731435028999101,0
