,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0.0910332575979966,0,0,0,0.212296767168408,0,0,0.470726344702599,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.0505557468280928,0,0,0,0.152411421204998,0,-0.0011788917892394,0.0137257108854659,0
X601398.CH.EQUITY,0.189055794669558,0,0,0,0,0,0,0,0,0,0,-0.0310779838858561,0,0,0,0,0,0.358030097009091,0,0,-2.16840434497101e-19,-0.0623668217920754,0,0,0,0,0,0,0.00880024536761875,0,0.0285609733504496
X2318.HK.EQUITY,0,0,0,0.758001833283597,0,0,0,0,0,0,0,0.0625757522288699,0,0,0,0,0,0,-0.00282979750878527,-2.16840434497101e-19,0.033811420087123,0,0.00345689466203891,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.164110198948176,0,0,0,0,0,0,0,0,0,0.117749498088402,0.0747768691464081,0,0,0,0.106394557952654,0,0,0,0.101680782504843,0,0,0.0462853792507691,0,0,0.050338852520104,-0.010247668360333,0,0
X601939.CH.EQUITY,0,0.452167993884553,0,0,0,0.0158087942054033,0.132354224527577,0,0,0,0,0,0,0,0,0,0,0,0,0.0324754439169396,0,0,0,0,0,0,0,0,-0.000348148201422933,-0.0531802176365763,0
X939.HK.EQUITY,0.434269119920531,0,0,0,0,0,0,0,0,0,0,0,0.00311191721446634,0.0158103803645358,0,0,0.0218004290406258,0.178402288131369,0.0545214638560101,0.000830303961142346,0.115982026179064,0,0,0,0,-0.0391147049075191,0,0.012034383649196,-0.00859119292421386,0,0.0787124508736935
X601288.CH.EQUITY,0,0.0198167825497361,0,0,0.353756948335607,0,0,0,0,0,0,0,0,0,0,0,0,0.0218306875324414,0,0,0.0750015169910375,0,0,0,0,-0.0246941025493039,0,-0.00937794915360418,0,0,0.0422322607244716
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00359496995101153,-0.164376822630833,0.0359966286346337,0,0,0,0,0.3009520326643,0,0,0,0,0,0.585325461478066,0,0,0,-0.014114925823532,-0.00520462378024428,0,0
X3988.HK.EQUITY,0.318103997416081,0,0,0,0,0.0854623644222093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0627589453235332,0.0216988019492406,0,0,0,0,0,0.00419316791580282,-0.0243352262764603,0.0282070850904904,-0.0273435903184379
X601988.CH.EQUITY,0,0,0.00388932385636206,0,0.282731291799163,0.0486123135201873,0,0,0,0,0,0,0.041592386632696,0,0.0596062111830073,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00525578612124535,0,0.0336005862656999
