,X601398.CH.EQUITY,X1398.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.186193190120771,0,0,0,0,0,0,0.0258708214506839,0,0,0,0,0,0,0,0,0.0247455772119335,0,0.0045852158211037,0,-0.00784341807342146,0
X1398.HK.EQUITY,0,0,0.052438263808398,0,0,0,0,0,0,0,0,0.0890895496567632,0.197630302705043,0,0.0627769940657307,0,0,0,0,0,0,0,0,0.156398712388931,0,0.0222652152543786,0,0,-0.00583379446954621,0,-0.0401119956987996
X939.HK.EQUITY,0,0.366734112633822,0,0,0,0,0,0,0,0,0,0,0.0662854611459991,0,0,0,0,0,0,0,0,0,0,0.107278584313352,0,0.0131287416297666,0,-0.00693624349980833,0.006983811470081,0,-0.0944154467844472
X601939.CH.EQUITY,0.101062695231803,0,0,0,0,0,0.289599856119783,0,0,0,0,0,0,0,0,0,0.223955823070253,0.109010710698504,0,0,0,0,0,0,0,0,0,0.0104567589716027,0.00489737336962276,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.261243393027754,0,0.0558315405361855,0.0479170761937653,0,0,0,0,0.128553746920277,0.00377413811061895,0,0,0.0660292805570991,0.0554169407463433,0,0,0,-0.00473319074954582,0,0.00278503305196018,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.283387743743943,0,0,0.0750681938169893,0.272010635358811,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0.00566746275004804,0.00211050349814881,0.0192934858993353,-0.0534023124540971
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199587750236596,0,0,0.245010327320272,0,0,0.0546715516216817,0.00311105195690339,0,0,0.0179874417558763,0,0.0265732162952832,0,-0.00492218393641597,-0.00313101715801266,0,0
X601988.CH.EQUITY,0,0,0,0.0792387227189395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154721563443773,0,0,0.0239209028689398,0,0.0425835828756995,0,-0.00129262338456753,0.0109729363937056,0.0235521757159745,-0.0815770037293722
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.400575049597689,0,0,0,0,0,0,0,0,0,0,0,0,0.0274626201596974,0,0.0252913668284649,0,-0.00324556247077045,0.0246631891388799,0,-0.0034129924683734
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0288333581893907,0,0.198337417879344,0,0,0,0,0,0,0,0,0,0.39975790214105,0,0,-4.33680868994202e-19,0,0,0.00737582410503434,-0.0452992965818958,0
