,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0.0282559409041878,0,0.135158398308415,0,0,0,0,0,0,0,0,0,0,0,0.177176843488411,0,0,0,0,0.0594494848754424,0,0,0,0,0,-0.000704078392944157,-0.0207123655521097,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.004064110312125,-0.0359931616048892,0,0.561874443009821,0.110278460594935,0,0.0468816340466433,0,0,0,-0.00989846930539955,0,0,0,0,0,0,-0.026133086147209,0,0
X601318.CH.EQUITY,0,0,0,0.399374315028867,0,0,0,0,0,0,0,0,0.227757203333236,-8.67361737988404e-19,-0.0423545486905908,0,0,0,0,0,0,0.138274301607014,0,0.175847581605973,0,0,0,-0.0217212507705329,-0.0222043976053463,0.0153770430208506,0
X2318.HK.EQUITY,0,0,0.254262599277278,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.178729874497877,0,0,0,0,0,0,0,0.0648007004191818,0,0.0353203484650024,0,0.0647692475621394,0,0,-0.0312287772246538,-0.00958616415045992,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0.464368793642478,0,0,0,0,0,0,0,0.218649706596817,0.0556496174965582,0,0,0,0.112153785606836,0,0,0,0.00684603746325441,0,0,0,-4.33680868994202e-19,0
X939.HK.EQUITY,0,0.443018592555319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024524803641784,0,0,0,0,0.15338181322677,0,0.00418601584701099,0,0,0,-0.0305442780484524,0.0574282244428043,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.224738687698672,0,0.0951692493652121,0,0,0,0.393007471752591,0,0,0.0415017802751558,0,0,0,0,0,0.0321048757399372,0,0,0.0216250734602011,0,-0.0433262987393236
X5.HK.EQUITY,0,0,0.040850015921272,0,0,0,0,0,0.0677224877359195,0,0.108437888632105,0,0,0,0.0114373977209731,0,0.0718727067865989,0,0,0,0,0,0,0,0,0,0,0.00786519001874767,0,0,0
X601988.CH.EQUITY,0,0,0.0233682358748954,0,0.189011732750112,0,0,0,0,0,0.102317579156467,0,0.0842399915669816,0,0,0,0,0,0,0,0,0.0621684200836801,0.116379127891692,0,0,0,0,0.00943642208317536,-0.0058834606899977,0.0227363489353274,0
X3988.HK.EQUITY,0,0,0,0.295176634543299,0,0.033023884702923,0,0,0,0,0.00417041965191409,0,0,0,0,0,0,-0.0332221494690931,0,0,0,0,0,0.0136132363859899,0,0,0,-0.0116626201849857,-0.0313714831095415,0.0674113066981533,0
