,X2892.TT.EQUITY,X5880.TT.EQUITY,X2849.TT.EQUITY,X5.HK.EQUITY,X5534.TT.EQUITY,X83.HK.EQUITY,X2548.TT.EQUITY,X000656.CH.EQUITY,X2880.TT.EQUITY,X601377.CH.EQUITY,X601108.CH.EQUITY,X6005.TT.EQUITY,X2885.TT.EQUITY,X601878.CH.EQUITY,X2867.TT.EQUITY,X2501.TT.EQUITY,X3040.TT.EQUITY,X2905.TT.EQUITY,X2855.TT.EQUITY,X9940.TT.EQUITY,X1808.TT.EQUITY,X600848.CH.EQUITY,X000783.CH.EQUITY,X2505.TT.EQUITY,X2820.TT.EQUITY
X2892.TT.EQUITY,0,0,0,0.000745809408256815,0,-0.00373247195979639,0,0,0.2246170190717,0,0,0.0952668903119823,0,0,0.0199281397325067,0.1405236360355,0,0,0,0,0.0218817538314851,0,0,0,0
X5880.TT.EQUITY,0.131113007497031,0,0.154026410157633,-0.0310768782309593,0,0.00786764658098083,0,0,0,0,0,-0.0142286103280983,0,0,0,0.0364683112286209,0.0937026060476828,0.0324852682197204,0.176064356242742,0,0.016754000028656,0,0,0,0
X2849.TT.EQUITY,-0.271683180887137,0,0,0.0454915903249853,0.628204123381521,0.00956527545467151,0,0,0,0,0,0.0280185671047343,-0.201451626256108,0,0.0151302032575697,0,0,0,0.600923651419834,0.406900422592327,-0.0771510549130901,0,0,0,0
X5.HK.EQUITY,0,0,0.344187895477145,0,0,0.0177319477669977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38783377485983,0,0,0,0,0
X5534.TT.EQUITY,0,0,0.0208279645691584,-0.0108979752713505,0,0.0161917561566422,0.250682593598285,0,0,0,0,0.0314773665593204,0.0508238433108007,0,0.0192400061247121,0.0823101940083847,0,0,0,0.00969031420446361,0,0,0,0.127371121358074,0
X83.HK.EQUITY,0,0,0.917378193211096,0.959479489823312,2.98118561656869,0,0,-6.62343493324055,0,0,0,-0.310209693493531,0,-0.542594554739171,0.23181599305663,2.56494942437882,0,0,2.84656290134574,-5.37242180756269,0,0,0,0,0
X2548.TT.EQUITY,0,0,0,0.0557666626009047,0.271460125971681,-0.020217747079455,0,0,0,0,0,-0.0291553455777206,0,0,-0.00926280658595266,0,0.142252344093074,0,0,0,0,0,0,0.351118305230481,0
X000656.CH.EQUITY,0,0,0,-0.0230776587607288,0,-0.00309129490501494,0,0,0,0,0,-0.0137116190836753,0,-0.0900107606709154,-0.000244223536942042,1.73472347597681e-18,0.0403374414391639,0,0.0255567708773439,0,-0.0248158287892907,0,0,0.0685814508821965,0
X2880.TT.EQUITY,0.387306462931587,0,0,0,0,0,0,0,0,0,0,0.087378463325553,0,0,0,0,0,0,0,0,0.0933081143173862,0,0,0,0
X601377.CH.EQUITY,0.0434104905114468,0,0,0.0178815712975767,0,0.00327063900657066,0,0,0.0630817351348175,0,0,-0.0134152802142477,0,0,0.00492752200308774,0.068042829785642,0.120247277664709,0,0,0,0.0149040566755791,0,0,0,0
X601108.CH.EQUITY,0,0,0.0487096380555746,0,0,0.00295895290124334,0,0,0,0.195118564330749,0,-0.0100249288782983,0,0.0800057998914367,0,0.0812571218455238,0.0409145379697484,0,0.121136872770686,-0.0225817537967383,0,0,0,0,0
