,X1398.HK.EQUITY,X601398.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600036.CH.EQUITY,0,0,0,0.064789709206035,0.407745059343094,0,0,0,0,0,0.0783103895241478,0,0,0.0641470319432134,0,0,0,0.164483178726618,0,0,0,0,0.0148882899140274,0.0308412626109195,0.140349856357516,0,0,0.0165522764608305,-0.0603956911494468,0.05422439807737,0.207354160087741
X2628.HK.EQUITY,0,0,0,0,0.170988284166298,0,0,0,0,0,0,0,0,0.307194781916553,0,0,0,0,0,0,0,0.0252188204043594,-0.0362336894370425,0,0.274983795721496,0,0,-0.0210169872529017,0.053055882561263,0,-0.110152294031178
X601628.CH.EQUITY,0,0,0,0,0.380381648716019,0,0,0,0,0,0,0.0308906618134199,0.239777634103012,0,0,0,0.127209018839733,0,0,0,0,1.0842021724855e-19,0.164767463256527,0,0.399509996549755,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0300160273116651,0,0.202256732028466,0,0,0,0,0,0,0,0,0,0,0,0.311329108239346,0,0,0,0,0.0723156423954704,0,0,0.0869913956234404,0,0,0.00189763799736089,0,0,0.0112448457698344
X3328.HK.EQUITY,0,0,0,0.204128769610041,0,0,0,0,0,0,0.0489668116072752,0,0,0.0701305258438552,0,0,0,0,0,0,0,0.119084434879982,0,-0.0437660297194421,0,0,0,0,-0.0205405950031961,0.0480754688055998,0.0375953291799043
X601166.CH.EQUITY,0,0,0.343873676696083,0,0,0,0,0,0,0,0,0.0724862670997444,0,0.187167459648062,0,0,0,0.0584081846141968,0,0,0,0.0446029645193405,0.00374883580964213,0,0.0415543715266145,0,-0.0360045846271531,0,4.33680868994202e-19,0,0.000287597489283131
X600000.CH.EQUITY,0,0,0.0230247730424879,0,0.038283021409451,0,0,0,0,0.101913390694525,0.102682244814468,0.221863102418619,0,0.0034238802698663,0.143408989993701,0,0.0579160787984049,0,0,0,0,0,0.0372654687258518,0,0,0,0,-0.00667737703027384,-0.00440941482961135,-0.0246214789416553,0
X11.HK.EQUITY,0.0281918090421225,0,0,0,0,0,0,0,0.132768971938613,0,0.143774857727983,-0.00698277366201694,0,0,0,0,0,0,0,0,0,0,-0.0228462922588527,0,0.049485789889903,-0.00965036927003581,0,-0.00506492202958917,0,-0.05420405889808,-0.0786803917761162
X16.HK.EQUITY,0,0,0,0,0.0262560695515256,0,0,0,0,0,0,0,0.0729786654558917,0,0,0,0,0,0,0,0.162879460436706,0.0278805018152305,-0.0606032154295885,0,0.0384460574171091,-0.0634642327728544,0,0,0,-0.033983070370682,-0.172916820387098
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0899506589495467,0,0,0,0,0,0,0,0,0,0,0,0.0470664738876198,0,0,0.0205799815289608,0,0,-0.00778789057990151,0,0
X000002.CH.EQUITY,0,0,0,0,0.591435640799236,0,0,0,0,0,0.0326132141081505,0,0.14335556207269,0,0,0,0,0,0,0,0,0,0.0645683219307076,0,0,0,0,0.0498773002950991,0.0743459444237499,0,-0.0826447859931934
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.298713155742978,0,0,0,0,0,0.158780343150034,0,0.087468949279015,0,0.555329481213657,0,-0.483155057938512,0.125088099433908,0,0,0.0109299979041413,-0.360186160997445,0,-0.00338308414724523
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0.30024165655899,0,0,0,0.237856108310954,0.082725049872298,0,0,0,0,0,0,0,0.0146112955557626,0,0,0,0,0,-0.0132943248514683,0.00547627232220679,0,-0.028595801745779
X601601.CH.EQUITY,0,0,0.162191583154515,0,0.354343586165482,0,0,0,0,0,0,0,0.201407346898631,0.0228098628308993,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01806829512648,-0.007599702942044,-0.00326392651736429,0
CGB3M,0.311223737384197,0,0,0,0,0,0,0,0,0,-0.109557618213447,0,0.0200129477789055,0,0,0,0,0,0,0,0.0209863859649691,0,0.0390831177925201,0,0,0,0.0459889970844248,0,-0.0573328483377224,-0.644607317971635,-0.438926440495338
FXI.US.EQUITY,0,0,0,0,-0.198816126463682,0,0,0,0,0,0,0,0.275452455506764,0,0,0,0,0,0,0,0,0,0.0464977938384428,0,0,0.0180112802136342,0,-0.255423064679165,0.0481747298849588,0,0.0952163495856207
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,-0.668170330912816,0,2.0234307646687,0,0,0,0,0,-0.465446627345241,0.464946208226416,0,0,0.138417246962243,0,0,0.141768272387512,-3.61508891497354,0,0.069148769888936,0,0.108866658234951
TED.SP,0,0,0,-0.985827685536754,0,0,0,0,0,0,0,0,0,0,-0.0973177138864321,0,0,0,0,0,0,0,0.480786198854467,0,0,-0.0448655000279587,0,0.0260363073018255,0,0.392954198629915,0.018378720227561
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,-0.463091940938461,0,0.33770473945802,0.207099823794116,0,0,0,-0.330899237397045,0,0,0,0,0,0,0,-0.991417185082921,0,0.0312957735149775,0,0,-0.0418409349602728
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,0.214761644665452,0,0.340658963409779,0,0,0,0,0,0,0,-0.394566700833627,0.0834405595728728,0,0,-0.313245295094633,0,-0.0246293107003395,0.0211555327820436,-0.36289733038229,0
