,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0.0316604520697738,0,0,0,0,0,0,0,0,0,0,0,0,0.552966497299687,0,0,0,0,0,0,0.443309776234524,0,0,0,0,0.0110836693069695,0,-0.0303890953183948,0
X601398.CH.EQUITY,0,0,0,0,0.264708506494274,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0530540489487664,0,0,0.0235138122788392,0,0,0.216418991144121,0.00948354771397051,0,0,0.00459576714382225,0,0.0947579356298141
X601318.CH.EQUITY,0,0,0,0.443642896114072,0,0,0,0,0,0.0818343118460822,0,0,0,0.176658897405062,0,0,0,0,0,0.0247831359549415,0,0,0,0,0,1.73472347597681e-18,0,-0.000518938850629433,-0.0102714397830032,0.0302421179044781,0
X2318.HK.EQUITY,0,0,0.172773951234662,0,0,0,0,0,0,0,0,0,0.319353810767817,0,0,0,0,0,0,0,0.0890400033428968,0,0.131687440268056,0,6.93889390390723e-18,0.0360429808432174,0,-0.00746970181565074,-0.0150258694421841,0,0
X939.HK.EQUITY,0.0351361301075042,0.0508008819778598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143859581608851,0,0,0.0240541463083478,0,0.144495938716669,0.142635661255888,0,0,-0.00506915779104655,0.0119092885866787,0.0163516439073216,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.129788540526251,0,0,0,0,0,0,0,0,0,0,0,0.0597078857011482,0,0.233381505826767,0,0,0.0106147914573561,0,0,0
X601288.CH.EQUITY,0,0,0,-0.112063044751103,0,0,0,0,0,0,0,0,0,0.0578604423331771,0,0,0.300983101170833,0,0,0,0,0,0,0,0,0.00963313363048976,0,0.00611855310039422,0.0230720580996192,0,0
X5.HK.EQUITY,0,0,0.00361606343982443,0,0,0,0,0,0,0,0,0,0,0.00681247736225963,0,0,0,0,0,0,0.0198411552222046,0,-8.67361737988404e-19,0.0161416825251897,0.0567396481755174,0,0,0,0.051699171671773,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0.146149645045106,0,0,0,0.0622011869983165,0,0,0,0,0,0,0,-0.137894171859586,0,0,0,0,0.331857232862017,0.0126984734712982,0,0.00922916068658775,0.0240796183786505,0,0
X3988.HK.EQUITY,0,0,0.00779872344924274,0,0,0,0,0,0,0,0,0.0433157314966034,0.210979265493175,0,0,0,0,0,0,0,0.167322597029574,0,0,0,0,1.0842021724855e-19,0,-0.00458086691706999,-0.0173758517033548,0.028233875195291,0
X600036.CH.EQUITY,0,0,0.261036126211641,0,0,0,0.262474419489451,0,0,0,0,-0.248524997361802,0,-0.0569665314548767,0,0.366153674286652,0,0,0.0525033373866493,0,0,0.235408318306552,-4.33680868994202e-19,0,0,-0.0112663150986467,0,0.00891387982003329,-0.00704104732445663,0,0.00660095407698413
X1299.HK.EQUITY,0,0,0,0,0,0,0,0.179335087612182,0.00777513493216678,0,0,0,0,0.232928497272242,0,0,0,0,0,0,0,0.235593401018135,0.0723019178150646,0,0,0,0,0.00878691542527462,-0.00729054793905681,-8.67361737988404e-19,0
X2628.HK.EQUITY,0,0,0,0.645680366783396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231104877432173,0.0344582333364031,0,0.00144517962143552,0.0446620955348845,0,0
X601628.CH.EQUITY,0,0,0.229802246739266,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249961729504327,0,0,0.230089489743018,0,0,0,0,0.208209831061,0,0,0.00502367743350785,0.0263574415233684,0.0149239149937356,0
