,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0.0577240757650841,0,0,0,0,0,0,0,0,0,0,0.0202952546004894,0,0,0,0.37608804536868,0,0,0,0.0196242011261337,0,-4.33680868994202e-19,0,0,0,0,0,0,0.0273085054534317
X1398.HK.EQUITY,0,0,0,0,0.518453605300214,0,0,0.0796206584071535,0.0514231210349836,0,0,0,0.0757352217534758,0,0,0,0.160294304565135,0,0,0,0.0346466996024869,0,0,0,0,0,0,0.0038443054820488,0.0157975104972973,0,0
X601318.CH.EQUITY,0,0.177801651449064,0,0.191650634484913,0,0,0,0,0,0,0,0,0.107600105998241,0,0.0648556054022365,0,0,0.112518610521363,0,0.128335400013217,0,0,0,-0.0219907124015386,0,0,0,0.0170040192285251,-0.0111960612897831,-0.0356418053541405,0
X2318.HK.EQUITY,0,0,0.239775011695693,0,0.191740401985956,0,0,0,0,0,0,0.0221651009014956,0,0.0792321916255737,0,0,0,0,0,0,0,0,0,0.117310446547683,0,-0.0350305077164603,0,0.000951249781378214,0,0,0
X939.HK.EQUITY,0,0.461672996645195,0,0,0,0,0,0,0.020095205765965,0,0,0.10292990354734,0.0328657967344942,0,0,0,0,0.0467457270991638,0,0.113189891551935,0,0.0608703767291319,0,0,0,0,0,0.00471575378948637,0,0,0.0403687733256535
X601939.CH.EQUITY,0.145017726759131,0,0,0,0.0879873191455226,0,0.0250796402210503,0,0,0,0,0.0668033466201473,0,0,0,0,0,0,0,0.068502057952916,0,0,0,0,0,0,0.00117765098160346,-0.0107979301154295,0.0288073594314543,-0.052552462893132,0
X601288.CH.EQUITY,0.174031131654026,0,0,0,3.46944695195361e-18,0.15136723441402,0,0,0,0,0,0,0.0591396984412964,0,0,0,0,0,0,0,0,0.0662276404850703,0,0.000118744284938128,0,0,0,0.000126274319536418,0.0409723291376182,0,0
X5.HK.EQUITY,0.109883896337205,0,0,0,0,0,0.304141742988249,0,0,0,0.134193821627585,-0.293970768787423,0.0610033350773689,0,0,0,0,0,0,0,0,0.489662454723632,0,-0.0178617495797424,0,0,0,0.00184335730184187,0.0228922974127424,0,0
X3988.HK.EQUITY,0,0.451371931453476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375567775045706,0,0,0.13826911582141,0,0,0,0,-0.00569242926004752,0.0442908848763352,-0.000826576392273984
X601988.CH.EQUITY,0.0421902796722511,0,0,0,0,0.0971631068321276,0,0,0,0,0,0,0.0550463495824973,0,0,0,0,0.028766813871915,0,0.0471373430605294,0,0.0405093275937763,0,0,0,-0.0203458762297584,0,-0.000612146340995247,0.00724964028909381,0,0.0590866760480718
