,X5.HK.Equity,X601988.CH.Equity,X3988.HK.Equity,X939.HK.Equity,X2628.HK.Equity,X3328.HK.Equity,X3328.HK.Equity.1,X11.HK.Equity,X2388.HK.Equity,X2318.HK.Equity,X2882.TT.Equity,X600036.CH.Equity,GCNY10YR.Index,FXI.US.EQUITY
X5.HK.Equity,0,0,0,0,0.0905787440139928,0,0,0,0,0.0155765140558571,0,0,0,0
X601988.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3988.HK.Equity,0,-0.169504472419535,0,0,2.16359863418033e-08,0,0,0,0,0,0,0,0,0
X939.HK.Equity,0,0,0,0,0.0963170480716342,0.0995865749252388,0,0,0,0.163397142118962,0,0,0,0
X2628.HK.Equity,0,0,0,0,0,0.151409648305524,0,0,0,0.538440828137965,0,-0.00992996766035966,0,0
X3328.HK.Equity,0,0,0,0,0,0,0.999998600943,0,0,9.74702087599847e-08,0,0,0,0
X3328.HK.Equity.1,0,0,0,0,0,0.999998014321995,0,0,0,0,0,0,0,0
X11.HK.Equity,0.0824654440392837,-0.00516449876453905,0.0448560280990963,0,0.0130511844291835,0,0,0,0.0116763014831437,0.0295678109275294,0.0146673406305197,0,0,0.00972415922517297
X2388.HK.Equity,0,0,0,0,0.0591815040706546,0,0,0,0,0.123072413641924,0.0149879834608907,0,0,0
X2318.HK.Equity,0,0,0,0,0.54392470600231,0,0,0,0,0,0.010022469295658,0.0244583603552759,0,0
X2882.TT.Equity,0.325182815869273,0,0,0,0.0145090369698494,0,0,0,0,0.358469724523202,0,0,0,0
X600036.CH.Equity,0,-0.214167622549584,0,0,-0.231043788211004,0,0,0,0,0.460984960556684,-0.0574265535758513,0,0,0
GCNY10YR.Index,0,0,0,0,0,-0.0255085112611133,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0.0389702567404108,0,0,0,0.519456299217363,0,0,0,0,0,0,0,0
