,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.463240546954729,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0777078393652798,0,0,0,-0.0134617082970953,0,0,0.114163300343078,0,0,0.0018631212640747,0,0.0515802659843515,0
X1398.HK.EQUITY,0,0,0.187151107183756,0.512570101250972,0,0,0,0,0,0,0,0,0,0,0.0354562877221165,0,0,0,0,0,0.0120281534714156,0,0,0.00636978562648516,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.0966491272903838,0,0,0,0,0,0,0,0.130522002065368,0,0.274236725657521,0,0,0,0,0,0.0155791244476145,0.0656512623366469,0,0,0,0,0.000906936617123789,0,0,0
X939.HK.EQUITY,0,0.719466606758955,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0270293112669505,-1.73472347597681e-18,0,0.0784779341279415,0,-0.0315729813237132,0,0.0805040771854074,6.93889390390723e-18,0,0,0.00999480158664151,0,0.0281304087308088,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.140952934152616,0,0,0,0,0,0,0,0,0,0,0.306500643260798,0.0405747264411599,0.293940257571786,0,0,-0.0389523123695516,0,0,0
X2318.HK.EQUITY,0,0,0,0,0.511713911529504,0,0,0,0,0,0,0,0.0771304199662969,0.0365341487627437,0,0,0,0,0,0,0,0,0,0,0,0.0489502349682448,-1.73472347597681e-18,0,0.009486596519779,0
X601288.CH.EQUITY,0,0,0.321525198253828,0,0.0465770049339086,0,0,0,0,0,0,0,0,0,0.0486760101471417,0,0,0,0,0,0.020150238091994,0,0,0.136703166756869,0,0,0,-0.0186168223364,-0.0286704187607288,0
X5.HK.EQUITY,0,0,0,0,0,0,0.0664094526371992,0,0,0,0,0,0,-0.110232270537011,0,0.109842044860325,0.0467000971993845,-0.184007861335041,0,0.0762447364770433,-0.0726469314480118,0.189248254281493,0.378863533678764,0,0,0,0.0100845762580564,0,0.0038832449524679,-0.0918575811428689
X601988.CH.EQUITY,0,0.00202348356111866,0.133675360276609,0,0,0,0,0,0,0,0,0,0.134971542486022,0,0,0,0,0,0,0.110744239517706,0.0467203920176266,0,0,0,0,0,0.0119113877559688,0,0,0
X3988.HK.EQUITY,0,0,0,0.372499384300234,0,0,0,0,0,0,0,0,0,0.0871471027618074,0,0,0,0,0,0,-0.0129415883773359,0,0,0.105994856683383,0,0,-0.0147883093603963,0,0.051209404048226,0
X600036.CH.EQUITY,0,0,0,0,0.0775810842181771,0,0,0,0,0,0,0,0,0,0.175766589155994,0,0.0400373033882862,0,0,0,0.0966597419300122,0.0632851933211189,0,0.46925577904446,0,0,-8.67361737988404e-19,0,0.0334032747199478,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0684508777210392,0,0.140033448631129,0.17134651400573,0,0,0.313566621221132,0,0,0,0.0164707925566275,0,0,-0.189602459541712
X601628.CH.EQUITY,0,0,0,-0.171428442353995,0.19709907628917,0,0,0.106351047796912,0,0,0.051715336392397,0,0,0.0563029799255314,0,0,0.299377583163126,0,-0.192209185738399,0,0.181290605810137,0.0518850077891569,0,0.460333332445966,0,0,-0.0178976747213502,0.173367210487661,0,0
X2628.HK.EQUITY,0,0,0,0,0.248372482470883,0.135689461326473,0,0,0,0,0,0,0.142081050000517,0,0,0,0,0,0,0,-0.0496586654920865,0,0,0.15969775392943,0,0,0,0.135387508345628,0,0
X601328.CH.EQUITY,0,0,0.313353943213293,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25807703281643,0,0,0.0924442082386704,0,0.0853651666517827,0,0.035163821286218,0,0,0,0,0,0
X3328.HK.EQUITY,0,0,0,0.431804395447036,0,0,0,0,0,0,0,0,0.0910592714109919,0.0910257150728686,0,0,0,0,0,0,-0.033766177228824,0,0,-1.73472347597681e-18,0.0999089994861048,0,0.000346097115328249,0,-0.0144911503425071,0
X601166.CH.EQUITY,0,0,0.216612485003359,0,0,0,0,0,0,0,0.385865431951733,0,0.115483002179545,0,0,0,0,0,0,0.2379505030177,0.0360701184013194,0.0147899345959744,0,0,0,0,0.00683850755643533,0,0,0
X16.HK.EQUITY,0,0,0,0,0.040366292292622,0,0,0,0,0,0,0,-0.0593311962370559,0.129484403674397,0,0,0,0,0,0,-0.0547165960697301,0,0,0,0.418815087342778,0,0.00857011190883425,0,-0.0841625900351724,0.0496195399894402
X11.HK.EQUITY,0,0,0,0,0,0.111255447932587,0,0.0614334226281807,0,0,0,0.0157253116344543,0,0,-0.0721981426724144,0,-0.020360951570103,0.0627614444169749,0,0,-0.00463537488159506,0,0,0.0626642055400957,0.735987797486628,0,-0.0107827742465526,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.250340768742274,0,0.0863789661746029,0,0,0,0.148647210880088,0,0,0,0,0,0.14188743463962,0.139011006993203,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,-0.776503052189794,0,0,0,0,0,0,-0.637289297991641,0,0,0.177843217546825,0,0,0,0,0.995175715652183,0,1.35760118995961,0,0,0,0,0.028203720332598,0,0,0.684743510342139
X000002.CH.EQUITY,0,0,0,0,0.479823012153483,0,0,0,0,0,0,0,0.0120139679339095,0.301088712429923,0,0,0,0,0,0,0.0329855291537986,0,0,0.0254669572598286,0,-0.162673652229347,3.46944695195361e-18,-0.162549466276977,0,-0.17989809824348
X2388.HK.EQUITY,0,0,0,0,0,0,0,0.376270647986284,-0.768376358516723,0,-0.051874961123735,0.152487160499635,0,0.782046325760677,0,0,-0.0764981567156657,0,0,0,0,0,0,0,0,0,0.018205017177816,0,-0.00725100759954057,0.102355496577462
X601601.CH.EQUITY,0.0505887440121799,0,0.0880657298655629,0,0.356338321669802,0,0,0,0,0,0,0,0.0612922915477308,0.157364374870573,0,0,0,0,0,0,0,0,0,0,0,0,0.0153933254615639,0,0,0
X267.HK.EQUITY,0,0,0,0.0896141431755733,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0735834386741821,-0.201280161901521,0.126943919684077,0,0.168700133800513,0,0,0.0321464341965769,0,0,0,0,0.0543803080702517,0.0327024757666548,0.121839593916769,0,0.0406366048963687
FXI.US.EQUITY,0,0,0,0,-0.271841594886142,0,0,0,0,0,-0.0594360088657212,0,-0.110381279047383,0.324982424255856,0,0,0,0,0,0,0.0516045758547602,0,0,0,0,0,-0.256775543120754,-8.67361737988404e-19,0,0
VXFXI.INDEX,0,0,0,0,-1.0664224632418,0,0,0,0,0,-0.273989373834887,0,0,0.363212964292273,0.356967674050545,0,0,0,0,0,0.0483168100355576,0,0,0,0.448972221096458,-3.65920264255424,0,0,0,0.0938902992599938
CN10YR,0,0,0,0,3.21941016200545e-06,0,0,0,0,5.44896863694206e-06,0,0,1.85519037197993e-05,1.64189710023791e-07,0,0,0,0,0,0,-6.16085188028763e-07,0,0,0,0,0,-2.2587877865328e-06,0,0.999929938315555,0.99991351277586
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,8.470329472543e-22,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16429494541489e-07,0.999992832625785,0,-0.999991387326862
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,1.6645316729359e-07,0,0,0,1.32348898008484e-23,0,0,0,0,-2.15107806341935e-06,0,0,0,0,1.40999607455557e-07,0.999993572769316,-0.9999936234774,0
