,X1398.HK.EQUITY,X601398.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.00130524614432432,0.139094368440863,0,0,0,0,0,0.066767935822509,0.0845888523522701,0,0,0.0302011101680878,0.191951694001874,0.0332690341826076,0,0,0.00325051672603723,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0939286013437667,0,0,0,0,0,0,0.0674184515026366,0.182626674624683,0,0,0,0,0.0311491499994469,0,0.00574590472430749,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0362752718003234,0.017839567062182,0,0,0,0,0,0.112773321567008,0.245615138269559,0,0,0,0,0.0522795369333849,0,0.0113723408871048,-0.00690158372752015,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11559735812595,0,0,0,0,0,0.0527769741551235,0.0651656341958938,0,0.0847203692024183,0,0.172609186189092,0.0542784306664841,0,-0.00476083870252458,0,0,-0.0924035227738043
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407395939749423,0,0,0,0,0,0,0.164024899767964,0,0,0,0.0982196951149353,0,0,-0.00115740114501236,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.111676744543402,0.169044124498141,0,0,0,0,0,0,0.174243998825874,0,0,0.111948439303105,0.0267786480463675,0.0527367081125264,0,0.00889356716126235,0.0109776423828949,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0953726765176334,0,0,0,0,0,0,0.042197459105069,0.0183557856080848,0,0,0.135384680553775,0,0.057042337712878,0,0.000369065385835362,-0.00325390573258475,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366813552159573,0,0,0,0,0.0772316150144149,0.0913697541699773,0.0331893545616323,0,0,0.0885519770758068,0,0.0187679737935842,0,0.00448400708922896,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.190220868877873,0.0112862614462052,0,0,0,0,0.0701384023822124,0.0369728578027845,0,0,0.134002740818833,0.048712193330245,0,0.00395499838421964,0,-0.00680875296567465,-0.000833347888794612,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0221669479345207,0,0.130519422291508,0,0,0,0.139420224090947,0,0,0,0.254315224529416,0,0,6.93889390390723e-18,-0.0204909225344608,0,0.00461686840892677,0.0321941641704572,0.0384992803227032,0
X600036.CH.EQUITY,0,0,0,0,0,0.109219221299721,0,0,0,0,0,0,0,0.213619606082886,0,0,0,0,0,3.46944695195361e-18,0.153511553422874,0,0,0.0348792347520817,0,0.0131609986957704,0,0.000103500900589164,0.0101065617798254,0,0
X1299.HK.EQUITY,0,0,0,0,0.102338715532446,0,0,0,0.153085285830574,0,0.0852708637934866,0,0.0218654285056882,0.335874332729733,0,0,0,0,0,0,0,0,0,0,0.139206201275156,0.0459685844558056,0,-0.0127636854695607,0.0164435121220802,0,0
X601628.CH.EQUITY,0,0,0,0,-0.0861795022448881,0,0,0,0,0,0,0,0,0.441249111568545,0,0,0.263037494473156,0,0,0.00632020948936186,0,0,0,0.20370445334185,0,0.0208827234358264,0,0.032610400341922,0,0.040730045250006,0
X2628.HK.EQUITY,0,0,0,0.192335741318667,0,0,0,0,0,0.0417573496675406,0,0,0.500496351401299,0,0,0,0,0,0,0.0447209619912642,0,0,0.267200352144189,0,0.102325560467327,0,0,-0.0121051094725016,-0.0129163621612304,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0532391498112835,0,0,0,1.73472347597681e-18,0.387292967609235,0.061926039724439,0.0524541151630711,0,0,0,0,0.0161436726287152,0,-0.00485692317411371,0.00871837034089909,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100001674629493,0,0,0,0.013626983529007,0,0.0299445774100893,0.283441309831305,0,0,0,0.119437879607049,0,0,0.00178199543972775,0.00903504006514471,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.072704201906165,0.045326613731277,0,0,0,0,0,0.0839165991950737,0.115705324558419,0,0,0.13017952310439,0,0.123901551523267,0,0.0121805274280081,-0.000821714205556781,0,0
X000002.CH.EQUITY,0,0,0,0,0.0975998612814792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240157527703371,0.165956635120087,0,0,0.0718467185975964,0.40485502167989,0,0.0452551740639198,0,0.00889894613546371,0.0282073188177878,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0146874160141121,0.0974683473048105,0,0,0,0,0,0.172887432824188,0.298927597767601,0,0.0693834557613199,0,0,0.111255150253783,0,0.00424362596595237,-0.0150553677438673,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.00716257834008552,0.374099919167069,0,0,0,0,0,0,0,0,0,0.651181949586006,0,0.0217355694328888,0,-0.0111568011936675,0.00327899926277812,0,0.0643352034704399
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417320394568434,0,0,0,0,0.0721957987639525,0.0264782405698259,0,0,0,0.268921679638221,0,0.0622220959316326,0,0.0106047732973075,0,0,0
X388.HK.EQUITY,0,0,0,0,0.181518125118576,0,0,0,0,0,0,0.0610467202419418,0,0.234094998559364,0,0,0,-0.0245389387315651,0,0,0,0,0.0410689928152387,0,0,0,0,-0.0132529520267354,-0.00390327134791488,0.0445853882626437,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468775238076016,0,0,0,0,0.158924639312928,0,0,0,0,0,0.0503328318561033,0,0,0.00490306954104949,0.00717767760311564,0.0429525926998244,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.316977147379167,1.73472347597681e-18,0,0,0,0.0169672216095023,0,0.272562074362267,0.279267416404007,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440276369937993,0,0,0,0.101114945524582,0.187873051804525,0,0,0,0,0,0,0,0,-0.0167114197205997,-6.7762635780344e-21,0.0214937321287323,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0.135766705703359,0.598171443457485,0,0,0,0,0,0,0.481861072816464,0,0,0,0.0439541865615963,0,0,0,0,-0.756500407857474,-0.188795220837428
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0679812681718082,0,0,0,0,0,0,-0.132938833517137,0,0,0,-0.0246217368486992,0,0.0604458410580432,0,-0.217038956869052,0.0295855283473124,0,-0.0682433816671991
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.331272954541622,0,0,0,0,-1.19923263858553,0,0,0.523462699119266,-3.76729926888783,0,0.149889929117789,0.0654675057367433,-0.113195384539857
TED.SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.753162990628574,0,0,0,0,0,0,0,0,0,-0.0115417622910817,0,0,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0.129394863921777,0,0.639341762655198,0,0,0,0,0,0,0.0226065250840593,0,0,0,0,-0.845967598802953,0,0.0100564859753341,4.30222676546885e-05,0,-0.694723772080588
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479468740770075,0,0,0,-0.120415567257098,0,0,0,0,0,-0.265187414038961,-0.088464386239965,-0.423301593155788,0,0,-0.0587587104352052,-0.301876791636743,0
