,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0.0310711574522239,0.351250698708534,0,0,0,0.00912745037198263,0,-0.0458224859854555,0,0,0,0,0,0,0,0,0,0,0.0123061702600327,0.01159436075089,0,0.0355239796763221
X1398.HK.EQUITY,0.0900274841740468,0,0,0,0,0.51438708693404,0,0,0,0,0,0.145167856205113,0,0.0149347070990704,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371764216320687,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.177604340439922,0.0676398681020331,0,0,0,0,0,0,0,0.0233946118037165,0,0,0,0,0.137218211802355,0,8.67361737988404e-19,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0207817249621826,0.11468008761865,0.166236377293595,0.0458444905119684,0,0,0,0,0,0,0,0,0,0,0.0726915833187253,0,0.00509953677517929,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.155374905429711,0,-6.93889390390723e-18,0,0,0,0,0.209725954697986,0,0,0,0.0860330176714257,0,0,0,0,0,0,0.00800090451160707,0.0211374648962728,0
X939.HK.EQUITY,0,0.0661796529111922,0,0,0,0,0,0,0,0,0,0.0887842712922825,0.143412902775847,0.104463385099094,0.0458494652164414,0,0,0,0,0,0,0,0,0,0,0,0,0.0407406430181916,0,0
X601288.CH.EQUITY,0,0,0,0,0.194354800473652,0,0,0,0,0.0236011365988006,0,0,0,0.0469110273139912,0,0,0.152633961609779,0,0,0,0,0,0,0,0,0,0,0,0,0.0119361250078995
X601988.CH.EQUITY,0,0,0,0,0.16542086279639,0,0,0,0.0319782077033678,0,0,0,0,0,0,0,0.120940938945627,0,0,0.0578984334799545,0,0.0302864864524448,0,0,0,0,0,0,0.00902737438462286,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0766440776606945,0.0152092311930662,0.116755788856213,0,0,0,0,0.166197734645564,0,0,0,0,0,0,0,0,0.0308079793518599,0,0
X600036.CH.EQUITY,0,0,0,0,0.204713401398411,0,0,0,0,0,0.0375329027327939,0,0.0316647318645571,0.244095960536403,0,0,0,0,0,0,0,0,0,0,0.0510920654706644,0,0,0,-0.0277982279512682,0
