,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,8.67361737988404e-19,0,-0.0180801105712864,0.213435387716272,0,0,0,0,0,0,-0.0786251320459699,0,0,0,0.0502230335957002,0,0.314546224302563,0,0,0,0,0,9.38361476736168e-05,0,-0.00290899420947902,0,0,0.0182167430989588,0,0.00975937169597513
X1398.HK.EQUITY,0,0,0,0,0.0047381847671283,0.305714778437259,0.194878847598811,0,0.438922204288501,0,0,0,0,0,0,0,0,0,0,-0.024340926160908,0,0.104359104966198,0,0,0,0,0,0,0.00867802081767371,0,-0.0178495862272048
X601318.CH.EQUITY,0,0,0,0.227100250257096,0,0,0,0,0,0,0,0,0.0330671850510721,0,0,0,0,0.105742976034624,0,0.131169049494836,0,0.185302569112411,0,0,0,0.0436971349112423,0,0.041294463363753,0.00133326528937114,0,-0.0211740090066598
X2318.HK.EQUITY,-0.171558294993635,0,0.438513310561368,0,0,0.084342078335315,0,0.035446488055569,0,0,0.150164696128846,0,0,0.057051271544409,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0.173344553074903,0,0,-0.0164521725855966,0.0121642240837921,0,0
X601939.CH.EQUITY,0.334464299627567,0,0,0,0,0.131349250561893,0.0494046444386992,0,0,0,0,0.119228685319559,0,0,0,0,0,0,0.102569644767098,0,0,0,0,8.67361737988404e-19,0,0,0,-0.00287005932395498,-0.0109610237615205,-0.033819007786409,0
X939.HK.EQUITY,0,0.443417859817699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106745100095332,0.0535152708468645,0.00186993994927121,0,0,0.114995124046213,0,0,0,0,0.00774577281543825,-0.00643149479468816,0,0.057379218945007
X601288.CH.EQUITY,0.0937347978523761,0,0,0,0.31835369769777,0,0,0.0200013158421919,0,0,0,0,0,0,0,0,0,0,0,0.217289186871081,0,0,0.00631916153299284,0,0,-0.0122746487918628,0,-0.00947251663623966,0,0.0106740429396217,0
X5.HK.EQUITY,0,0,-0.224966474147566,0,0,0,0,0,0,0,0.668671110229294,0,0,-0.107430899970452,0,0,0,0,-0.101488233383715,0,0.194584396365551,0,0,0.177825757229839,0,0.0901812377350191,-0.073197786221998,0,0.00272662884357617,0,0
X3988.HK.EQUITY,0,0.1766671653366,0,0,0,0.0592434879454436,0,0,0,0,0,0,0,0.0299697485848286,0,0,0,0,0,0,0,0.0160968751553033,0.0962586292354842,0.0211447859452471,0,0,0,0.00700465810453345,-0.0321346125124977,0.0205282028036089,0
X601988.CH.EQUITY,0,0,0,0,0.231136258319942,0.0429648919510739,0,0,0,0,0,0.082414202387988,0,0,0.0535442879254094,0,0,0,0,0.0142618193837454,0,0,0,0,0,0,0,-0.00561041130516361,-0.0173685423024846,0,0.0471970138947589
X600036.CH.EQUITY,0,0,0.25359583044321,0,0,0,0,0.000641607473077802,0,0,0,0,0,4.33680868994202e-19,0,0,0,0.163223010746313,0.260954015502953,0,0,0,0.112654115745587,0.161353692981192,0,0,0,0,0.0256997472703724,0.0213597080289515,0
X601628.CH.EQUITY,0,0,0.252972380801772,0,0,0,0,0,0,0,0,0,0,0,0.171336191516019,0,0,0.0720001551335388,0.0363725195546789,0.157871614093246,0.00849561120121965,0,0,0,-3.46944695195361e-18,0,0,0,-0.0139378863708226,0.17049326924193,0
X2628.HK.EQUITY,0,0,0.0821880193322927,0,0,0,0,0,0,0,0,0.0641879213739611,0,0.0440548058518155,0,0,0,0,0,0.12085505440733,0,0,0.228894175801802,0,0,0.0224708881657255,0,0.00719768284438291,0.0202153967102292,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.107022293115812,0,0,0,0,0,0,0,0,0,0,0.080003674063295,0,0.369475052889859,0.322598198742732,0,0,0,-0.0154622283181231,0.0171243153549985,-0.0951735729131258
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.155336057331125,0,0.0390015979726447,0,0,0,0,0,0,0.131223889523547,0.0445909944785093,0,0.344944943114137,0,0,0,0.0943329943303614,0.0335134681647342,-0.0163004120626288,0.0203327189680588,0,0
X3328.HK.EQUITY,0,0,0,0,0,0.0938883919278345,0,0,0,0,0,0,0,0,0.110652790529002,0,0,0,0,0,0,0.04493542951534,0.177536128291301,0.0317777559564796,0,0.0372249618383183,0,-0.00809244004028498,-0.00213497494395011,0,4.33680868994202e-19
X601328.CH.EQUITY,0,0,0,0,0.121694869159977,0,0,0,0,0,0,0.00472696697219779,0,0,0,0,0,0.149862915973133,0.0607813891575861,0.0930815511074517,0,0,0,0,0,0,0,0,0,-0.0228208894762752,0.0314281971715589
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.231396542392771,0,0,0,0.249887217410104,0,0,0,0.190456612750086,0,0,0.0982983907919119,0,0,0,0,0,0.00610204321623683,-0.0459371801660358,0,0.0443461873890365
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.135110970175632,-0.0694054484132251,0,0,0,0,0,0,0,0.446201422497879,0.313662036339172,0,0,0,0,-0.210232880164927,0,-0.03905191755423,0.0496143501071128,-0.441894277553953,-0.0879476392271918
X601319.CH.EQUITY,0,0,0.454909214432624,0,0,6.93889390390723e-18,0,0,0.246539356316908,0,0,3.46944695195361e-18,0.0518411200208872,0.152387750350274,0.0847980571888308,0,0,0,0,0,0.0529012366258887,0,0,0,0,0,0,0,-0.0199975673616794,0.0303570283143387,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0.241401103696339,0,0,0,0.147731533566603,0,0,0,0,0,0,0,0.32537807882333,0,0,-0.0520864766376907,-0.103549144570799,0,0.106778207201508,0,0.0203124525167472,0.0465715180448905,-3.46944695195361e-18,-0.0263864594102016
X601601.CH.EQUITY,0,0.273374115120162,0.2262865037414,0,0,0,0,0,0,0,0.133966701802556,0.125209745778027,0,0,0,0.274895630151426,0,0,0.107442460657046,0,0,0,-0.047950932525557,0,0.150730365020277,0,0,-0.00717043775517909,-0.0458313250093839,0,0.108887243306273
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.122478274073494,0.171452153111672,0,0,0,0,0,0,0,0,0,0.54115772475688,0.0745916905495959,0.0549159060657695,0,-0.0199651135597729,0.0505732526036731,0.057052098757437,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.32253646300677,0,0,0,0,0,0.54072733522982,0,0,0,0,0,0,0,-0.312668237830364,0,0,-0.0944074588632072,0,0,0.0163330326086263,-0.000510677804437525,0,0
X388.HK.EQUITY,0,0,-0.214798974537099,0,0,0,0,0,0,0,0,-0.0291690803845127,0,0.43945685951012,0,0,0,0,0,-0.150953174863214,0,0.0520046656841777,0.114203082400742,0,0,0,0,0.0208109522888227,0.0199121640001026,-0.0972256119311344,0
CGB3M,0,0,0.185731033790325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288232106515064,-0.269270478038561,0,0,0.0686919142849715,0,0,0,0,0,-0.0124021418837673,-0.877234157354421,-0.484274843205077
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.241971331597799,0,0.103195238309595,0,0,0.00958549192179203,0,0,0.0983099994137607,0,0,0,0,0,0,-0.112222244735813,0.00981433300969502,0,0
VXFXI.INDEX,0,0.216975600462921,0,0,0,0,0,0,0,0,0.180591964769838,0,0.497065758408191,0,0,0.895063393511549,0,0,0,0,0,0,0,0,0,0.168400109845487,-6.47368448828727,0,-0.0450745945023005,-0.171888947084504,0
TED.SP,0,0,0,-0.234400483657313,0,0.108732566751077,0,0,0,0,0,1.20566637110259,0,0,-0.424012609282484,0,0,0,-0.300795938392424,-1.94112960532726,0,0,0.313829448593139,0,0,-0.0381073297871185,0,0.0889845084385046,0,0.388342625611114,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0150880530309694,0,0,0.0867888821566196,0.0167064761562394,0,-0.777270205137804,0,0.0332172930680068,0.0172261814418222,0,-0.584410064748643
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,-0.185825766107349,0,0,0,0,0,0,0,0,0,-0.538443265398111,0,-0.0480531274613932,0,-0.592553180815971,0
