,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,-0.0289167874105419,0,0.33393915746995,0,0.0239154182488801,0,0,-0.0506463985247348,0,0,0,0,0,0,0,0,0,0,0,0.0157218092858521,0,0,0.0380601427707265
X1398.HK.EQUITY,0,0,0,0,0,0.291571892045191,0,0.0397014035539541,0.0426052224372743,0,0,0,0,0,0,0,0.0475326144403921,0,0,0,0,0,0,0.0260373481801346,0,0,-0.0186675016640336,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.144336366652966,0.0263238893074239,0,0,0,0,0,0,0.075369539942736,0.00433917323918599,0,0,0,0,0.0391965302340812,0,0.228251326944836,0,0,0,0.00937421945264384,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.050953526245261,0.110247412623537,0,0,0,0.134108600453085,0.0982993788902244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01149107785874,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.346186004192056,0.0343107435093636,0,0.0898869851256124,0,0,0,0,0.0234376380514098,0,0,0.0804197208619632,0,0,0,0,0,0.051160875213871,0,0,0,0,0,0
X939.HK.EQUITY,0,0.309507045632517,0,0,0,0,0,0,0,0,0,0,0.215470923000202,0,0,0,0.0403042711736648,0,0,0,0,0,0,0,0,0,-0.0214772183782563,0,0,0
X601288.CH.EQUITY,0,0,0,0,0.468296354878683,0,0,0,0,0.0783825547106602,0,0,0,0,0,0,0,0,0,0,0,0,0.0351759756066126,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0.0962175075062173,0,0,0,0,0,0,0.306968401609321,0.207211907559424,0,0,0,0,-0.203991478504975,0,0,0.775692301095681,0,-0.129434257348139,0,0,0
X2628.HK.EQUITY,0,0,0,0,0.104211480925639,0,0,0.206268762300674,0,0.142089061974059,0,0.314143420686698,0.175150982228004,0,0.164594688801023,0,0,0,0,0,0,0,0,0,0.139306867573063,0,0,0.053566562939642,0.0177475127933876,0
X600036.CH.EQUITY,0,0,0,0,0.568174917193465,0,0,0.025716952393403,0,0,0,0,0.0328015188547453,0.0703613394519281,0,0,0,0,0,0,0,0.0253434983736965,0,0,0.020299060122209,0,-0.00800937259010025,0,0,0
X601988.CH.EQUITY,0.0408306550795511,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0.0144025334959133,0,0,0,0,0,0.524256674587129,0,0,-0.00609947569595918,0,0,0,0,0,0,0,0.0117813304945347,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0.0194624801473063,0,0,0,0.137927180303833,0.0516852386589062,0,0,0.0262803302171809,0,0,0,0,0,0.0463803632193545,0,0,0,-0.0236631677036595,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.268186271998305,0,0.144732914577683,0.0303194135430748,0,0,0,0,0.29423733177994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0930705392144918,0
X5.HK.EQUITY,0,0.168679488307556,0,0,0,0,0,-0.0637755399925531,-0.215194934613567,0.216466318478956,0,0.0233512545323679,0.529383285087105,0,0,0,0,0,0,0,0.0932421530085016,0,0,0,0,0,-0.0597376284114284,0.0124490557453022,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.112077009332084,0.277550700028317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.152640750066512,0,0,0,0,0.202594226907665,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0.176320648440928,0,0,0,0,0,-0.0501376892082294,0,0,0.445490895241756,0,0,0,0,0,0.199421511335463,0,0.0575319589629702,0,0.0434749724556949,0,0,-0.120193325996097
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.112818100474881,0,0,0.00272605621040562,0.936487377976476,0,0,0,0,0,0,0,0,-0.0300411444761746,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.184427560478908,0,0,0,0,0,0,0,0,0,0,0,0,0.128066168675501,0.0400075005882311,0.0561872440470918,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0.0924366510097752,0,0,-1.73472347597681e-18,0.133414536946193,0,0,0,0,0,0.000821944218943304,0.0201396551167513,0.0388086506983584,0,0,0,0.131597950784671,0.0759611399429654,0.00584332872704028,0,0,0.0244359828828045,0.00116948605769049,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.057762333315812,0.191072346924003,0,0,0,0.0408474373805715,0,0,0,0,0,0.0102018725228732,0,0,0,-0.0365543572393066,0.14153725881704,0,0
