,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108813976106117,0,0,0,0.332222881395047,0,0,0,0.00391729644122202,0,0,0,0,0,-0.00192646138993446,0.0056837848718096,0.0102884443371908,0.0282272740477797
X1398.HK.EQUITY,0,0,0,0,0,0.277844117250339,0,0.180650147133168,0.097730560504912,0,0,0,0.0577737780981302,0,0,0.396718163259939,0,0,0,-0.0129132422455059,0,0,0,0,0,0,0,0,-0.00175371002540279,0,0.0151527787894762
X2318.HK.EQUITY,0,0.0299645766862865,0,0.325730655998938,0,0.145700382454722,0,0,0,0,0,0,0,0.0481690888896402,0,0,0,0,0,0,0,0,0,0.148789896391076,0,-0.0301725785835984,0,0.0011633756269741,0,0,0
X601318.CH.EQUITY,0,0.0866410058047123,0.203296705975333,0,0,0,0,0,0,0,0.162387272405244,0,0.196444127311002,0.083923864105557,0,0,0,0.118436465233048,0,0,0,0,0,-0.168782575835982,0,0,0,0,0.00301342187821329,-0.022436763961387,0.0274176224946455
X601939.CH.EQUITY,0,0.0331421332428235,0,0,0,0.0348262335870734,0.0234257808567565,0,0,0,0,0,0,0,0.0889242344434892,0,0,0,0,0,0,0.0794881805612945,0,0,0,0,0,-0.00813465145561934,0.0223984860611626,-0.0731313767827158,0
X939.HK.EQUITY,0,0.44746137716998,0,0,0,0,0,0,0,0,0,0.068704548327555,0.0600139070879534,0,0,0,0,0,0,0.149076511777458,0,0.0381738424027334,0,0.109098033109443,0,0,0,0.00101788599784657,0.00587272570372851,0.00143998838031115,0
X601288.CH.EQUITY,0,0.191416246374686,0,0,0.207755278199927,0,0,0.0867936659972853,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000438476098075933,0,0.00353800885879643,0,0,0,-0.00941847352128925,0.0106366426466784,0,0.099801001970945
X5.HK.EQUITY,0.0940432228217365,0,0,0,0.0294596375521878,0,0.325867007154669,0,0,0,0.15287771783686,-0.32195721880241,0.04834960514773,0,0,0.0612224435028811,0,0,0,-0.0363036767097754,0,0.484778315299976,0,0,0,0,-0.00363644776493746,0,0.0163715771247082,0,0
X3988.HK.EQUITY,0,0.468834886111797,0,0,0,0,0,0,0,0,0,0,0.000536601017259736,0,0,0,0,0,0,0,0.0406357424423707,0,0,0.123634529701024,0,0,0,0,0,0.0351815305688456,0
X601988.CH.EQUITY,0.0741004842006279,0,0,0,0.0818004028532904,0,0,0,0,0,0,0,0.0751530724905355,0,0,0,0,0.0996098521971914,0,0.0167323053329644,0,0.0120605578745455,0.0178249223055386,0,0,0,0,-0.00182596289372657,0.0126765745059364,0,0.0552973803703325
