,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123488816815439,0,0,0,0.297380384183094,0,0,0.000856158226744435,-0.0282101448452821,0,0,0,-0.00469832863461416,0,0,0.0186396998106324,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0.499593304015301,0,0,0.133154106366855,0.0986365367207902,0,0,0,0,0,0,0,0,0.00181921121197212,0,0,-3.46944695195361e-18,-0.0132545630561145,0,0.0126377117956802,0,0,0
X601318.CH.EQUITY,0,0,0,0.240140192617604,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099880563700127,0.213918847636313,0.0574094525177081,-0.0305233392939542,0.163948083414674,0,0,0,0.0624043221444768,0,0.0315920114492788,-0.00629089137352492,0.0616344744394219,-0.00707703008313643
X2318.HK.EQUITY,-0.173496310370464,0,0.450140740134314,0,0,0,0,0,0,0,0,0,0,0.0843475826377755,0,0,0,0,0,0,0,0,0,0,0.278406386381333,-0.0253595808930506,0,0,-0.01296365085533,0,0.032498157718435
X601939.CH.EQUITY,0.367785849168137,0,0,0,0,0,0,0.034035822015305,0,0,0,0,0.05364389597736,0,0,0,0,0,0,0.122262227422913,0,0.0847963707435943,0,0,0,0.00706636455006276,0,0,0,-0.0228307847387022,-0.0181715989268373
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.12400769122699,0,0.107394144222605,0,0,0,0,0,0.151373968406833,0,0,0,0,0.0375881594415004,-0.00895252632561755,0,-0.0059696935500554,0.0226528372698464,0,0
X601288.CH.EQUITY,0,0,0,0,0.0629194757118141,0,0,0,0,0.187102563984381,0,0,0,0.00132748182696489,0,0,0,0,0.206176870083334,0,0,0,0,0,0,-0.00814927969886425,0,0.00216939246945113,0.00298406087217581,0.00810561602051693,0
X5.HK.EQUITY,0,0,-0.220446252182547,0,0,0,0,0,0,0,0.720174387922994,-0.00867902872265867,0,0,0,0,0,0,0,-0.0293799192279921,0,0,0.0635859834572696,0,0,0.0617194434198678,-0.113297111234685,-0.0227400043240715,0,0,0
X3988.HK.EQUITY,0,0.287103599237024,0,0,0,0.193417440449189,0,0,0,0,0,0,0,0,0,0,0,0,0.0538425234825655,0,0,0,0,0,0,0,0.0322712110484983,0,-0.00992958081592357,0.048054758311882,0
X601988.CH.EQUITY,0.0534338948927498,0,0,0,0,0,0,0.0450495781368483,0,0,0,0,0,0.133026987934156,0.0871830200066146,0,0,0,0.0293027281400955,0,0.0326828447480849,0,0,0,0,0,0,-0.00588963002071698,0.00295282682820913,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0964941966634735,0,0.283671269210877,0.168495231413484,0.139692638370586,0,0.144164409407077,0,0,0,0.0414923998825461,0.0103840199973215,0.0157413203451101,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.182816851785249,0,0,0.191172068202493,0,0,0,0,0,-0.0524968560126158,1.73472347597681e-18,0,0,0.305162321447695,0.152707736967788,0,0,0.00178520261941245,0,0.0941508599883694,0
