,X601398.CH.EQUITY,X1398.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0.104554748415609,0,0,0,0,0,0.109599015911312,0,0,0,-8.67361737988404e-19,0,0,0.136961016098482,0,0,0,0,0,0,0,0.00159814153687279,0.0206104946806335,0,0.0038503168672238,0.00150964002297047,0,0
X1398.HK.EQUITY,0,0,0.158976390083462,0,0,0,0,0,0,0,0,0.061197701169927,0,0.130848511843986,0,0,0,0,0,0,0,0,0,0,0.176433266325397,0.0329492138069569,0,-0.00563596036811259,-0.00215873074514307,0,-0.048857047924774
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272215991550684,0,0,0,0,0,0,0,0,0,0,0.052383378239035,0.0189141901831409,0,-0.0267895058087768,0.0155610396626711,-4.33680868994202e-19,-0.0605632718275495
X601939.CH.EQUITY,0.141574538574154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22467182198188,0,0.273649800209836,0,0,0,0,0,0,0,0,0.0139920922366687,-0.00593470781291349,0.00428582976739256,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.311251536323343,0,0,0,0.0673241669364747,0,0,0,0,0,0,0,0,0,0,0.0928263647111168,0,0,0,-0.00655097391893219,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.291959131314777,0,0,0.144923981791758,0,0,0,0.0555047642108967,0,0,0,0.0453859183059132,0,0,0.032391128829899,0.00145014835269337,0,-0.0014238904064525,-0.016518608402175,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0940283301380107,0,0,0,0.161359963706146,0,0,0.0183847953404699,0,0,0,0,0.00589984782728965,0.0315433050405713,0,0,0.00164777719157983,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0.111192505876422,0,0,0,0,-0.0453653241159793,0,0,0.235853085325154,-0.0262724796932656,0,0,0.0660991525113644,0,0,0,0,0.0167042267596401,0,0.00435452995455742,-0.00237722567014835,0,-0.0875705140682552
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.278815715230502,0.0313729484127175,0,0,0,0,0,0,0,0,0,0.0376590832235144,0,0,0.187659253028604,0.00523662224911087,0,0.00355399953906244,0,0,-0.0987124165737942
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0384401461222232,0,0.186276418859141,0.149556077933182,0,0,0.210488494779681,0,0,0.0495462220625673,0,0.245081999392801,0,0,0,1.73472347597681e-18,0,-0.0369648532016259,0.00662868732859923,-0.0435858079570876,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.828405727721735,0.2488802019388,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.00847116116923273,0,0.0132918853537195,0.0313291260848849,0,0.00216249117340398
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.26558425787957,0,0.00297330576380595,0,0.400034796487467,0,0,0,0,-0.0570766332043244,0,0,0,0,0,0.0530191691405617,0,-0.0249291615233465,0.0156008708842644,0,-0.229130326928112
X601628.CH.EQUITY,0,0,0,0,0,0.280526381613871,0,0,0,0.174381514420528,0,0,0,0.241704411503574,0,0,0,0,0,0,0,0.0644251194374694,0,0,0.0115173832672351,0.0171594111086401,-0.00983540320443173,0,0.0264447563620456,0,0.15045761582589
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0776640130625108,0,0.441851287537378,0,0,0,0,0,0,0.005961898544341,0,0.0261660000906347,0,0,0.494366298148358,0,0,-0.0299197395489992,0.00576860187193209,0,-0.11549039478493
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.153242214303784,0,0,0,0.14178348546326,0,0.0671573837674091,0,0,0,0,0.143129278084303,0.0103532354415309,0,0.00268160110871929,0,0,-0.098503158757546
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0965696667526257,4.33680868994202e-19,0,0,0,0,0,0.162296693198264,0,0,0.0462891448883889,0.108849239995575,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.548123635544771,0,0,0,0,0,0,0,0,0,0.0230393562615938,0,0,0,0,0,0.0109708800956187,0,0,0,-0.0257236552803201,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0595988092210296,0.0458891201255271,0,0,0.153572503865473,0,0,0,0,0,0,0,0.0157011324086336,0,0,0.180739975632946,0,0.0295033343507897,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0285548650246707,0,0,0,0,0,0.254579361985924,0,0,0,0,0.14272119775976,0,0,0.0373312027599004,0.0338819918201717,0,-0.00623180801281437,-0.0118908062307114,0.0238871245229668,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201649208162768,0,0,0,0,0,0,0,0.279187225421516,0,0,0.18298996201923,0,0,-0.0241205316410973,0,0,-0.0657444819176062
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.088702420098319,0,0,0,0,0,0,0,0.296881822612595,0,0,0,0.210938196180368,0,0,0,0,0.00618455248427222,-0.0210841552998029,0.0100462497201394,0,-0.0094074814601686
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.254559569553434,0,0,0,0.301111730740636,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,-6.93889390390723e-18,0,-0.0256213430653808,-0.124399564582157
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.145583523917091,0.0882664024580611,0,0,0,0,0,0.0352820466437078,0.00370585960343508,0,0,0,0,0,0,0,0,0,-0.00925022109663264,0.0068808296119831,-0.0125273551980303,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.115408324370946,0,0,0,0,0,0,0.0939945615786181,0,0,0,0.0262061410787958,0.0233386543521979,0,-0.0139463900957467,-0.0125214681616,0,-0.0784713417164122
X688.HK.EQUITY,0,0.539952971150902,0,0,0,0,0,0,0,0,0.192149260920856,0.139729249933358,0,0.499614313806213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276580210426062,-0.0132074054178436,-0.00681149655092968,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0.443747254503151,0,0,-0.524110934740632,0,0,0,0,0,0,0.418524938799303,0,0.733254421286414,-0.149710222316502,0,0,-0.0108059915953437,-0.0289283371829701,-0.952353951911507,-0.388906341128999
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0069417281003076,0,0,0,0.213534488174375,0,0,0,0,0,-0.214136998288267,-0.0265660531507196,0.0696963423529971,-0.0409699738124111
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.885778174111753,0,0,0,0,0,0.86604722875752,0,-0.496511984288059,-0.364693711933766,0,0,0,-0.796613832392841,0.00515531480942452,-2.94727845481964,0,-0.0203714353857564,0,0
TED.SP,0,0,0,0,-1.45246863091546,0,0,0,0,0,4.17820668394465,0,0,-2.94671702087693,0,0,0,1.24548547464317,0,0.441717146118515,0,0,2.87017026941261,-1.44592357068608,0,-1.59537063129914,0,0.560894408510336,0,0,1.59291766215276
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0.261353050469733,0,0,0,0,0,0,0,0,-0.386012446120656,0,0,0,0,0,-0.753938131403151,0,-0.0823781937086949,0.0629498382262852,0,-0.686104183355594
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,-0.184946397585219,0,0,0,0,0,-0.390612467616476,0,-0.260084979825184,0,0,0,0,0.13845395791903,-0.498311521003906,0,-0.0580369524436663,-0.018184944920604,-0.571901015172703,0
