,X2849.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X5.HK.EQUITY,X2548.TT.EQUITY,X601377.CH.EQUITY,X83.HK.EQUITY,X5534.TT.EQUITY,X6005.TT.EQUITY,X601878.CH.EQUITY,X2880.TT.EQUITY,X000656.CH.EQUITY,X2501.TT.EQUITY,X2855.TT.EQUITY,X2867.TT.EQUITY,X2885.TT.EQUITY,X1808.TT.EQUITY,X3040.TT.EQUITY,X601108.CH.EQUITY,X2905.TT.EQUITY,X9940.TT.EQUITY,X1463.TT.EQUITY,X2520.TT.EQUITY,X000783.CH.EQUITY,X600848.CH.EQUITY
X2849.TT.EQUITY,0,-0.258105281896919,-0.425539789864454,0.0272903796475734,0,0,0.0450228937831932,0,0.112066574368403,0,0,0,0,0.556154017234161,0.0212990030325234,-0.226556300168743,-0.0544398195933578,-0.116961418350326,0,0,0.857173471857417,0.0618678642824658,0,0,0
X2892.TT.EQUITY,0,0,0,0.0352033387652343,0,0,0,0.317874552188543,0.0729223811786734,0,0.308875445340743,0,0,0.208221174312586,0.0131349534527247,0,0,0,0,0,0,0,0,0,0
X5880.TT.EQUITY,0,0.396131242046334,0,-2.74865371145501e-05,0,0,-0.00709648221951643,0,0.0614129090758288,0,0,0,0.0223694975379282,0.154349187284963,0.012285466571029,0,0.0166871695067091,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-1.14106004488663,0,0,0,0,0.393222691851045,-2.07096952532723,-0.601314719714695,0,-2.18375968187122,0,-0.490940107672761,-0.603598885370813,-0.294600521026328,0,0.109600396925057,1.53080231671418,0,0,0,0,-0.579890822435106,0,0
X2548.TT.EQUITY,0.229666376869776,0,0.266489564901899,0.0675051720665521,0,0,-0.0340164745673334,0.830531943357479,-0.153912544079651,0,0,0,0,0,-0.0202904750807695,-0.0236581012892769,0.0517499685439569,0.117235933931067,0,-0.202599821313813,0,0,0,-0.630594543822803,0
X601377.CH.EQUITY,0,0.0277752020441746,0,0.0194629124434679,0,0,-0.00422848804179346,0,0,0,0,0,0.0539383611449788,0,0.00438341128959862,-0.0818835346318079,0.00792076546203669,0.119025022373111,0.0956117998404149,0,0,0.0263043589356775,0,0.128813666584497,0
X83.HK.EQUITY,1.40772718868998,0,0,0.934357108035301,0,0,0,0,-0.0897019911150933,-4.3480295871237,0,-4.6138653489509,4.20504379388223,1.00108664586545,0.312236621738934,0.987283795523422,0,0,0,0,-5.35763824568718,0,0,0,0
X5534.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X6005.TT.EQUITY,0.192331667581207,0,0,0.0862692918808296,0.215954497890957,0,-8.67361737988404e-19,0,0,0,0.678649143908015,0,0,0,-0.0351620623249528,-0.388528470875666,0.415401935522912,0,0,0,0.626723899509036,0,0,0,0
X601878.CH.EQUITY,0,0,0.0294878255789129,0,0,0.417577243002707,0.00285787071634669,0,0,0,0,0,0.0291883330886958,0,-0.00143958281387083,0,-0.0164447945209309,0,0.247001713546437,0,0,0,0,0,0
X2880.TT.EQUITY,-0.074108020552494,0.50030854208366,0,0.0121227846313251,0,0,0.00631366164745655,0,0.11696452740709,0.194258796959708,0,0,0,-0.253191326078119,0.011466157436777,0,0.080300824247023,0.0475869338935882,0,0,0.0349918717944175,0,0,0,0
X000656.CH.EQUITY,0.0333092165205638,0,0,0.0109620740864377,0,-0.0146146539467604,-0.00161275505061674,0,-0.00895849053493172,0,0,0,0.0703991672810187,0,0.00571921171959997,0,-0.035807752887468,0.0962000380367488,0,0,0,0,0,0,0
X2501.TT.EQUITY,0,0,0,-0.0297813101095129,0,0.591913424128584,0,0,0,0,0,0,0,0.448146068334064,0.00381834492007043,0,-0.0837810096019298,0.0777349622124713,0.524719997397263,0,0.338466555461946,0.145257033716984,0,0,0
