,X2892.TT.EQUITY,X5.HK.EQUITY,X5880.TT.EQUITY,X2849.TT.EQUITY,X5534.TT.EQUITY,X83.HK.EQUITY,X6005.TT.EQUITY,X2880.TT.EQUITY,X2548.TT.EQUITY,X2867.TT.EQUITY,X601377.CH.EQUITY,X2505.TT.EQUITY,X000656.CH.EQUITY,X601108.CH.EQUITY,X2905.TT.EQUITY,X3040.TT.EQUITY,X2885.TT.EQUITY,X601878.CH.EQUITY,X9940.TT.EQUITY,X2501.TT.EQUITY,X2855.TT.EQUITY,X1808.TT.EQUITY,X2820.TT.EQUITY,X600848.CH.EQUITY,X601162.CH.EQUITY
X2892.TT.EQUITY,0,0,0,0,0,0.00303374004953033,0.0951690901550141,0.368649789337663,0,0.0193086978687369,0,0,0,0,0,0,0,0.23301835547149,0.0831588684022418,0.114028541739258,0,0.00722709445459625,0,0,0
X5.HK.EQUITY,0,0,0,0.344187895477145,0,0.0177319477669977,0,0,0,0,0,0,0,0,0,0,0,0,0.38783377485983,0,0,0,0,0,0
X5880.TT.EQUITY,0.206448989245054,0,0,0.0304262461409506,0,0,0,0,0,0.00542325143797298,0,0,0,0,0,0.0665713665009672,0,0,-0.0326185797627535,0,0.348063256266248,0,0,0,0
X2849.TT.EQUITY,0,0.0252489035035959,0,0,0.773027267138945,0.0112926832250443,0.10486395363813,0,0,0.0197048145091376,0,0,0,0,0,0,-0.154340779413028,0.573311782474353,0.486147721764389,-0.196520710120911,0,-0.0251820157010534,0,0,0
X5534.TT.EQUITY,0,-0.00936561320503502,0,0.0416690731915571,0,0.0141216757017296,0.0404876060825587,0,0.190082888359572,0.0184379118088079,0,0.184531282643918,0,0,0,0,0.0559873839466974,0,0.0111803054926781,0.0507522463711924,0,0,0,0,0
X83.HK.EQUITY,0,0.94108114098753,0,0,0,0,-0.544216362889293,4.61748737335157,0,0.231511977287768,0,0,-3.9485632097201,0,0,0,0.611881286279461,0,-5.52810493496671,2.12596078029523,0.269427434599629,-0.82760872253527,0,0,0
X6005.TT.EQUITY,0,0,0,0,0,0,0,0,0,-0.101538501920354,0,0,0,0,0,0.721297864972293,-0.857631404393519,0,0,0,-1.04906385290523,0.367381697727468,0,0,0
X2880.TT.EQUITY,0.513665001696245,0.0189725443784457,0,-0.0785923984871599,0,0.00754892142937316,0,0,0,-0.0109469788809938,0,0,0,0,0,0,0.0311256067501584,0.0479209969362114,0,0.0880433939770368,0,0.0641499770281539,0,0,0
X2548.TT.EQUITY,0,0.0563770416530589,0,0,0.445795859454262,-0.0150570458405882,-0.0249148823194735,0,0,-0.013385651392881,0,0.60027150587077,0,0,0,0,0,-0.315698684417911,-0.0293272689271448,0,-0.0273345758554675,0.0322034614706055,0,0,0
X2867.TT.EQUITY,1.27658151519018,0.724560270486868,0,0,4.51302894494478,0.198978864524441,-0.427692758938779,-11.9762191300324,-1.79153755635207,0,0,0,0,0,-7.13648487925769,0,0,0,3.40869009697001,1.0155501421248,0,3.59342058885307,-6.65711738012937,0,0
X601377.CH.EQUITY,0.0247051332740124,0.00947098455850448,0,0,0,0.00256860844657436,-0.00695633071075086,0.0458196278574187,0,0.00320412254301364,0,0,0,0,0,0.0700552817214356,0,0,0,0.0410810611799141,0,0.0374657064141539,0,0,0.365441844581738
X2505.TT.EQUITY,0,0.00619362636129107,0,0.0481089616480101,0,-0.0160010998188668,-0.0112497848938414,0,0.202937118919853,0.0151341712894663,-0.0764320939163511,0,0,0,0,0.0661825281533698,0,0,0,0,0,0,0.0677979176474175,0,0
X000656.CH.EQUITY,0,0,0,0,0,-0.000490692847387986,-0.0116029469675946,0,0,0,0,0.0976781699885987,0,0,0,0.0184818190636018,0,-0.0263761777485928,0,0.0373726315797262,0,-0.0212169634821965,0,0,0
X601108.CH.EQUITY,0.0175881683614643,0,0,0.099056435166625,0,-0.00882142321863991,-0.015700923020758,0.150266564964532,0,0,0,0,0,0,0,0.0355946585486213,-0.0130149542462213,0.0836946303162234,-0.0352018621708406,0.051255678579955,0.035955367762278,0,0,0,0.11340568911568
X2905.TT.EQUITY,0,0.00110740620370998,0,0.0153418902590537,0,0.00444493330327302,0,0,0,0.00646375311647329,0,0,0,0,0,0.129958168106656,0.0571464107806554,0,0.0538381383182055,0.00166224417821301,0,0.0498086732868971,0,0,0
X3040.TT.EQUITY,0,0,0,0,0,0,0,0.255995988417784,0,-0.0243714766949104,0,0,0,0,0,0,0.19532243912119,0,-0.129432764185153,0.0822252466199454,0,0,0,0,0
X2885.TT.EQUITY,0,0.0318683660425402,0,0,0,-0.0242268290153695,0,0,1.67710968204131,-0.0379456224499401,0,0,0,0,-0.121244256698404,0,0,0,0.0679807445036638,0,0.352382993664235,0.075224495644342,0,0,0
X601878.CH.EQUITY,0,0,0.0101323237368651,0,0,0.00337545352326654,-0.0115658440654036,0.0853250217688623,0,0,0.303718684076279,-0.00292142197720859,0,0.214113162052727,0,0,0.0114449731849353,0,0,0.0468396935583944,0,-0.035684716374922,0,0,0
X9940.TT.EQUITY,0.121674426092328,0,0,0,0,-0.0138868494288417,0.0758851895330798,0,0,0.0134257389220195,0,0.458288602641743,0,0,0,0.0666090554035661,0,0,0,0.311871617550399,0.398748670893498,0,0,0,0
X2501.TT.EQUITY,0,-0.0156131831685705,0,0,0.260092861900266,-0.011716565701359,-0.012247137566,0,-0.342128275966673,-0.00820026991867886,0,0,0,0.52523026485304,0,0.0545439898295256,0.338461119072412,0,0,0,0.20080930695244,-0.0590038368736714,0,0,0
