,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0.249902465058589,0,0.289103107533156,0,0,0,0.075996954807158,-3.46944695195361e-18,0.0383365959627479,0,0,0,0.527872870660111,0,0,-0.161170944832374,0,0,0,0.064233413497188,0,0,0,0,0.00399659589816221,-0.011762367219009,-0.0435687660883691,0
X601398.CH.EQUITY,0,0,0,0,0,0.417279225844348,0,-0.092298283584766,0,0,0,0,0,0,0,-0.0291456419153126,0,0,0,0,0,-0.078611676060814,0,0,0.069863350460211,0,0,0.00844342429352305,0.0140134171253583,0.0190532052891262,0.0365786844120514
X2318.HK.EQUITY,0,0,0,0.137034233717452,0,0,0,0,0,0,0,0.238149736464801,0.226466156272498,0,0,0,0,0,0,0,0.0448081387330465,0,0,0,0.0269009465451877,0.0289317967819174,0,0.00118496800602137,-0.0181218394675108,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0621652475164688,0.0251328346846686,0,0.0688441747205607,0,0,0,0,0,0.350546323096181,0,0,0,0,0,0.00391174758596655,0,0.0112942371117516,-0.00390000121675231,0,0
X601939.CH.EQUITY,0,0,0.0133269633609394,0,0,0,0,0,0,0,0.294500891656291,0,0,0.0945819517525949,0,0,0,0,0,0,0,0.0888881191744338,0,0,0,0,0.00717875583563944,0.0167706132872482,-0.00857064123602141,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0574493545753872,0,0.0157044800290781,0,0,0,0,0.0306824635740616,0,0.0618400833580792,0,0.00791743021936803,0.155322354673419,0,0,-0.00485534171308444,0.01054113491425,0.0151976416203987,0
X601288.CH.EQUITY,0,0,-0.0789580367770531,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255476628772577,0,0,0,0,0.037845994832493,0,0,0,0,0,0.011992514907358,0.00832146524338263,0,-0.0600334259452906
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231526272411961,0,0,0.146929915690781,0,0.0448605252683817,0,0,0.041900305196086,0,0
X601988.CH.EQUITY,0,0,0,0,0.020588409061264,0,0,0,0,0,0.105854945041994,0,0,0,0,0,0.0669894827932975,0.0218475932537912,0,0,0,0.0177685585499027,0.0835313336390561,0.0851874286571426,0,-0.0166826693057571,0,0.003286250178328,0,0.00228093000281018,0
X3988.HK.EQUITY,0.0773543301206821,0,0,0,0,0,0,0,0,0,0,0.0440344810431862,0.140185942760889,0,0,0,0,0,0,0,0,0.124963526082412,0.0586206096057346,0,0.0542489238778344,0,0,0.00256714474245644,0.00313494313404807,0.0184683821568079,0
X600036.CH.EQUITY,0,0,0,0.46590775726427,0,0,0,0,0,0,0,0,0,0,0,0.301320150865068,0,0,0,0,0,0.106175862086505,0,0,0,0.00947687004575676,0,0.0275950625113422,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339682757964506,0,0,0,0,0,0,0,0.374191006664226,0.00371791388336571,0.0279681478993913,0.00656858318054801,0.05475298071883,0,0,0.00319793438079151,-0.00545181655523878,0
X2628.HK.EQUITY,0,0,0.18363550474337,0,0,0.324270577409836,0,0,0,0,0.157510742103647,0,0,0,0,0,0,0,0.0867797401682256,0,0,0,0.388986432364932,0,0.0805638266432478,0,0,0.0118118895119678,0,0.0189438545805541,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30917431206472,0,0,0.240567961069404,0,0,0,0,0.354671948696276,0,0,-0.0015690642637406,-0.00384725250889559,0.0341959192897596,0
X601328.CH.EQUITY,0,0,0,0,0,0.0670488721208611,0,0,0,0,0,0,0,0,0,0.20621643634344,0,0.137158520860217,0,0,0.208019888200268,0,0,0,0.0603873541188131,0.0346174693699863,0,-0.00286741423351707,0.000887366975029524,0,0
X3328.HK.EQUITY,1.14433562591473,0,0,0,0,0,0,0,0,0,0,0,-0.120109523566082,0,0,0,0.240376064157496,0,0,0,-0.0985836911003087,0,0,0,0.0822171947924495,-1.38777878078145e-17,0,0,-0.0189254348301726,0.0968650754731912,0.107295331812594
X601166.CH.EQUITY,0,0,0,0,0.0842723491054486,0,0.415782813606341,0,0,0,0,0,0,0.0611220311211978,0,0.012836023831852,0,0,0,0.377458539307426,0,-0.0236530754284822,0,0,0.0102808607633002,0.0399237966895979,0.0268426016234796,0,0.0221184282569055,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.29544741831235,0,0,0,0,0.0563674998453421,0,0,-0.120453351954334,0.0888176631026866,0,0.114347724051806,0,0,0,0,0,-0.00393587144129725,0.00652426726596978,-0.00278862273625078,0.0330826763789208
X601319.CH.EQUITY,0,0,0,0.196733136697474,-0.0849552671376974,0,0,0,0,0,0,0,0.529250120303494,0.236789616168318,0,0,0,0,0,0,0.0708200094950311,0,0,0,0.184284214022504,0,0,-0.00957073474405082,-0.0449129299920912,0.0518688477798289,0
X601601.CH.EQUITY,0,0,0,0.478839820450553,-0.23087489876098,0,0,0,-0.278658299796431,0,0.107849500893093,0,0,0.162022670474704,0,0,0,0,0,0,0.214867061686205,0,0,0,0,4.33680868994202e-19,0,-0.00674316780025678,0.0081183378367062,0.0269866773751472,0
X000002.CH.EQUITY,0,-0.613742352965462,0,0,-0.0431866734800719,0,0,0.27200161440071,0,0,0,0.277235659189665,0,0,0.0702092704776874,-0.159202211496737,0,0,0,0.509567571496981,0,-0.105029938284393,-0.210831239503266,0,0,0,0,0.0057096382058879,0.0596844377527639,0.0965110922250475,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0634153228834503,0.561807917164668,0,0,0.0421797549675399,0,0.0225634989861333,0.129959980408573,0.142598012561067,0,0,0,-6.93889390390723e-18,0,0,0.00346914190117888,0,-0.0251952036344957,0.029942733990951,0,0
X11.HK.EQUITY,0,0,0,0,0.318369599731791,0,0,0,0,0,0.0690638959861473,0,0,0,0,0,0,0,0,0,0,0,0,0.216825550534517,0,-0.0978681384514195,0,0.00546046023454915,0.00269178081948822,0,0.0100111147795129
X388.HK.EQUITY,0,0,0.0386458999349882,0,0,0,0,0,0,0,0,0.219433688921235,0,0,0,0.446575373981664,0,0,0,0.0196771097633005,0,0,0,0,0,0,0,-0.00442516679088672,0.0404560645541553,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.127710891466627,0,0,0,0,0.622636992110745,0,0,0.729854342139048,0,0,0,0,0,0,0.152439032802319,0,-0.0121354781172236,-0.0333397681686751,0.135077585010569,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202853126285691,0.0144716167057871,0,0,0.0100169908589657,-0.0462597670079033,-0.905395482089617,-0.755000818334975
FXI.US.EQUITY,0,0,0.168957036651726,0,0,0,0,0,0,0,0,0.135479186358388,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377377329285388,0,-0.172762477797275,0,0,-0.116297707164869
VXFXI.INDEX,0.298494404590903,0,1.69463616887862,0,0,0.373655525913902,0,0,0,0,-0.993858543994156,0.225128705607093,0,0,0,0,0,0,-0.157019312400949,0,0,0,0.152981836059531,0,0,0.0710638028192181,-4.84528217981325,0,0,0,-1.00025100837405
TED.SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00238120739930672,-0.480440557654849,0,-0.0275289438093312,0,0.185161435789538,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224004445942205,-0.931482247022788,0,1.73472347597681e-18,-0.00635887872276442,0,-0.537778683290523
CREDIT.SP,0,0,0,0,0,-0.330539382265354,0,0,0,0,-0.0942755193401047,0,-0.187397628025441,0,0,0,0,0,0.101098420093163,0,0,0,0,0,2.77555756156289e-17,-0.607690705022214,0,0.0126498976288479,-0.046698158917592,-0.556183050995575,0
