,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0.566560242983077,0,0,0,0,0,0,0,0.0887158588243791,0,0,0,0,0,0,0,0.0128495267080184,0.0442366504401562,0,0,0.0747166950970763,0.00385824084414664,0,0.00553827326705352,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144348814021972,0,0,0,0,0,0,0.0606054654463576,0.295217246669549,0,0,0,0,0,0,0.00337674275396128,0,0
X601318.CH.EQUITY,0,0.069617660474179,0,0,0.191518999762614,0,0,0,0,0,0,0,0,0.179965721862432,0,0,0,0,0,0,0,0.319314366220065,0,0,0,0.0290828350993649,0,0.00639688248797881,0.0106365407737319,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.249241793661742,0,0,0,0,0.0285609936351567,0,0,0,0.204192959645935,0,0,0.118259589449939,0.0555996405887892,0,3.997357284468e-05,-0.00037057860176616,0,0
X939.HK.EQUITY,0.331477862914956,0,0,0,0,0,0,0,0.0203271700455041,0,0,0,0.0247841051143877,0.0131804507455789,0,0,0.212531935918438,0,0,0,0,0.0876718140995333,0,0,0.176755669374308,0.00115770554507349,0,-0.00248314286251351,0.00689455683070394,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0560795053381124,0,0,0,0,0.17268380540097,0,0,0.341077445307878,0,0,0,0,0,-0.00724984225132505,-0.00229469311966846,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0592467190639127,0,0,0,0,0,0.0347705873599298,0,0.0192464172570596,0.26284102937678,0,0,0,0.0136166455499245,0,0,0.000880840615225171,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.166210390211899,0,0,0,0,3.46944695195361e-18,0,0,0.195561182101442,0,0,0.0357483662588755,4.33680868994202e-19,0,0,0,0.00275081101264976,0.0243935094948857,0
X3988.HK.EQUITY,0.211865406051454,0,0,0,0,0,0,0,0,0,0,0.0265917710973856,0,0.165049486576727,0,0,0,0,0,0,0.171093491417659,0,6.93889390390723e-18,0,-3.46944695195361e-18,0,0,0.00535343615546293,-0.00629159613445304,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.12386044543337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125697498897,0.173126430351729,0,0.0185359336842487,0.0406757619398109,0,0,0,0.00124058655423066,0,0.0320813047625449
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0529343605383437,0,0,0.391512717436508,0,0,0.062299768146555,0,0,0,0.103947194016948,0,0,0,0,0,0.00879333627231965,-0.00369270714004576,0,-0.0302458953482915
X1299.HK.EQUITY,0.09769742482667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211678277296801,0,0.162242567707219,0,0.0567340955614771,0.000709288232809329,0.0121306900775879,0,0.0128203650378885,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406690905954597,0,0,0,0,0.0199922938103106,0,0.0868107352395408,0,0,0,0.338626091320446,0.0872884455872548,0,0,-0.0272461024303551,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.60123547944586,0,0,0,0,0,-8.67361737988404e-19,0,0,0.218155609526633,0,-0.0261272417285667,0,0,0,0.0344335567289645,0.0119216564646309,0.0140357689249669,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.163587484453041,0,0,0,0,0,0,0,0,0.238790522151423,0.13370526899322,0,0,0.0918515825430599,0,0.00722044864362154,0.00230301885942753,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.122594241593973,0,0,0,0,0,0.174456422878439,0,0,0.176412755531536,0,0,0,0.043048614256231,0,0,0,0,0
X3328.HK.EQUITY,0.108506337426379,0,0,0,0.0270652595604487,0,0,0,0,0,0,0.259424253675761,0.0843605054368299,0,0,0,0,0,0,0,0.0835625856436633,0.0942384592720937,0,0,0.0563106511579372,0.007434616512911,0,0.0100787005707619,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.185299224552314,0,0,0,0,0,0,0,0,0,0.276121845642221,0,0.104160613742184,0.0226748703351925,0,0,-0.0206465913182295,0.014865853200133,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.14576761231838,0.177246864156786,0,0,0,0,0,0,0.0407346313028959,0.350176234631891,0,0,0,0.0961936082946599,0,0.00897635761927308,0,0,0
X388.HK.EQUITY,0,0,0,0,0.339774658048997,0,0,0,0,0,0,0.13263886961208,0,0,0,0,0,0,0,0,0.0633730226227376,0,0,0.156141085148977,0,0,0,0.00190014296039208,-0.00431134418031369,0.0191253916733522,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.264565532098241,0,0,0,0,0,0.0600959732781748,0,0,0,0,0.326524900313598,0.273595339429142,0,0,0.0129241085771385,0.00714159362566419,0.0556151796586,0.0757617577573588
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.236543978532273,0,0,0,0,0,0,0,0,0,0.296965830218988,0,0,0.17951725674827,0,0.027403039320659,-0.000172349252750386,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.025572089909617,0,0.55716880392551,0.0734109545342617,0,0,-4.33680868994202e-19,0,0,0,-8.67361737988404e-19,0,0,0.189927791589715,0,0,0,0,0.00605302208324362,-0.0821577079169991
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0656116632820109,0.114156893247679,0.0215006045275434,0,0,0,0,0,0,0.186181402283455,0,0.170489772221033,0,0,0,0,-0.00832845468162553,-0.00422161264022842,0.0330098087289991,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0736705762513196,0.265815015256619,0.182301717849377,0,0,0,0.210033344447364,0,0,0.0678510290184227,0,0,0,0,-6.93889390390723e-18,0,-0.0174821524874725,-0.00264336510461405,0.00740946966352522,-0.0983908168414716
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0.764745305571768,0,0,0,0,0,0.483425164677906,0,0,0,0,0,0,0,0,0.000877624801493005,-0.0485845604351083,-0.680062236920532,0
FXI.US.EQUITY,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0.279507195176812,0,-0.247755551348536,0,0,0,0,-0.0130156090966656,0,0,0,-0.203822202628221,0,0.201355484160307,0,0,-0.200300458833591,0.0250521019535388,-0.0282678247312275,0
VXFXI.INDEX,0,0,0,0.43989807605355,0.806151147397128,0,0,0,0,0,0,0.828612025641506,0,-0.88837157411098,0,0,0,0,0,0,0,0,-1.9216420803189,0,0.73486989376931,0,-4.90924379978164,0,0.0932413037465202,-0.154046628160908,-0.155538964827042
TED.SP,-4.5626106680069,0,0,0,0,0,0,0,2.14747932320448,0,0,0,0,0.268243188866192,0,4.19182433028821,0,0,0,0,1.94262036159856,0,-0.597000600081771,0,-2.77555756156289e-17,-0.600099517221738,0,0,0,0,0.432718226033822
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346489220413656,0,0,0,0.129223288882827,0,0,0,0.509194485085509,0.109145314616133,0,0,-0.83063973594628,0,0.00803259555648764,-0.0346660804090854,0,-0.607238552004609
