,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0.0189627201477596,0.0800549666015521,0.380933488278243,0,0,0,0,0.108899100684187,0,0,0,0,0,0,0.0430689804907686,0,0,0,0,1.73472347597681e-18,0,0,0.0515523577949017,0,0,0.000508350375442418,0,0,0
X1398.HK.EQUITY,0,0,0,0,0.183239567660796,0.505701094111351,0,0,0,0,0,0,0,0,0,0.0365653695107751,0,0,0,0.0114508860705883,0.0122598145793574,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.00432238743321461
X2318.HK.EQUITY,0,0,0,0.549998388430177,0,0,0,0,0,0,0,0,0.0691189579967059,0,0,0,0,0,0,0,0,0,0,0,0,0.0271096847638103,0.0320615872957377,0,0,-0.0420989219586415,0
X601318.CH.EQUITY,0,0,0.230037996249839,0,0.153839969116346,0,0,0,0,0,0.0534872941592665,0,0,0,0,0,0.22081459647371,0,0,0,0,0.0839126297109111,0,0,0.327962003784258,0,0,-0.0239525404779711,0.0456660099498508,0,0
X601939.CH.EQUITY,0.196709321875025,0,0,0.0630935617458211,0,0,0,0,0,0,0,0,0.148398642906647,0,0,0.183079461156144,1.73472347597681e-18,0,0,0,0.0441293404268362,0.0154067529574151,0,0,0,0,0,-4.33680868994202e-19,0.0439732078901182,0,0
X939.HK.EQUITY,0,0.392467450134476,0,0,0,0,0,0,0,0.269904715234896,0,0,0,0,0.0396836322540361,0,0,0,0,0,-0.0139759414078403,0,0.0965646255854858,0,0,0,0,-4.33680868994202e-19,0.0165975075737717,0.0303370632696288,0
X601288.CH.EQUITY,0,0,0,0.0145945713063871,0.346528097632471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00533100786528455,0,0,0,0.170436655549653,-0.0113495138177584,0,0,0,0,0.0302236891515816
X5.HK.EQUITY,0,0,0,0,0.0599079446607145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03269238364339,-0.0278057830704342,0.112470636894272,0.314995879236839,0,-0.0115486041154778,0,0,0.0207074163620489,0.00214278145106623,0,0.130219361755709
X601988.CH.EQUITY,0,0,0,0,0.0864831635025672,0,0,0,0,0,0,0,0.153864822645481,0,0,0,0.0186075875848286,0,0,0.0849864400825929,0.0333189841493457,0,0,0,0,0,0,0.0111417103948868,-0.0118590644950995,0,0.0139209449692532
X3988.HK.EQUITY,0,0.371084399227491,0,0,0,0.218151828698642,0,0,0,0,0,0,0,0.15661368341297,0,0,0,0,0,0,-0.0188617289669261,-0.0339253123142344,0,0,0.0576225802128759,-0.0407592182990665,0,-0.00417628067313912,0.00315994544263785,0.0110302715921356,0
X600036.CH.EQUITY,0,0,0,0.282848947652596,0,0,0,0,0.199981624657033,0,0,0,0.065030965504904,0,0,0.134035127024839,0.0632331361844172,0,0,0,0.0335844167990143,0,0,0,0.180319719231328,0,0,0.0155451648419382,-0.0639387968088752,0.0324629098430849,0.155324612625264
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133064361206505,0,0.162528491550354,0,0.0763573828403919,0.0887453132463328,0.276250521379121,0,-0.0428448524214508,0.075086057879338,0,0,-1.73472347597681e-18,0,0.0755412533187145
X601628.CH.EQUITY,0,0,0,0.414570597328088,0.181924073055108,0,0,0,0,0,0,0,0,0.043532795061374,0,0,0.244529272519874,0,0,0,0.156226594755089,-6.93889390390723e-18,0,0,0.305877177923246,0,0,-0.00885662831009355,0,0.0749363622845342,0
X2628.HK.EQUITY,0,0,0,0.288223584100687,0,0,0,0,0,0,0,0,0.154415790917463,0,0,0,0,0,0,0,-0.0343745783350776,0,0,0,0.201186958624506,0,0,-0.00440833325032968,0,0,-0.0426058331328071
X3328.HK.EQUITY,0,0,0,0,0,0.114352535932197,0,0,0,0,0,0.128493889115789,0,0.188168416775319,0,0,0.103751302499967,0,0,0.0121872633051365,0,0,0,0,0,0,0,0,-0.00465657734041374,0.0402122742640084,0.0398566499368245
X601328.CH.EQUITY,0,0,0,0.0151552406746144,0.374506533645394,0,0,0,0,0,0,0,0,0,0,0,0.177898689164154,0,0,0.060813817220544,0,0.126676797902358,0,0,0,0,0,0,0,0,0.0550480372670058
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0914239517299981,0,0.286109421887854,0,0,0,0,0,0,0.141187784984962,0,0,0,0,0.0601625801746344,0.0369761082129355,0,0.0132168738983163,-0.00593081423196349,0,0.0417156973102309
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525415138461559,0,0,0,0,0,0,-0.0474411477278955,0.0565975057039125,0,0,0.0760610372187718,0,0,0,0.0353771427022487,-0.00684711266122103,-0.157158937557409
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104669422954821,0,0,0,0,0,0,0.0178644625900167,0,0.214717450297657,0.0882986851965077,0.0480350781786103,0,0,-0.00269640813032628,0.0399700598744148,-0.0801056715449764,-0.0078195900115707
X600000.CH.EQUITY,0,0,0,0.0263225541334474,0,0,0,0,0,0,0.23688125265927,0,0.0735189123301702,0,0,0,0.150134393793637,0,0,0,0,0,0.173500002685674,0,0.120192373846577,0,0,0.00367562718957177,-0.0158817036302607,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.356889666586841,0,3.46944695195361e-18,0,-0.0608692506869458,0,0,0,0,0,0,0.549151417028081,0,0,0,0,0,0.0207352164833352,-0.394670391843169,0,0
